year,category,value
2014,Femicidios,26
2014,Otras_muertes,43
2015,Femicidios,56
2015,Otras_muertes,116
2016,Femicidios,70
2016,Otras_muertes,107
2017,Femicidios,100
2017,Otras_muertes,96
2018,Femicidios,67
2018,Otras_muertes,73
2019,Femicidios,64
2019,Otras_muertes,87
2020,Femicidios,70
2020,Otras_muertes,95
2021,Femicidios,69
2021,Otras_muertes,157
2022,Femicidios,87
2022,Otras_muertes,337
2023,Femicidios,112
2023,Otras_muertes,491
2024,Femicidios,84
2024,Otras_muertes,437
2025,Femicidios,56
2025,Otras_muertes,721
2026,Femicidios,5
2026,Otras_muertes,64
