area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;sp01;af101;af102h;af102m;af201cod;af201d;af201h;af201m;af202cod;af202d;af202h;af202m;af203cod;af203d;af203h;af203m;af204h;af204m;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;000304;048;01;1;01;1;84;1;10;10;1;2; ; ; ;1;4;2;1; ; ;6;2;10550;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;100;1;200;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;75,7870659762083;3; ;150;0;0;9; ; ; ; ; ;010150000304;01015000030404801;010150000304048011;01015000030404801101;202412
1;10150;000304;048;01;1;02;2;85;2;10;10;1;2; ; ; ;1;4;4;1; ; ;6;2;10550;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;75,7870659762083;3; ;150;0;0;9; ; ; ; ; ;010150000304;01015000030404801;010150000304048011;01015000030404801102;202412
1;10150;000304;048;02;1;01;1;55;1;1;10;3;2; ; ; ;1;4;6;1; ; ;6;2;110150;1;1; ; ; ; ; ;10;1; ;4; ; ;5; ; ; ; ; ; ; ; ; ; ;9522;7412;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;25;8;1;1;3;2;1;10; ; ; ; ; ; ; ; ; ; ; ;5;700;2; ;300; ; ; ; ; ; ; ;2; ;1;470;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ;2; ; ; ;2; ; ; ;1;5;2;0;3;0;1;2712;75,7870659762083;3;400;792,5;0;0;4;1; ;2;7;19;010150000304;01015000030404802;010150000304048021;01015000030404802101;202412
1;10150;000304;048;02;1;02;1;25;3;1;10;6;1;6;1;1; ;8;3; ;1;20410102;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;4; ; ; ; ; ; ; ; ; ; ;9319;3422;1; ; ; ;3;2;2;2;1;2;1;2;2;2;1;1;3;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;650;65;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ; ;1;5;3;0;2; ; ; ;2; ; ; ;2;0;1;2712;75,7870659762083;5;715;792,5;0;0;1;1; ;1;3;18;010150000304;01015000030404802;010150000304048021;01015000030404802102;202412
1;10150;000304;048;03;1;01;1;49;1;1;10;1;1;6;3;1; ;10;2; ;1;50320101;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;4; ; ; ; ; ; ; ; ; ; ;8530;2310;1; ; ; ;3;2;2;2;1;2;1;2;2;2;1;1;9;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2000;200;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ; ;2; ; ; ;1;4;2;0;1;5;1;0;2;0;1;2712;75,7870659762083;5;2200;1650;0;0;1;1; ;1;2;16;010150000304;01015000030404803;010150000304048031;01015000030404803101;202412
1;10150;000304;048;03;1;02;2;44;2;1;10;1;2; ; ; ;2;10;2; ;1;51020202;6;2;90150;1;1; ; ; ; ; ;40; ;1;4; ; ;4; ; ; ; ; ; ; ; ; ; ;729;2212;2; ; ; ;2;2;2;2;1;2;1;2;2;2;1;1;5;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2500;250;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ;2; ; ; ;2; ; ; ;1;5;1;0;6;0;1;2712;75,7870659762083;5;2750;1650;0;0;1;1; ;1;2;2;010150000304;01015000030404803;010150000304048031;01015000030404803102;202412
1;10150;000304;048;03;1;03;1;21;3;10;10;6;1;5;1;4; ;9;2; ;2; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9; ; ; ;2; ; ; ;2; ; ; ;1;6;1;0;4;0;1;2712;75,7870659762083;5; ;1650;0;0;9; ; ; ; ; ;010150000304;01015000030404803;010150000304048031;01015000030404803103;202412
1;10150;000304;048;04;1;01;2;65;1;1;10;3;2; ; ; ;1;10;1; ;1;40410204;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;1;280;1;1300;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ; ; ;2; ; ; ;2; ; ; ;1;7;1;0;4;0;1;2712;75,7870659762083;5; ;883,333333333333;0;0;9; ; ; ; ; ;010150000304;01015000030404804;010150000304048041;01015000030404804101;202412
1;10150;000304;048;04;1;02;2;38;3;2;10;1;2; ; ; ;2;9;5; ;1;30510102;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;8; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1;350;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ;2; ; ; ;2; ; ; ;2; ; ; ;4;0;1;2712;75,7870659762083;5; ;883,333333333333;0;0;9; ; ; ; ; ;010150000304;01015000030404804;010150000304048041;01015000030404804102;202412
1;10150;000304;048;04;1;03;1;34;4;1;10;1;2; ; ; ;5;9;2; ;2; ;7;3;250;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;5610;9412;2; ; ; ;2;1;2;2;1;2;1;2;2;2;1;1;4;1;1;5;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;600;60;1;60; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ; ;2; ; ; ;2; ; ; ;1;5;0;30;4;0;1;2712;75,7870659762083;5;720;883,333333333333;0;0;1;1; ;1;9;9;010150000304;01015000030404804;010150000304048041;01015000030404804103;202412
