anio,remesas_millones_usd,pais
2000,1610.1229762576202,Colombia
2001,2056.3588728670497,Colombia
2002,2479.9425961402703,Colombia
2003,3076.01864659598,Colombia
2004,3189.7098439179404,Colombia
2005,3345.61032140796,Colombia
2006,3899.1599143425697,Colombia
2007,4460.1944766454,Colombia
2008,4826.85123237512,Colombia
2009,4124.8625543056305,Colombia
2010,4030.84632568114,Colombia
2011,4101.3158910611,Colombia
2012,4018.6746682006,Colombia
2013,4449.83168049204,Colombia
2014,4165.73107341832,Colombia
2015,5001.59649234082,Colombia
2016,5191.9568752388,Colombia
2017,5818.77363508076,Colombia
2018,6675.079294041259,Colombia
2019,7116.29714874071,Colombia
2020,6924.52613555919,Colombia
2021,8608.26897088542,Colombia
2022,9454.50751693043,Colombia
2023,10111.593424101999,Colombia
2024,11873.2329762659,Colombia
