anio,remesas_millones_usd,gdp_millones_usd,remesas_pct_pib
2000,1322.3,17539.4547273637,7.539002896920449
2001,1420.6,23127.055,6.142589274769312
2002,1438.0,27054.197,5.315256630976703
2003,1633.4,30965.208,5.274952456318072
2004,1838.0,35194.947,5.222340582015935
2005,2460.0,40278.849,6.107423774696243
2006,2933.8,45690.762,6.420991621895035
2007,3341.3,49848.725,6.7028795621151795
2008,3088.6,61139.438,5.05173109376635
2009,2742.4,60094.978,4.563442888688636
2010,2599.0,68151.329,3.8135719994543322
2011,2680.6,78986.648,3.3937381416666774
2012,2476.2,87735.048,2.8223612529396465
2013,2458.8,96570.334,2.546123533133892
2014,2472.4,102717.794,2.4069831561997916
2015,2387.6,97209.558,2.456137080676778
2016,2601.0,97671.433,2.663009971400747
2017,2849.1,104467.486,2.72726003954953
2018,3039.1,107478.961,2.82762316617482
2019,3242.7,107595.83,3.0137785079589046
2020,3337.0,95865.473,3.480919559015789
2021,4367.4,107179.074,4.074862598644955
2022,4743.0,116133.121,4.084106204292916
2023,5447.5,121147.057,4.496601184459644
2024,6539.8,124676.0747,5.245433027737118
