anio,remesas_millones_usd,fuente
2000,1322.3,World Bank
2001,1420.6,World Bank
2002,1438.0,World Bank
2003,1633.4,World Bank
2004,1838.0,World Bank
2005,2460.0,World Bank
2006,2933.8,World Bank
2007,3341.3,World Bank
2008,3088.6,World Bank
2009,2742.4,World Bank
2010,2599.0,World Bank
2011,2680.6,World Bank
2012,2476.2,World Bank
2013,2458.8,World Bank
2014,2472.4,World Bank
2015,2387.6,World Bank
2016,2601.0,BCE
2017,2849.1,World Bank
2018,3039.1,World Bank
2019,3242.7,World Bank
2020,3337.0,BCE
2021,4367.4,World Bank
2022,4743.0,BCE
2023,5447.5,BCE
2024,6539.8,BCE
2025,7729.0,BCE
