anio,remesas_millones_usd,pais
2000,1322.3,Ecuador
2001,1420.6,Ecuador
2002,1438.0,Ecuador
2003,1633.4,Ecuador
2004,1838.0,Ecuador
2005,2460.0,Ecuador
2006,2933.8,Ecuador
2007,3341.3,Ecuador
2008,3088.6,Ecuador
2009,2742.4,Ecuador
2010,2599.0,Ecuador
2011,2680.6,Ecuador
2012,2476.2,Ecuador
2013,2458.8,Ecuador
2014,2472.4,Ecuador
2015,2387.6,Ecuador
2016,2601.0,Ecuador
2017,2849.1,Ecuador
2018,3039.1,Ecuador
2019,3242.7,Ecuador
2020,3337.0,Ecuador
2021,4367.4,Ecuador
2022,4743.0,Ecuador
2023,5447.5,Ecuador
2024,6539.8,Ecuador
2025,7729.0,Ecuador
2000,717.66384,Perú
2001,753.211439471146,Perú
2002,705.382493064728,Perú
2003,868.5000000000009,Perú
2004,1132.71358975648,Perú
2005,1440.06753607357,Perú
2006,1837.49427423837,Perú
2007,2130.81466309078,Perú
2008,2443.64458472294,Perú
2009,2408.6981372631403,Perú
2010,2533.9109072957704,Perú
2011,2696.9617225535203,Perú
2012,2839.02804963808,Perú
2013,2748.4124446023798,Perú
2014,2689.53915719105,Perú
2015,2765.00876812896,Perú
2016,2943.093588891,Perú
2017,3112.7653455732598,Perú
2018,3234.30888410748,Perú
2019,3344.55505921445,Perú
2020,2906.81445623214,Perú
2021,3607.9250538627202,Perú
2022,3710.80523448257,Perú
2023,4446.8148549166,Perú
2024,4933.77111013101,Perú
