jugador,temporada,minutos
Pervis Estupiñán,19/20,2979
Pervis Estupiñán,20/21,1168
Pervis Estupiñán,21/22,1575
Pervis Estupiñán,22/23,2675
Pervis Estupiñán,23/24,1243
Pervis Estupiñán,24/25,2402
Pervis Estupiñán,25/26,1034
Piero Hincapié,21/22,1754
Piero Hincapié,22/23,2457
Piero Hincapié,23/24,1484
Piero Hincapié,24/25,2670
Piero Hincapié,25/26,1882
Moisés Caicedo,21/22,660
Moisés Caicedo,22/23,3139
Moisés Caicedo,23/24,2866
Moisés Caicedo,24/25,3351
Moisés Caicedo,25/26,2795
Gonzalo Plata,22/23,2302
Jackson Porozo,22/23,1617
Willian Pacho,23/24,2970
Willian Pacho,24/25,2132
Willian Pacho,25/26,1914
John Yeboah,24/25,1226
Kendry Páez,25/26,424
Nilson Angulo,25/26,404
Jeremy Arévalo,25/26,38
