prov_cod,prov_nom,poblacion_2021
01,Azuay,825773
02,Bolívar,206608
03,Cañar,237790
04,Carchi,182445
05,Cotopaxi,475870
06,Chimborazo,495781
07,El Oro,738399
08,Esmeraldas,593324
09,Guayas,4601037
10,Imbabura,482224
11,Loja,496526
12,Los Ríos,948792
13,Manabí,1659426
14,Morona Santiago,196157
15,Napo,132987
16,Pastaza,112771
17,Pichincha,3217582
18,Tungurahua,571693
19,Zamora Chinchipe,113912
20,Galápagos,29148
21,Sucumbíos,207728
22,Orellana,182673
23,Santo Domingo de los Tsáchilas,509041
24,Santa Elena,396709
