,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,"1,000000",0,GENERAL,101.24,101.86,102.28,103.14,103.32,103.74,103.66,103.66,103.93,103.84,103.95,104.05,104.37,104.51,104.65,104.97,105.01,105.38,105.29,105.12,105.28,105.20,105.04,105.21,105.30,105.51,105.66,106.12,106.17,105.55,105.40,105.42,105.26,105.10,104.82,105.00,105.20,105.37,105.43,105.29,105.09,104.81,104.80,105.08,105.50,105.45,105.18,105.28,105.77,105.53,105.31,105.49,105.48,105.45,105.54,105.43,105.42,105.97,105.22,105.21,105.45,105.29,105.50,106.56,106.28,105.62,104.97,104.63,104.47,104.27,104.26,104.23,104.35,104.44,104.63,104.99,105.08,104.89,105.45,105.57,105.58,105.80,106.18,106.26,107.02,107.27,107.39,108.03,108.63,109.34,109.51,109.54,109.93,110.06,110.05,110.23,110.36,110.38,110.45,110.67,110.77,111.18,111.78,112.34,112.39,112.19,111.74,111.72,111.86,111.96,112.28,113.71,113.58,112.49,113.54,113.79,113.99,113.72,113.42,112.31,112.14,112.24,112.63,112.93,114.10,114.16,114.36,114.71,114.81,115.13,114.62,114.46,114.88,115.11,115.26,115.86,115.14,116.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
División,0.224503124,01,Alimentos y bebidas no alcohólicas,101.82,102.24,102.72,104.40,104.64,105.08,104.76,104.81,104.96,104.56,104.60,105.06,105.23,106.02,106.69,107.36,107.54,108.08,107.78,107.23,106.88,106.28,105.99,106.27,106.80,107.30,108.06,109.33,108.56,108.21,107.42,107.50,106.75,106.25,105.53,106.02,106.11,106.48,107.10,105.69,105.09,104.30,104.46,105.25,105.58,105.77,105.61,105.32,106.53,106.37,105.98,106.04,105.54,104.89,105.43,105.22,105.20,106.30,105.15,104.66,105.75,105.23,106.35,110.88,109.13,108.30,106.70,105.72,104.89,104.52,104.87,104.60,104.97,105.33,105.92,106.06,105.65,104.54,105.80,105.65,105.36,105.54,105.49,105.73,107.81,108.14,108.20,108.72,109.85,112.14,112.33,111.92,112.88,113.32,113.47,113.77,113.86,113.80,114.61,114.37,114.75,116.83,119.21,121.06,120.81,120.04,118.67,118.58,119.03,119.67,119.80,121.06,120.28,119.50,119.65,120.02,120.68,119.86,118.98,118.68,119.25,119.54,121.25,120.82,120.75,120.43,120.98,121.52,121.42,122.25,121.12,120.23,121.74,121.73,121.21,121.16,120.60,120.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo,0.199535008,011,Alimentos,101.78,102.21,102.75,104.53,104.70,105.11,104.76,104.69,104.92,104.31,104.30,104.77,105.29,105.70,106.39,107.14,107.02,106.73,106.30,105.62,105.12,104.49,104.27,104.73,105.23,105.64,106.52,107.98,107.61,107.60,106.60,106.85,105.96,105.44,104.27,104.33,104.51,104.91,105.53,103.92,103.10,102.25,102.41,103.37,103.68,103.90,103.79,103.49,104.79,104.58,104.18,104.25,103.60,102.97,103.50,103.26,103.26,104.45,103.22,102.76,103.92,103.34,104.61,109.63,107.81,106.74,104.95,104.01,103.10,102.76,103.12,102.90,103.19,103.51,104.19,104.36,104.01,102.87,104.17,103.82,103.46,103.66,103.57,103.72,105.93,106.35,106.36,106.95,108.24,110.77,111.14,110.57,111.61,111.95,112.04,112.43,112.50,112.43,113.28,113.17,113.35,115.63,118.21,120.36,119.99,119.28,117.64,117.44,118.13,118.77,118.93,119.79,118.93,118.03,118.23,118.53,119.22,118.41,117.38,117.18,117.64,117.94,119.74,119.24,118.98,118.45,119.13,119.79,119.78,120.76,119.56,118.83,120.02,120.16,119.61,119.45,118.81,118.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clase,0.039444215,0111,Pan y cereales (ND),96.61,98.93,100.33,101.18,102.17,103.63,104.32,103.53,104.57,105.18,105.13,105.60,105.01,105.88,106.00,106.09,106.61,106.07,106.44,106.83,106.33,105.94,105.78,104.84,105.66,106.81,105.89,105.42,105.12,104.39,103.35,103.93,102.80,102.21,101.03,101.68,101.35,100.31,101.61,100.48,99.65,99.47,99.39,99.91,100.17,100.42,99.65,99.77,100.69,100.41,99.54,100.18,100.38,100.64,101.12,99.39,100.13,100.45,101.16,99.95,101.29,101.26,101.33,100.89,102.31,102.86,102.61,101.27,100.32,100.66,100.86,100.62,101.99,101.53,101.84,102.08,101.86,101.23,101.73,102.73,102.97,103.47,102.71,103.71,103.81,103.14,103.75,104.71,106.03,108.03,109.00,109.05,109.86,110.43,110.64,111.16,112.03,111.75,112.46,111.14,112.37,116.81,124.70,124.59,123.72,125.21,125.28,126.34,126.12,125.81,125.06,124.89,124.40,122.93,124.10,123.53,122.93,121.87,120.54,120.24,119.83,118.72,119.75,119.21,118.01,117.75,116.98,117.44,115.19,116.53,116.71,117.08,117.74,118.43,117.34,116.80,116.90,116.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subclase,0.015467425,01111,Arroz,96.09,97.42,101.04,102.84,104.09,104.69,105.84,104.82,107.47,108.14,108.11,109.85,108.79,109.34,108.82,109.76,109.40,107.41,108.07,107.53,107.83,107.46,107.87,106.66,107.11,107.64,107.30,106.61,105.64,103.47,101.12,100.18,99.60,99.10,98.94,98.60,97.94,97.72,98.04,96.87,95.73,94.01,95.69,96.08,97.06,97.33,95.07,94.71,95.27,96.93,96.41,97.36,99.40,98.89,99.47,96.22,98.50,97.80,98.84,96.40,98.36,98.51,99.59,98.15,100.49,100.84,101.00,98.45,96.84,96.71,95.87,95.42,97.40,97.34,98.04,97.24,96.91,94.07,92.97,93.44,94.12,94.47,92.03,93.79,94.28,92.43,94.92,95.36,95.89,96.92,96.74,94.71,95.29,96.06,95.98,96.49,97.01,96.71,97.56,95.07,99.00,109.90,128.79,128.12,126.73,129.74,131.20,132.98,132.61,134.05,132.26,131.11,129.51,126.50,129.28,127.66,125.00,122.19,121.84,118.71,116.39,113.83,117.27,115.96,112.87,111.85,109.71,111.89,106.78,110.06,110.50,111.07,111.78,113.62,111.01,110.34,109.55,107.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,0.015467425,01111001,ARROZ,96.09,97.42,101.04,102.84,104.09,104.69,105.84,104.82,107.47,108.14,108.11,109.85,108.79,109.34,108.82,109.76,109.40,107.41,108.07,107.53,107.83,107.46,107.87,106.66,107.11,107.64,107.30,106.61,105.64,103.47,101.12,100.18,99.60,99.10,98.94,98.60,97.94,97.72,98.04,96.87,95.73,94.01,95.69,96.08,97.06,97.33,95.07,94.71,95.27,96.93,96.41,97.36,99.40,98.89,99.47,96.22,98.50,97.80,98.84,96.40,98.36,98.51,99.59,98.15,100.49,100.84,101.00,98.45,96.84,96.71,95.87,95.42,97.40,97.34,98.04,97.24,96.91,94.07,92.97,93.44,94.12,94.47,92.03,93.79,94.28,92.43,94.92,95.36,95.89,96.92,96.74,94.71,95.29,96.06,95.98,96.49,97.01,96.71,97.56,95.07,99.00,109.90,128.79,128.12,126.73,129.74,131.20,132.98,132.61,134.05,132.26,131.11,129.51,126.50,129.28,127.66,125.00,122.19,121.84,118.71,116.39,113.83,117.27,115.96,112.87,111.85,109.71,111.89,106.78,110.06,110.50,111.07,111.78,113.62,111.01,110.34,109.55,107.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subclase,0.001652284,01112,Cereales enteros y harinas,97.55,97.46,97.60,96.64,95.93,95.40,96.46,96.94,94.67,96.86,96.75,96.88,96.63,96.57,97.80,98.33,98.47,99.82,100.77,103.59,104.24,103.99,98.06,101.86,104.23,103.88,103.02,102.09,104.75,103.38,103.15,105.01,104.27,103.39,102.56,102.35,103.70,102.81,103.41,101.71,101.17,101.30,101.32,101.19,100.81,98.97,99.78,97.16,101.31,100.23,97.72,97.55,99.56,98.14,101.16,95.42,101.50,100.66,99.27,96.89,98.36,99.08,98.66,99.97,102.58,104.47,104.12,98.22,94.97,95.40,96.50,95.01,97.78,97.65,100.63,101.38,97.48,96.82,99.18,98.98,99.57,100.48,98.97,103.45,103.91,102.30,101.67,104.63,102.82,104.99,103.09,104.88,105.66,106.26,108.10,109.50,109.76,110.67,110.57,107.87,110.78,108.77,110.72,109.42,110.32,109.53,111.09,112.64,113.27,112.49,112.68,112.03,112.54,112.06,106.63,110.88,112.56,113.27,111.40,111.99,111.01,110.46,110.78,110.79,110.41,108.44,109.41,109.09,108.97,107.75,106.97,108.65,109.35,107.03,106.59,107.48,107.10,107.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,0.000491913,01112002,CEREALES ENTEROS,95.76,95.68,95.45,95.65,94.24,94.37,94.17,93.89,94.01,93.92,93.21,93.35,93.42,94.42,96.61,98.05,99.43,102.70,102.97,103.79,104.58,103.92,103.69,103.89,103.64,104.12,104.64,105.21,105.71,107.44,108.68,107.70,105.07,103.80,104.87,104.86,103.03,102.10,101.34,100.18,100.13,98.78,99.07,99.85,99.09,98.50,98.85,97.81,97.88,98.13,98.20,96.77,96.80,97.46,96.61,96.75,97.31,97.05,95.74,95.89,95.95,94.03,94.17,94.23,98.31,100.62,100.29,99.68,99.19,97.46,97.53,96.68,97.45,97.54,96.58,96.84,97.46,96.50,97.88,98.15,100.51,101.38,103.82,104.17,105.76,106.31,105.42,106.19,105.85,105.59,106.14,105.74,105.22,105.40,105.26,106.01,106.73,108.01,110.45,111.62,111.97,113.85,117.01,117.24,119.29,119.18,120.40,120.66,117.59,121.73,121.31,121.66,120.91,119.75,119.53,119.12,119.33,118.96,118.11,116.72,115.23,115.52,114.88,113.43,111.28,111.32,107.87,109.21,108.60,106.44,106.74,105.32,110.00,111.26,108.40,108.00,108.36,108.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,0.000721598,01112003,HARINA DE TRIGO,99.47,99.38,99.44,97.51,96.81,95.44,97.88,98.80,93.40,98.52,98.61,99.25,98.63,97.93,98.68,98.52,97.90,98.62,99.56,99.80,99.76,99.49,85.72,93.87,99.16,98.35,96.37,94.08,99.24,94.71,93.17,97.98,98.16,97.66,95.50,95.28,99.23,96.85,98.62,96.87,95.91,96.79,96.50,96.06,95.19,91.89,93.38,87.24,97.29,95.10,89.61,90.14,94.60,90.52,98.07,85.19,98.30,96.38,94.19,88.74,91.86,94.83,93.27,95.65,98.41,99.13,98.74,85.49,79.14,80.69,82.92,79.65,84.40,84.56,92.36,94.63,84.17,83.35,87.15,86.59,86.40,87.06,82.15,92.02,92.50,87.76,87.67,94.19,88.71,93.51,90.13,94.53,95.86,94.13,96.08,98.58,96.59,97.34,97.13,93.52,99.70,92.91,95.11,90.79,91.32,91.22,93.28,96.07,99.91,95.79,95.57,94.66,95.25,95.56,86.05,94.67,97.71,99.07,97.83,98.25,97.93,97.80,98.49,98.07,99.61,97.35,100.96,98.73,97.65,98.04,94.03,98.59,97.03,92.44,93.73,95.64,91.65,92.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,96.40,96.29,96.98,96.35,96.39,96.48,96.70,97.32,97.51,97.45,97.66,96.95,96.95,96.75,97.70,98.33,98.32,98.56,100.28,109.62,111.21,111.49,112.06,112.72,113.24,112.72,112.14,111.77,112.72,113.07,113.37,113.55,113.44,112.34,111.60,111.14,111.80,113.42,113.61,111.40,110.98,111.53,111.76,111.11,111.98,111.15,111.36,112.76,111.75,111.03,110.53,110.61,110.80,111.43,111.35,110.75,111.45,111.76,111.57,111.40,111.75,111.74,112.55,113.50,114.24,117.57,117.25,117.53,116.27,117.29,117.69,118.41,120.16,119.30,118.79,117.58,119.41,119.32,120.44,120.30,120.15,121.54,121.17,121.43,120.62,121.72,120.49,120.04,122.63,123.20,121.01,120.93,122.27,127.15,131.04,131.38,134.81,135.56,132.83,127.25,127.68,129.16,129.34,131.29,131.51,128.81,129.93,130.90,130.41,129.58,131.15,129.78,131.61,130.57,126.00,128.28,129.39,130.25,126.18,129.30,127.81,125.61,126.37,128.77,127.20,123.46,125.02,126.00,127.98,125.19,128.52,128.93,128.87,126.29,125.69,126.36,131.08,129.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
