,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL LOJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,101.21,101.74,101.97,102.71,103.09,103.04,102.67,103.44,103.55,103.58,103.72,103.66,104.21,104.38,104.44,104.29,103.96,104.25,104.27,104.09,104.14,104.03,103.89,103.72,103.69,103.72,104.19,104.52,104.42,103.91,103.89,103.81,103.95,103.86,103.51,103.53,103.59,103.84,103.77,103.58,103.61,103.19,103.19,103.13,103.59,103.50,103.60,103.25,103.96,103.67,103.56,103.44,103.03,103.25,103.28,103.31,103.19,104.44,103.43,103.49,103.77,103.69,103.90,104.99,105.13,104.61,103.71,103.20,102.89,102.93,103.23,103.06,103.43,103.68,103.37,103.68,104.01,103.77,103.98,104.18,104.32,104.59,104.67,105.04,105.39,105.91,106.19,106.67,107.36,107.63,107.96,107.92,108.51,108.52,108.49,108.64,108.62,108.63,108.70,108.95,108.55,108.66,109.43,110.10,110.20,109.71,108.79,108.67,108.86,109.22,109.41,110.61,110.63,110.67,110.13,110.99,111.17,110.66,110.74,109.70,109.26,109.92,110.02,110.11,111.03,112.05,112.66,112.75,113.31,113.85,112.90,112.63,113.18,113.48,113.73,113.93,114.00,113.61
División,0.224503124,01,Alimentos y bebidas no alcohólicas,102.46,101.82,102.26,102.82,103.12,102.60,102.36,102.50,102.40,102.89,102.88,102.51,103.94,104.37,105.54,104.72,103.46,104.01,104.06,103.49,103.11,102.86,103.19,104.34,104.57,104.30,105.21,106.27,105.91,105.73,105.40,105.13,105.29,104.31,102.93,103.12,102.66,103.37,103.31,103.10,102.99,101.71,102.25,102.05,103.70,103.32,103.78,102.74,104.00,103.80,104.01,103.29,101.95,102.17,102.32,102.30,102.46,103.67,102.86,102.73,103.71,103.93,105.11,108.93,109.20,106.62,104.58,103.54,102.65,102.26,103.16,102.98,104.00,105.44,104.10,104.24,104.25,103.15,103.03,102.87,102.84,102.78,102.80,103.26,104.59,106.04,106.33,107.52,108.25,109.55,110.61,110.37,110.72,110.72,111.32,111.68,111.06,111.35,111.97,112.47,111.38,111.77,114.75,117.95,118.99,116.33,112.86,112.48,112.90,113.70,113.99,114.38,114.53,114.04,113.15,113.80,114.77,113.52,113.87,113.51,112.95,114.47,114.38,115.23,114.22,117.74,118.97,119.73,121.24,123.36,119.39,117.36,118.55,119.84,119.18,117.79,117.78,114.65
Grupo,0.199535008,011,Alimentos,102.60,101.85,102.28,102.91,103.19,102.61,102.32,102.38,102.36,102.81,102.79,102.42,103.93,104.32,105.59,104.69,103.32,103.53,103.51,103.07,102.59,102.32,102.89,103.96,104.20,103.82,104.81,105.93,105.48,105.66,105.28,105.03,105.20,104.11,102.56,102.55,102.09,102.93,102.87,102.58,102.40,101.02,101.64,101.46,103.17,102.80,103.35,102.25,103.66,103.33,103.56,102.74,101.34,101.62,101.77,101.73,101.91,103.23,102.46,102.31,103.33,103.53,104.79,108.90,109.20,106.48,104.30,103.28,102.38,101.85,102.84,102.61,103.72,105.26,103.82,103.99,104.04,102.92,102.70,102.55,102.58,102.37,102.34,102.80,104.24,105.76,106.05,107.20,108.00,109.38,110.52,110.20,110.49,110.39,111.05,111.38,110.77,111.13,111.74,112.28,111.01,111.33,114.54,118.01,119.15,116.32,112.50,112.08,112.49,113.47,113.74,113.98,114.04,113.53,112.61,113.20,114.20,112.87,113.22,112.89,112.25,113.82,113.72,114.47,113.34,117.09,118.43,119.24,120.93,123.28,118.94,116.80,117.98,119.54,118.75,117.22,117.06,113.74
Clase,0.039444215,0111,Pan y cereales (ND),98.04,97.67,99.07,98.35,100.97,102.09,102.33,100.86,100.93,101.18,99.55,99.35,101.49,101.36,100.46,102.82,102.55,102.66,102.72,101.54,102.38,103.08,102.90,102.24,103.32,103.41,104.36,106.30,107.37,107.81,106.73,107.42,107.05,104.62,102.74,103.09,102.48,101.15,102.04,100.56,100.04,99.62,102.48,102.44,101.61,102.16,102.59,103.21,103.48,102.16,102.47,105.68,102.58,103.99,103.51,103.24,101.60,100.59,102.23,102.85,103.26,103.45,104.31,104.81,104.55,105.21,103.17,101.80,102.81,103.65,104.25,102.86,103.92,103.90,105.29,104.47,105.57,105.22,106.25,106.40,106.02,106.26,105.77,105.89,106.42,106.02,106.39,107.65,112.68,116.79,116.80,117.09,117.96,118.78,119.08,119.19,119.59,120.19,120.81,120.71,120.23,120.80,122.62,124.63,125.87,127.09,126.81,127.21,126.63,127.95,128.22,127.47,127.39,128.01,127.35,127.32,127.24,126.32,125.55,124.77,124.81,124.10,124.40,125.12,125.18,124.82,125.73,125.56,124.24,123.69,124.75,125.87,125.48,125.37,123.97,124.09,123.91,122.80
Subclase,0.015467425,01111,Arroz,103.52,103.21,105.34,107.80,109.03,107.04,106.32,107.34,107.58,107.58,107.65,108.11,108.99,109.14,112.17,118.48,116.66,115.54,115.84,115.45,115.18,115.55,115.65,112.48,114.64,115.30,114.88,116.18,115.85,117.45,113.03,112.37,110.90,110.61,109.99,107.47,109.01,107.25,109.45,107.92,107.43,106.30,104.98,104.67,106.82,107.50,102.87,105.34,105.21,104.60,105.15,104.99,106.44,107.69,107.56,107.94,103.93,104.11,109.08,108.40,106.82,109.18,111.03,112.17,111.16,110.15,106.90,105.05,106.57,109.24,110.53,110.98,112.08,113.58,109.94,106.07,110.47,110.02,110.02,110.02,109.59,110.40,107.84,107.46,108.49,107.22,108.67,107.11,108.03,109.42,110.50,109.56,109.56,110.02,110.94,110.72,110.14,110.32,108.84,110.16,110.16,112.78,117.33,122.41,124.02,127.66,130.08,127.59,127.72,130.33,129.59,128.87,127.39,128.79,128.00,128.18,128.18,125.44,123.50,123.50,122.86,116.83,121.15,123.03,122.99,122.27,121.65,120.44,117.14,117.11,120.66,122.92,120.68,120.68,117.50,117.50,116.29,113.19
Producto,0.015467425,01111001,ARROZ,103.52,103.21,105.34,107.80,109.03,107.04,106.32,107.34,107.58,107.58,107.65,108.11,108.99,109.14,112.17,118.48,116.66,115.54,115.84,115.45,115.18,115.55,115.65,112.48,114.64,115.30,114.88,116.18,115.85,117.45,113.03,112.37,110.90,110.61,109.99,107.47,109.01,107.25,109.45,107.92,107.43,106.30,104.98,104.67,106.82,107.50,102.87,105.34,105.21,104.60,105.15,104.99,106.44,107.69,107.56,107.94,103.93,104.11,109.08,108.40,106.82,109.18,111.03,112.17,111.16,110.15,106.90,105.05,106.57,109.24,110.53,110.98,112.08,113.58,109.94,106.07,110.47,110.02,110.02,110.02,109.59,110.40,107.84,107.46,108.49,107.22,108.67,107.11,108.03,109.42,110.50,109.56,109.56,110.02,110.94,110.72,110.14,110.32,108.84,110.16,110.16,112.78,117.33,122.41,124.02,127.66,130.08,127.59,127.72,130.33,129.59,128.87,127.39,128.79,128.00,128.18,128.18,125.44,123.50,123.50,122.86,116.83,121.15,123.03,122.99,122.27,121.65,120.44,117.14,117.11,120.66,122.92,120.68,120.68,117.50,117.50,116.29,113.19
Subclase,0.001652284,01112,Cereales enteros y harinas,93.99,93.26,92.44,93.46,90.01,90.01,91.17,90.94,89.83,90.15,89.60,89.53,89.95,89.86,91.21,91.31,91.58,90.73,91.34,91.45,92.76,93.40,91.97,93.13,95.98,95.59,94.47,94.22,96.01,96.50,97.85,98.04,94.91,94.93,97.52,96.62,97.51,95.15,95.47,95.47,95.55,95.04,95.53,94.91,95.64,93.95,94.90,92.13,93.51,93.19,91.08,92.40,91.48,93.49,93.02,92.05,92.81,93.55,93.68,92.32,91.36,91.31,91.94,91.34,93.19,94.48,93.93,93.29,93.60,95.07,92.96,93.03,93.81,91.92,92.60,92.69,91.99,91.68,92.71,92.82,94.31,93.50,94.97,97.20,97.34,97.77,96.52,97.01,96.63,98.50,97.70,97.58,97.58,98.30,99.87,97.69,100.78,99.82,99.02,97.90,99.26,99.28,98.37,99.10,102.20,101.04,101.41,102.67,101.48,102.10,101.72,101.58,101.08,101.72,99.91,102.41,100.93,101.18,100.77,101.24,101.38,101.33,101.06,100.06,101.65,100.21,98.59,99.68,100.36,97.14,97.12,98.19,97.33,96.72,95.64,96.72,96.77,94.78
Producto,0.000491913,01112002,CEREALES ENTEROS,93.17,91.74,89.72,92.17,85.44,85.44,85.44,84.70,84.70,83.82,83.82,84.70,84.70,85.16,86.63,86.63,86.63,86.63,85.97,85.97,87.94,88.58,86.62,86.62,89.24,89.24,89.57,89.24,88.54,90.31,92.41,92.41,86.99,86.99,92.06,92.41,92.06,88.22,88.22,88.22,88.22,88.22,88.64,88.64,88.64,88.30,87.61,84.28,83.97,83.97,83.31,83.97,82.18,82.94,81.82,82.78,83.38,83.38,83.38,83.82,83.50,80.85,82.18,80.64,82.83,83.63,82.79,85.05,85.05,85.05,84.34,85.05,84.76,84.76,82.41,84.29,84.29,84.29,83.62,82.20,87.02,85.77,89.58,89.16,88.72,89.36,89.36,89.36,90.62,90.62,90.28,88.73,88.73,87.96,88.40,88.29,88.29,88.29,88.88,89.42,89.42,90.01,90.01,93.46,97.52,96.50,96.69,97.35,95.87,97.23,97.23,97.23,95.03,96.86,96.86,96.04,95.56,94.96,94.45,95.04,95.04,95.04,94.12,94.12,94.12,94.12,91.34,91.47,92.42,88.39,88.39,87.80,87.30,87.30,85.66,88.09,88.95,87.59
Producto,0.000721598,01112003,HARINA DE TRIGO,91.15,91.15,92.00,91.67,91.67,91.67,92.83,92.50,88.03,91.15,88.95,88.37,90.74,88.70,90.00,89.32,90.39,87.71,90.12,90.56,90.48,90.48,87.82,89.17,88.71,88.71,85.94,85.94,89.78,89.37,89.40,89.40,88.97,89.04,89.04,85.77,89.04,87.46,87.97,87.97,87.97,86.75,88.22,85.16,87.92,82.48,86.43,81.09,88.55,88.55,80.45,84.38,82.42,88.95,89.71,83.84,85.32,89.12,89.12,83.28,79.43,85.12,84.93,85.66,85.52,87.07,86.06,78.44,79.85,85.59,79.13,76.40,81.11,76.02,83.58,81.39,78.35,77.08,79.76,83.39,78.32,77.64,75.29,84.27,85.19,85.34,82.89,83.83,80.26,84.65,82.98,88.22,88.22,89.95,93.18,87.40,91.41,89.15,86.84,85.41,87.55,86.40,83.55,78.63,82.70,81.27,83.68,85.29,85.32,85.63,82.19,81.62,83.40,82.99,76.89,86.95,83.45,85.67,88.17,87.30,87.85,87.36,86.63,81.92,87.65,87.65,87.48,89.72,89.86,88.09,82.96,89.24,86.03,86.03,86.41,85.29,80.42,77.47
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,98.75,98.75,98.75,98.11,98.11,98.11,101.73,102.72,102.72,102.72,102.72,101.13,100.43,101.16,102.32,103.47,103.47,102.70,104.16,104.16,105.49,106.82,107.84,111.29,118.11,116.46,113.95,113.63,118.62,117.28,118.40,119.23,118.17,118.17,118.17,117.04,118.09,118.09,118.90,118.90,119.24,118.41,118.01,118.61,118.77,118.11,119.45,120.60,119.22,117.88,118.93,118.93,120.94,120.94,120.60,120.60,120.94,120.06,120.60,120.06,120.77,120.28,120.28,120.28,123.50,125.59,126.12,126.55,126.37,126.55,125.99,127.58,126.55,123.96,123.96,122.60,122.85,122.85,125.80,125.53,126.74,126.74,127.16,128.02,128.61,128.86,126.17,127.25,126.70,129.96,129.10,126.40,126.40,129.27,131.54,128.69,137.47,135.81,133.60,129.23,132.67,132.67,131.87,132.67,132.67,131.53,130.11,132.31,130.45,129.83,131.82,131.82,132.60,131.79,130.56,132.28,130.80,130.80,127.57,129.16,129.16,129.48,131.11,131.85,132.49,126.49,125.82,127.79,128.41,125.43,130.72,129.91,130.75,128.16,126.74,127.25,130.70,128.36
