,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL CUENCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,101.50,101.94,102.29,102.83,103.10,103.29,103.57,103.83,103.65,103.92,104.12,104.77,104.92,104.75,105.24,105.14,105.44,105.43,105.30,105.27,106.25,106.23,105.85,105.88,106.32,106.48,106.58,106.58,106.82,106.52,106.28,105.88,105.96,105.88,105.95,105.70,106.23,106.42,106.53,106.20,105.88,105.50,105.70,106.26,105.89,106.20,106.12,106.41,107.02,106.68,106.49,106.56,106.57,106.70,106.71,106.51,106.66,106.97,106.57,106.45,106.59,106.76,106.60,107.55,107.61,107.71,106.15,105.55,105.25,105.26,105.19,105.14,105.57,105.76,106.07,106.21,106.45,106.71,107.13,107.32,107.90,108.34,108.47,108.38,108.95,109.50,109.72,110.19,110.55,110.90,111.64,111.14,111.76,112.04,112.24,112.29,112.27,112.48,112.41,112.61,112.64,113.01,113.36,113.69,113.83,113.73,113.33,113.26,113.40,113.84,114.10,115.64,115.35,115.21,116.31,116.35,116.73,116.46,116.19,115.32,115.15,115.43,115.64,115.39,117.14,117.10,117.28,117.44,117.96,118.23,117.32,117.31,117.58,118.06,119.10,119.29,119.68,120.22
División,0.224503124,01,Alimentos y bebidas no alcohólicas,101.48,100.82,101.92,103.55,103.53,104.68,104.18,104.39,104.23,104.41,105.01,105.36,105.31,104.86,106.67,106.77,106.49,105.98,105.79,105.64,105.71,105.54,104.59,104.61,105.16,105.99,106.86,106.04,106.24,107.83,106.56,105.22,104.69,105.14,105.19,104.42,105.52,105.87,106.10,105.40,103.68,103.03,102.93,103.29,102.95,103.47,104.31,103.13,104.56,103.56,103.43,103.46,103.09,103.25,103.69,103.02,103.41,103.62,103.74,102.42,103.34,103.62,103.77,107.18,107.57,104.82,102.97,101.30,100.52,99.92,100.21,100.14,101.25,101.67,102.26,101.95,101.83,102.12,102.76,102.50,101.96,101.76,101.77,102.34,103.73,104.74,106.19,106.23,107.69,108.67,111.87,109.26,109.29,109.70,110.49,110.28,110.58,110.17,110.44,111.12,111.22,112.73,114.20,115.65,115.82,114.71,113.62,113.00,114.21,115.69,115.33,116.04,114.68,116.20,115.85,116.17,116.56,115.87,115.06,115.38,116.05,116.41,117.74,117.63,118.33,117.77,117.83,117.20,117.62,118.28,117.43,116.77,117.82,119.55,119.07,117.52,117.39,116.99
Grupo,0.199535008,011,Alimentos,101.40,100.69,101.84,103.56,103.51,104.73,104.12,104.25,104.20,104.24,104.89,105.19,105.12,104.55,106.50,106.68,105.93,105.29,104.90,104.77,104.87,104.75,103.89,103.87,104.49,105.27,106.17,105.39,105.55,107.88,106.49,105.05,104.48,104.93,104.52,103.68,104.85,105.21,105.50,104.59,102.74,102.03,101.94,102.40,102.00,102.58,103.60,102.34,103.89,102.75,102.63,102.65,102.20,102.40,102.82,102.14,102.52,102.76,102.93,101.51,102.53,102.72,102.91,106.60,107.00,104.04,102.01,100.26,99.51,98.78,99.16,99.14,100.35,100.74,101.39,101.03,100.99,101.29,101.96,101.68,101.08,100.88,100.86,101.39,102.91,104.02,105.54,105.57,107.11,108.07,111.51,108.60,108.60,109.01,109.76,109.53,109.79,109.33,109.59,110.30,110.35,112.02,113.53,115.08,115.25,114.08,112.80,112.19,113.47,115.06,114.72,115.37,113.81,115.46,115.03,115.37,115.82,115.04,114.19,114.60,115.33,115.66,117.16,116.87,117.47,116.44,116.54,115.79,116.21,116.95,116.03,115.42,116.45,118.17,117.71,116.19,115.98,115.58
Clase,0.039444215,0111,Pan y cereales (ND),97.20,96.75,98.03,97.48,99.02,100.30,100.39,101.22,102.52,102.82,102.63,102.94,103.29,103.84,104.11,105.35,105.66,105.31,107.14,108.08,107.50,108.34,109.74,108.66,107.07,106.78,106.18,105.08,105.90,105.52,105.47,105.01,105.06,105.45,105.22,105.25,104.15,103.66,104.87,104.20,103.46,101.65,99.49,98.74,97.90,99.31,101.64,102.11,101.86,101.15,101.03,101.24,102.71,103.22,102.97,101.75,100.54,100.88,101.08,100.21,101.08,100.60,100.42,100.06,100.68,101.62,100.98,100.63,100.22,100.74,100.65,100.86,100.81,101.54,101.81,101.73,102.08,105.93,106.61,106.96,106.31,107.07,106.11,107.04,107.07,106.38,112.05,113.32,117.94,118.11,117.14,117.52,117.69,118.08,118.52,118.17,118.22,118.41,118.33,119.14,118.71,121.37,123.41,125.66,126.61,125.33,124.63,124.98,125.62,125.84,125.47,125.50,124.75,124.31,123.96,124.21,124.72,122.62,122.70,122.51,120.95,119.96,120.91,120.34,118.89,119.36,118.45,118.70,118.25,117.21,119.55,119.14,118.76,119.78,118.33,117.65,117.98,117.76
Subclase,0.015467425,01111,Arroz,103.58,103.73,109.31,110.89,111.47,110.65,110.04,110.89,110.73,111.95,112.92,112.88,112.46,112.28,111.38,113.45,114.26,114.47,114.10,113.53,113.94,114.68,114.20,113.90,113.92,113.14,113.29,111.59,110.88,111.07,106.65,105.28,104.74,105.58,105.90,106.91,103.38,103.34,103.20,102.18,102.23,99.82,99.64,98.44,99.78,99.52,97.63,98.94,98.15,100.04,100.74,99.37,99.52,99.42,99.06,97.65,98.64,99.77,99.54,97.78,99.78,99.22,98.52,98.59,99.73,101.84,99.13,96.76,96.29,97.94,97.94,99.97,100.33,102.22,100.78,100.78,101.67,102.57,100.91,102.29,101.56,100.75,94.23,96.92,97.78,96.05,94.45,96.91,99.54,99.86,102.13,102.13,102.35,103.07,103.07,103.30,103.07,103.07,100.21,103.54,102.28,113.26,121.23,116.75,116.75,118.20,121.04,122.24,124.80,126.65,126.65,126.65,122.34,120.90,121.78,120.97,122.62,112.79,112.85,114.04,108.22,105.97,111.20,107.89,104.44,104.77,102.40,104.01,102.09,98.87,107.25,106.88,106.51,106.45,102.09,101.23,98.25,97.14
Producto,0.015467425,01111001,ARROZ,103.58,103.73,109.31,110.89,111.47,110.65,110.04,110.89,110.73,111.95,112.92,112.88,112.46,112.28,111.38,113.45,114.26,114.47,114.10,113.53,113.94,114.68,114.20,113.90,113.92,113.14,113.29,111.59,110.88,111.07,106.65,105.28,104.74,105.58,105.90,106.91,103.38,103.34,103.20,102.18,102.23,99.82,99.64,98.44,99.78,99.52,97.63,98.94,98.15,100.04,100.74,99.37,99.52,99.42,99.06,97.65,98.64,99.77,99.54,97.78,99.78,99.22,98.52,98.59,99.73,101.84,99.13,96.76,96.29,97.94,97.94,99.97,100.33,102.22,100.78,100.78,101.67,102.57,100.91,102.29,101.56,100.75,94.23,96.92,97.78,96.05,94.45,96.91,99.54,99.86,102.13,102.13,102.35,103.07,103.07,103.30,103.07,103.07,100.21,103.54,102.28,113.26,121.23,116.75,116.75,118.20,121.04,122.24,124.80,126.65,126.65,126.65,122.34,120.90,121.78,120.97,122.62,112.79,112.85,114.04,108.22,105.97,111.20,107.89,104.44,104.77,102.40,104.01,102.09,98.87,107.25,106.88,106.51,106.45,102.09,101.23,98.25,97.14
Subclase,0.001652284,01112,Cereales enteros y harinas,97.74,97.43,97.34,97.31,96.06,95.82,95.77,96.14,95.38,96.86,97.40,97.40,96.76,96.76,99.45,99.54,99.54,99.54,99.89,103.97,104.77,104.70,102.21,106.27,106.27,106.27,106.88,107.40,109.51,109.92,107.46,108.74,108.86,107.23,106.02,104.10,103.86,104.49,102.50,104.17,104.79,104.63,104.16,103.39,104.22,101.19,98.76,96.98,97.39,96.82,95.46,95.48,96.29,96.80,96.08,94.37,95.13,94.82,93.70,93.34,94.27,93.70,92.77,94.29,99.17,101.08,100.79,101.00,98.84,100.99,99.00,96.99,99.44,98.90,99.51,100.04,99.88,99.30,99.78,100.86,99.34,104.15,105.92,107.41,106.76,106.89,107.56,107.32,106.93,107.70,109.13,109.00,108.75,109.51,111.51,110.37,112.05,113.31,112.36,114.39,116.23,117.28,119.88,117.60,117.50,116.22,118.01,117.42,117.89,118.59,117.65,116.43,118.06,117.61,115.23,118.00,117.67,117.47,118.18,112.63,110.95,112.43,109.36,110.24,107.41,105.57,105.80,105.89,102.77,102.64,102.44,101.45,102.99,104.45,106.58,106.30,105.82,105.17
Producto,0.000491913,01112002,CEREALES ENTEROS,97.69,97.18,97.18,97.18,96.25,96.25,96.17,96.17,96.66,97.39,97.66,97.66,96.64,96.64,100.84,100.84,100.84,100.84,101.50,105.95,107.29,106.39,107.98,109.04,109.04,109.04,110.07,110.95,112.91,113.53,112.63,112.63,112.63,110.55,108.52,105.26,105.26,105.26,105.26,105.08,106.13,105.79,106.90,105.56,105.56,100.83,96.32,96.32,95.63,95.37,95.37,95.37,95.37,95.02,95.02,93.02,93.02,92.50,92.50,92.50,92.50,90.73,90.73,90.73,99.03,100.84,99.76,100.76,100.03,99.05,96.84,97.46,99.03,97.46,97.46,97.64,98.30,98.21,98.05,97.99,99.52,108.41,108.85,109.91,110.53,110.38,112.00,110.71,110.91,111.02,111.40,111.40,111.09,111.88,112.87,113.27,115.09,115.09,115.09,121.47,120.24,124.49,125.73,125.54,125.54,123.39,124.66,124.66,124.66,126.15,124.85,123.68,125.58,125.58,123.92,124.88,124.88,124.55,125.51,117.79,114.64,118.43,112.87,114.52,109.67,108.89,107.84,107.66,104.51,105.27,104.81,104.81,109.50,111.82,114.44,111.15,111.15,110.32
Producto,0.000721598,01112003,HARINA DE TRIGO,98.06,98.06,98.06,97.97,95.22,93.77,93.77,95.22,91.10,95.22,96.69,96.69,96.69,96.69,96.69,96.69,96.69,96.69,96.69,96.69,96.69,96.69,83.34,96.69,96.69,96.69,96.69,96.69,96.69,96.69,89.19,97.07,97.53,97.45,97.45,97.45,97.45,97.45,90.57,97.45,97.45,97.45,93.07,93.85,96.38,95.47,96.38,90.54,93.49,92.09,86.97,87.06,89.71,92.51,89.51,87.63,90.58,90.58,86.24,85.53,88.44,90.30,86.69,92.59,91.07,90.58,90.58,89.58,83.43,93.19,90.77,80.71,85.90,88.20,90.35,92.01,90.09,89.12,90.47,94.49,86.58,83.96,88.97,92.97,87.72,88.55,88.06,89.42,87.77,90.18,94.97,94.36,94.35,92.32,91.54,89.85,90.09,95.00,92.50,87.46,95.38,90.17,97.36,88.90,89.68,89.23,92.94,90.45,92.28,92.28,91.74,89.66,90.81,89.07,85.15,92.63,91.85,91.85,94.08,90.04,91.68,88.39,87.28,87.28,87.28,82.98,84.86,86.42,81.48,79.48,79.02,76.22,71.41,73.13,76.24,80.49,78.61,79.15
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,97.37,97.37,96.74,96.74,96.74,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.37,97.37,98.70,99.27,99.27,99.27,99.04,108.59,108.59,111.65,111.65,111.65,111.65,111.65,111.65,111.65,117.94,118.20,118.20,113.33,113.33,110.79,110.79,110.79,109.20,113.35,111.91,111.91,111.91,112.23,112.23,111.04,112.23,112.23,112.23,110.41,110.79,110.40,110.09,110.06,110.95,110.95,111.27,110.95,110.95,110.95,110.95,109.79,110.95,110.95,110.95,110.95,113.36,119.72,121.96,121.18,120.15,121.61,121.26,122.60,123.89,122.53,122.89,122.89,122.53,120.70,122.16,122.71,120.15,121.63,123.14,122.04,124.23,124.20,123.19,124.33,123.79,124.33,124.17,124.33,123.93,129.24,139.85,133.72,137.25,137.26,135.27,132.29,135.84,134.98,135.13,135.13,133.17,133.86,134.42,134.74,134.74,133.58,133.39,133.39,134.79,134.79,132.19,134.03,133.19,133.19,130.38,130.69,129.13,129.66,132.94,132.29,132.59,130.73,133.16,131.80,131.88,131.41,132.69,130.91,130.94,128.64,127.22,130.96,130.96,129.04
