,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL AMBATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,101.03,101.56,101.68,102.33,102.73,103.84,103.35,103.56,103.93,103.94,103.93,104.29,104.75,105.22,105.02,104.69,105.23,105.10,105.04,104.72,104.99,104.78,104.83,105.45,105.77,105.87,106.11,106.05,106.19,105.75,105.76,105.54,105.71,105.44,105.12,105.36,105.21,105.76,105.83,105.16,104.70,104.43,104.66,104.68,105.34,105.16,105.20,104.97,105.51,105.26,104.98,105.00,105.09,105.08,105.18,105.04,105.39,105.82,105.42,105.69,106.01,105.18,105.82,106.31,105.77,105.76,105.29,104.94,104.68,104.48,104.26,104.09,104.26,104.20,104.55,104.98,104.86,104.62,105.00,105.15,105.20,105.22,105.17,105.46,106.17,106.33,106.47,106.90,108.02,108.57,108.67,108.63,108.94,109.29,109.18,109.39,109.07,109.22,109.01,109.46,109.15,109.91,110.26,110.94,110.39,110.12,109.90,109.78,109.61,109.88,110.27,110.92,110.80,110.24,111.07,111.34,111.58,112.12,110.88,109.60,109.77,109.69,110.20,111.21,111.27,111.05,111.15,111.23,111.88,112.23,111.07,110.88,111.13,112.38,112.88,113.13,113.29,113.86
División,0.224503124,01,Alimentos y bebidas no alcohólicas,101.67,101.51,101.07,102.80,103.29,104.14,103.20,103.27,105.07,104.51,104.04,107.51,107.92,109.56,108.45,106.12,107.95,106.66,106.19,104.93,106.02,105.76,104.71,104.11,104.68,104.63,106.19,106.86,106.99,106.27,105.59,106.04,105.44,105.22,103.99,104.65,104.08,106.26,107.34,104.95,102.80,100.74,102.58,103.32,104.24,104.42,104.53,102.83,104.61,104.06,103.91,104.05,104.21,103.74,104.87,104.76,105.40,106.82,105.36,104.67,106.86,105.46,109.51,110.99,108.46,109.03,108.06,106.40,106.97,107.61,106.87,106.27,106.16,106.61,108.52,109.10,107.61,106.20,107.66,108.27,107.83,106.78,106.85,107.58,109.70,109.81,108.90,109.51,113.32,115.80,115.46,115.09,117.12,118.10,118.08,118.06,117.26,117.73,117.23,117.60,116.58,120.76,122.84,124.72,123.75,122.57,121.79,121.64,121.60,122.25,122.30,121.08,120.22,120.67,121.13,120.82,122.13,121.98,121.01,120.39,121.92,123.02,123.89,122.94,123.08,122.29,123.52,124.04,124.94,122.19,120.61,119.85,121.28,122.00,125.50,123.62,122.35,121.08
Grupo,0.199535008,011,Alimentos,101.63,101.47,100.95,102.72,103.21,104.05,103.03,103.10,105.09,104.40,103.81,107.58,107.98,109.71,108.48,105.89,107.42,105.54,104.91,103.48,104.67,104.39,103.21,102.81,103.57,103.18,104.94,105.77,106.16,105.81,104.98,105.48,104.81,104.55,102.54,103.29,102.56,104.98,106.20,103.58,101.18,98.90,100.96,101.77,102.76,102.95,103.04,101.20,103.13,102.54,102.32,102.52,102.66,102.19,103.41,103.26,104.09,105.57,104.03,103.21,105.58,104.12,108.64,110.26,107.49,108.02,107.12,105.26,105.91,106.58,106.04,105.43,105.40,105.82,107.92,108.61,107.05,105.54,106.90,107.40,106.93,105.65,105.59,106.49,108.62,108.83,107.68,108.43,112.67,115.47,115.00,114.71,116.80,117.78,117.73,117.64,116.66,117.32,116.62,117.20,115.83,120.37,122.71,124.90,123.76,122.45,121.61,121.36,121.38,122.09,122.02,120.25,119.26,119.84,120.40,119.91,121.25,121.11,120.09,119.50,120.91,122.21,123.10,121.93,121.82,120.84,122.37,122.98,124.14,121.14,119.43,118.62,120.23,120.85,124.81,122.67,121.19,119.81
Clase,0.039444215,0111,Pan y cereales (ND),95.08,97.49,97.34,96.02,96.39,98.78,98.89,98.77,103.51,103.67,100.83,103.96,101.75,104.24,101.81,101.48,103.22,102.06,101.11,101.63,101.42,101.23,101.21,100.74,100.53,99.94,99.98,100.57,99.92,100.19,101.84,100.23,99.12,99.36,97.55,100.60,96.33,96.65,97.16,96.55,96.60,94.51,95.58,95.45,95.17,98.03,97.28,95.18,95.84,95.16,93.65,94.71,93.29,93.15,92.67,89.71,91.88,92.88,94.33,90.32,92.68,92.84,93.98,92.54,93.42,94.08,94.08,94.24,94.32,93.94,93.85,93.77,93.71,94.89,96.81,96.46,96.70,96.68,96.94,96.93,97.39,96.34,96.91,97.04,97.03,97.74,97.18,98.17,102.25,103.68,104.37,103.35,104.96,104.42,104.59,105.25,105.13,104.93,105.62,105.54,105.50,106.80,109.08,110.70,109.87,110.13,110.96,112.20,111.45,111.45,110.60,109.67,109.60,109.24,109.88,111.28,111.96,110.83,110.18,109.51,109.02,107.53,108.47,107.60,108.06,107.59,107.72,106.84,106.88,106.48,107.64,107.27,108.14,107.84,106.46,106.85,106.13,107.25
Subclase,0.015467425,01111,Arroz,102.26,104.66,106.53,108.59,107.21,107.16,106.49,107.06,109.05,113.26,111.55,122.25,118.09,115.81,114.18,115.97,116.08,114.26,113.53,113.24,113.59,113.82,113.61,115.21,113.81,113.30,112.51,111.15,108.58,109.72,108.06,105.69,104.87,103.40,101.95,105.57,104.44,104.94,103.71,103.85,102.03,98.88,98.67,98.73,101.73,101.22,100.51,102.57,101.70,103.00,102.69,106.33,106.06,103.42,106.03,104.55,104.62,107.22,107.74,100.58,105.59,106.04,107.28,102.28,106.78,106.78,105.69,106.43,107.05,105.68,104.49,105.73,105.01,107.57,110.39,108.81,109.20,110.56,110.56,107.21,108.53,102.16,105.62,106.53,105.62,105.24,103.36,108.74,111.08,111.50,108.81,100.89,111.63,105.69,105.11,105.15,103.43,103.39,105.49,109.16,109.35,112.80,127.56,133.63,130.84,134.33,140.05,142.99,143.59,142.72,137.35,136.57,132.51,130.57,131.81,138.81,141.91,135.95,135.95,130.67,127.36,123.15,124.89,118.18,120.47,118.16,118.84,113.40,115.54,113.84,118.96,119.76,120.09,120.15,113.52,116.42,111.43,113.89
Producto,0.015467425,01111001,ARROZ,102.26,104.66,106.53,108.59,107.21,107.16,106.49,107.06,109.05,113.26,111.55,122.25,118.09,115.81,114.18,115.97,116.08,114.26,113.53,113.24,113.59,113.82,113.61,115.21,113.81,113.30,112.51,111.15,108.58,109.72,108.06,105.69,104.87,103.40,101.95,105.57,104.44,104.94,103.71,103.85,102.03,98.88,98.67,98.73,101.73,101.22,100.51,102.57,101.70,103.00,102.69,106.33,106.06,103.42,106.03,104.55,104.62,107.22,107.74,100.58,105.59,106.04,107.28,102.28,106.78,106.78,105.69,106.43,107.05,105.68,104.49,105.73,105.01,107.57,110.39,108.81,109.20,110.56,110.56,107.21,108.53,102.16,105.62,106.53,105.62,105.24,103.36,108.74,111.08,111.50,108.81,100.89,111.63,105.69,105.11,105.15,103.43,103.39,105.49,109.16,109.35,112.80,127.56,133.63,130.84,134.33,140.05,142.99,143.59,142.72,137.35,136.57,132.51,130.57,131.81,138.81,141.91,135.95,135.95,130.67,127.36,123.15,124.89,118.18,120.47,118.16,118.84,113.40,115.54,113.84,118.96,119.76,120.09,120.15,113.52,116.42,111.43,113.89
Subclase,0.001652284,01112,Cereales enteros y harinas,97.07,96.06,96.11,95.87,95.74,95.72,95.53,95.09,94.76,95.42,94.14,93.75,91.80,93.21,96.69,98.00,97.92,99.63,100.93,106.14,106.91,105.84,104.44,105.54,106.59,105.93,106.29,104.37,104.04,106.61,106.30,106.55,103.76,101.53,100.61,100.22,102.08,103.31,103.22,102.69,101.79,101.90,103.58,102.48,102.49,101.78,102.51,102.81,102.72,101.67,102.05,101.94,100.86,102.18,102.81,101.68,101.95,102.19,102.19,101.49,101.49,100.99,104.28,104.57,105.41,109.84,109.43,106.85,104.28,104.18,104.41,104.46,103.22,102.69,104.08,104.38,103.75,102.50,104.54,104.17,104.97,105.51,104.71,106.77,106.66,106.44,105.69,106.20,107.78,107.48,108.03,107.31,108.93,110.66,114.42,116.82,119.48,120.82,121.01,117.52,118.09,117.51,117.46,117.38,118.64,116.74,118.47,119.55,117.36,119.60,120.88,120.47,119.71,120.61,118.29,119.76,118.77,120.70,118.58,119.49,119.53,116.84,118.22,119.30,118.75,115.77,117.34,116.14,116.17,114.16,116.22,114.43,115.85,115.38,114.95,115.39,117.56,117.55
Producto,0.000491913,01112002,CEREALES ENTEROS,97.60,96.65,97.60,96.30,96.30,96.30,95.34,94.40,95.34,95.95,91.17,91.17,91.39,96.34,101.57,106.09,106.09,111.72,111.72,112.91,112.91,108.91,108.91,109.97,110.42,111.14,111.14,107.50,104.37,114.62,114.62,114.62,105.28,103.91,106.34,104.14,107.66,107.20,107.11,107.11,106.53,104.94,107.11,108.32,106.08,107.74,108.09,108.09,107.21,106.27,107.77,105.76,104.82,107.45,106.11,106.01,106.29,106.29,106.87,106.87,107.61,104.21,107.94,107.78,111.00,112.52,112.82,109.87,109.24,107.78,107.18,107.12,107.59,105.87,105.87,106.06,106.06,106.04,105.39,103.55,109.58,108.31,108.12,109.30,112.62,111.58,111.74,113.31,113.08,113.08,114.02,113.84,113.97,116.25,113.48,115.54,116.47,119.45,125.81,124.91,125.78,129.18,131.44,130.76,130.26,134.04,134.04,133.10,133.90,137.02,137.02,136.77,134.55,136.77,136.77,135.65,135.80,135.50,131.79,131.79,132.58,128.19,133.83,132.77,130.03,128.78,127.53,119.64,124.12,124.06,124.34,119.83,123.44,123.44,117.94,121.79,119.84,119.41
Producto,0.000721598,01112003,HARINA DE TRIGO,95.44,93.97,93.38,94.09,93.46,92.86,93.32,92.55,89.65,91.93,93.18,95.41,85.28,84.95,92.86,91.09,91.25,89.57,96.99,95.23,91.89,94.52,86.91,88.21,92.55,92.18,93.48,90.39,91.87,89.47,89.25,87.79,87.79,85.20,77.35,77.69,86.91,85.53,85.22,84.80,85.53,86.30,88.40,86.53,87.96,83.60,85.95,85.68,87.34,87.02,87.02,82.02,84.11,84.56,88.74,83.77,84.25,85.79,84.95,82.57,80.53,81.61,87.52,87.77,89.14,91.84,91.16,83.98,77.79,77.45,78.57,76.14,74.32,74.24,75.84,80.19,77.09,74.57,77.93,76.93,76.17,76.84,73.97,83.15,81.84,76.64,78.48,78.69,79.74,77.50,84.92,82.10,88.10,83.63,89.54,87.27,86.46,85.27,87.11,83.75,86.29,80.60,88.50,83.40,85.62,81.51,83.87,88.42,79.05,83.96,85.11,84.61,84.15,85.77,78.22,82.79,82.62,89.62,91.28,91.28,90.13,92.51,86.94,91.20,93.41,89.75,92.79,93.11,88.83,88.31,89.97,88.42,90.86,87.08,94.70,83.93,83.12,86.91
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,97.45,96.60,96.37,96.37,96.37,96.60,96.60,96.60,96.60,96.60,96.38,94.62,94.84,94.84,95.36,96.01,95.78,96.56,96.02,106.67,109.69,108.81,109.22,110.27,110.27,108.65,108.81,108.45,109.06,109.06,108.53,109.67,109.67,107.08,107.08,107.48,105.17,108.55,108.55,107.65,105.86,106.73,107.94,105.75,106.53,105.93,106.19,106.93,106.57,105.13,105.00,108.15,105.62,106.52,106.82,106.72,106.88,106.72,106.72,106.31,106.72,107.33,109.23,109.81,108.97,115.91,115.19,114.81,112.60,113.44,113.79,114.98,112.95,112.95,115.09,113.72,113.77,112.31,115.42,116.22,114.49,116.08,115.80,115.36,113.65,116.07,113.65,113.65,116.56,116.92,114.27,114.13,114.77,118.84,125.67,130.27,135.49,136.89,132.62,127.47,127.03,126.19,121.33,123.75,125.68,121.27,123.78,124.62,123.68,124.22,126.35,125.87,125.87,125.66,124.16,125.90,123.85,124.97,122.20,124.07,124.15,120.33,122.08,123.10,122.72,118.97,121.64,123.87,123.02,119.19,122.50,122.28,121.91,122.58,121.80,124.98,130.92,129.56
Subclase,0.001737414,01113,Gramíneas y derivados,100.69,100.96,100.96,100.63,101.56,101.58,100.52,100.73,100.73,100.73,100.73,101.56,99.56,101.80,99.73,98.97,100.56,100.02,99.71,100.08,100.18,101.32,101.31,100.51,100.51,100.32,96.56,100.33,101.70,99.22,100.52,101.38,101.10,100.64,99.85,98.36,99.02,92.46,95.31,97.37,93.97,97.69,94.41,95.57,97.06,93.98,95.65,96.40,94.96,94.99,95.26,99.22,98.51,98.51,98.51,98.82,99.20,99.04,99.04,98.88,96.79,98.58,98.58,98.51,98.94,102.26,105.41,109.23,111.33,110.86,110.26,110.11,110.41,108.85,106.02,107.19,108.07,107.92,107.59,108.05,108.52,107.50,108.96,110.03,109.03,107.12,105.39,104.17,104.78,106.56,104.32,109.20,108.93,111.32,110.17,114.50,114.83,112.53,113.40,112.96,109.24,117.34,113.23,117.00,115.15,116.65,114.68,117.22,117.96,113.76,112.68,113.11,109.36,115.81,119.32,121.75,121.91,121.22,120.87,120.85,120.71,120.08,113.56,117.52,116.11,120.01,117.29,120.87,116.83,120.23,120.40,119.11,120.41,120.86,120.08,115.84,121.91,120.89
