,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL REGIÓN SIERRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,101.09,101.69,101.85,102.67,102.87,103.32,103.13,103.27,103.62,103.59,103.83,103.97,104.27,104.39,104.44,104.54,104.69,104.93,104.95,104.76,104.92,104.85,104.78,104.95,104.97,105.02,105.12,105.24,105.43,105.09,104.88,104.89,104.86,104.80,104.65,104.79,105.11,105.29,105.33,105.14,104.86,104.79,104.84,104.94,105.35,105.28,105.14,105.09,105.67,105.35,105.13,105.20,105.19,105.25,105.45,105.34,105.45,105.94,105.25,105.22,105.44,105.25,105.55,105.74,105.74,105.52,104.79,104.52,104.26,104.03,104.05,103.95,104.16,104.16,104.34,104.59,104.61,104.58,104.98,105.19,105.24,105.46,105.95,106.11,106.64,106.98,107.07,107.50,108.07,108.56,108.99,109.12,109.72,109.95,109.92,110.06,110.13,110.04,110.20,110.29,110.24,110.54,111.00,111.39,111.37,111.26,110.91,111.02,110.87,111.13,111.12,112.49,112.42,111.62,112.53,112.88,113.16,113.01,112.71,112.49,111.91,111.78,112.14,113.10,113.24,113.50,113.75,114.08,114.27,114.78,113.86,113.65,114.02,114.57,114.87,115.40,115.61,114.96
División,0.224503124,01,Alimentos y bebidas no alcohólicas,102.22,102.31,102.18,103.50,103.56,104.56,104.08,104.15,104.35,104.13,104.26,104.93,104.90,105.90,106.32,106.20,106.63,106.69,106.61,106.13,105.83,105.49,105.38,105.69,105.59,106.33,106.79,107.19,107.27,107.46,106.25,106.23,105.26,105.29,104.68,105.34,105.57,105.68,106.12,105.71,104.79,104.11,104.39,104.82,105.40,105.59,105.39,104.78,106.39,105.55,105.16,105.17,104.60,104.41,105.14,104.94,104.89,106.36,105.33,104.36,105.18,104.75,106.74,108.03,107.76,107.72,106.30,105.40,104.37,104.16,104.27,103.93,104.35,104.71,105.07,105.33,104.77,103.92,105.13,105.39,104.80,104.54,104.99,105.41,106.59,107.45,107.40,107.48,108.70,111.07,112.21,112.26,113.11,113.64,113.99,114.15,113.82,113.73,114.53,113.68,113.97,115.64,118.20,119.60,119.50,119.13,117.47,117.99,117.74,118.98,117.87,119.02,118.51,118.08,118.10,119.32,120.54,119.80,118.81,117.91,118.33,118.61,120.63,120.34,119.97,121.02,121.63,121.84,122.43,123.12,121.74,120.44,121.65,122.06,121.71,121.42,120.74,120.15
Grupo,0.199535008,011,Alimentos,102.07,102.11,102.01,103.37,103.31,104.36,103.79,103.82,104.17,103.80,103.85,104.48,104.44,105.51,105.96,105.92,105.94,105.41,105.25,104.71,104.41,103.94,104.06,104.22,104.15,104.92,105.38,105.94,106.42,107.09,105.71,105.67,104.52,104.57,103.33,103.77,103.96,104.10,104.59,104.07,103.08,102.33,102.66,103.21,103.82,104.05,103.87,103.19,104.91,103.94,103.56,103.58,102.95,102.73,103.50,103.29,103.27,104.91,103.80,102.78,103.61,103.14,105.43,106.81,106.55,106.50,104.94,104.12,102.99,102.80,103.01,102.70,103.08,103.47,103.91,104.17,103.56,102.68,103.89,104.02,103.30,103.08,103.39,103.81,105.05,106.05,105.84,106.05,107.36,109.97,111.29,111.25,112.17,112.57,112.94,113.13,112.79,112.76,113.55,112.72,112.87,114.66,117.35,118.94,118.76,118.62,116.64,117.09,116.99,118.38,117.16,117.89,117.33,116.82,116.88,118.16,119.36,118.69,117.56,116.68,116.95,117.27,119.41,118.99,118.49,119.44,120.21,120.51,121.24,122.14,120.71,119.39,120.36,120.99,120.59,120.14,119.48,118.93
Clase,0.039444215,0111,Pan y cereales (ND),97.54,98.24,98.45,98.42,98.83,101.21,101.18,101.33,102.88,103.15,102.32,103.77,103.03,104.19,104.47,103.79,104.95,104.99,104.94,105.88,104.46,104.63,104.70,104.32,104.80,105.34,103.46,103.01,103.92,103.74,102.92,103.18,101.77,102.06,100.70,102.35,101.44,101.02,102.05,102.15,100.82,101.05,100.75,100.71,99.63,100.52,100.43,100.53,101.68,100.96,99.93,100.96,99.88,100.14,100.72,99.36,99.45,99.63,101.28,98.89,100.49,99.86,100.11,99.64,101.04,101.94,101.66,101.16,100.26,101.39,102.69,102.20,102.81,101.94,101.42,101.19,101.40,102.39,102.89,103.32,102.86,103.62,103.37,104.30,104.48,104.40,104.68,105.40,107.27,109.58,111.13,112.42,113.25,113.78,114.49,114.65,115.13,114.95,115.74,114.94,114.83,116.01,120.20,121.00,120.52,122.40,122.17,122.94,122.54,122.08,122.08,122.41,122.13,121.50,121.24,122.11,121.55,120.88,120.57,119.78,119.74,118.94,120.37,119.27,119.29,119.41,119.11,119.05,117.70,117.96,119.20,119.79,120.21,120.40,120.58,119.59,119.37,119.60
Subclase,0.015467425,01111,Arroz,103.11,103.16,106.10,108.37,108.59,107.53,107.47,109.45,111.67,112.97,112.39,116.07,114.63,114.48,115.01,116.25,116.57,116.71,116.05,115.55,114.95,114.57,114.87,113.95,114.61,115.21,115.02,114.50,112.78,112.41,110.40,107.38,107.65,108.12,107.78,107.56,107.75,106.93,108.23,107.57,106.05,104.87,105.63,104.90,105.40,106.22,103.63,103.82,104.37,105.04,103.71,105.30,106.04,104.78,106.35,100.61,102.84,103.40,105.32,101.14,103.98,104.24,104.93,104.59,105.16,106.84,104.18,106.42,105.52,105.16,105.57,105.72,105.75,106.42,105.83,104.16,105.18,105.24,103.86,103.13,103.30,104.03,102.37,104.41,105.10,103.12,103.93,104.17,105.11,105.64,106.12,106.49,107.90,105.57,107.44,106.82,107.98,106.70,106.89,106.37,107.86,112.74,129.81,131.67,130.03,136.12,139.20,139.42,139.73,138.96,138.83,138.33,136.26,134.49,134.46,136.74,133.83,131.05,132.13,128.21,125.64,119.22,126.95,122.82,122.52,122.11,120.30,121.68,116.79,118.29,123.43,125.22,126.29,125.88,123.57,120.15,117.74,117.71
Producto,0.015467425,01111001,ARROZ,103.11,103.16,106.10,108.37,108.59,107.53,107.47,109.45,111.67,112.97,112.39,116.07,114.63,114.48,115.01,116.25,116.57,116.71,116.05,115.55,114.95,114.57,114.87,113.95,114.61,115.21,115.02,114.50,112.78,112.41,110.40,107.38,107.65,108.12,107.78,107.56,107.75,106.93,108.23,107.57,106.05,104.87,105.63,104.90,105.40,106.22,103.63,103.82,104.37,105.04,103.71,105.30,106.04,104.78,106.35,100.61,102.84,103.40,105.32,101.14,103.98,104.24,104.93,104.59,105.16,106.84,104.18,106.42,105.52,105.16,105.57,105.72,105.75,106.42,105.83,104.16,105.18,105.24,103.86,103.13,103.30,104.03,102.37,104.41,105.10,103.12,103.93,104.17,105.11,105.64,106.12,106.49,107.90,105.57,107.44,106.82,107.98,106.70,106.89,106.37,107.86,112.74,129.81,131.67,130.03,136.12,139.20,139.42,139.73,138.96,138.83,138.33,136.26,134.49,134.46,136.74,133.83,131.05,132.13,128.21,125.64,119.22,126.95,122.82,122.52,122.11,120.30,121.68,116.79,118.29,123.43,125.22,126.29,125.88,123.57,120.15,117.74,117.71
Subclase,0.001652284,01112,Cereales enteros y harinas,97.15,96.82,97.31,96.77,95.57,95.77,96.26,96.29,95.51,96.65,96.14,96.26,96.18,96.12,97.62,98.38,99.54,100.55,101.90,104.96,105.60,105.51,103.48,105.52,105.62,105.88,105.51,105.01,105.97,106.87,106.59,107.95,106.70,105.78,104.91,104.24,105.66,103.51,104.72,103.10,102.65,102.61,103.76,104.20,103.42,102.11,103.13,100.67,102.98,101.41,99.59,101.48,102.33,102.72,103.95,101.47,103.68,103.98,101.90,101.02,101.58,100.72,101.26,102.06,104.58,107.65,107.17,104.17,101.28,101.50,101.65,100.87,103.97,103.19,104.03,103.99,102.95,103.07,104.08,104.58,104.94,105.76,105.37,110.16,108.88,108.59,107.88,109.09,108.48,110.21,108.56,109.83,109.91,111.07,112.01,114.47,115.47,115.78,115.72,113.87,116.01,115.75,117.07,115.65,118.14,117.18,118.28,119.26,118.59,119.21,119.31,119.57,119.75,118.61,114.22,117.20,118.84,119.92,118.50,117.97,116.36,115.66,114.77,115.21,114.30,112.03,112.16,112.86,112.53,109.97,109.33,111.07,113.12,112.12,110.54,111.14,111.85,111.98
Producto,0.000491913,01112002,CEREALES ENTEROS,96.93,96.77,96.41,96.67,94.98,94.98,94.85,94.45,94.63,94.59,94.03,94.23,94.60,95.33,96.85,98.51,101.41,103.89,104.25,105.35,106.40,105.54,105.28,105.54,105.08,106.70,106.91,107.75,108.26,110.03,111.60,110.41,107.52,106.54,107.78,107.59,104.80,103.66,104.03,103.63,103.68,101.93,102.23,102.63,102.35,101.45,101.90,100.59,100.33,100.67,101.16,100.02,100.15,100.62,100.19,100.31,100.49,100.82,99.28,99.57,99.59,97.22,98.00,97.61,101.92,104.44,103.86,103.88,102.84,100.99,101.11,100.44,101.53,101.20,100.40,100.46,101.18,100.42,101.51,101.86,104.56,105.22,108.03,108.21,110.07,110.77,109.63,110.87,110.35,109.82,110.65,110.13,109.36,109.62,109.50,110.31,111.16,111.94,114.89,116.41,116.91,119.32,122.61,122.65,124.80,124.56,126.12,126.35,122.95,127.16,126.81,127.31,127.10,124.91,124.55,124.33,124.97,124.65,123.80,121.87,120.01,120.40,119.31,117.82,114.96,115.40,111.85,112.96,112.39,109.82,110.58,108.52,114.80,115.92,112.77,112.18,112.60,113.32
Producto,0.000721598,01112003,HARINA DE TRIGO,99.25,98.60,99.60,98.33,96.66,97.23,98.46,98.41,95.12,99.06,98.30,99.16,98.30,97.25,99.11,98.78,98.91,98.60,99.85,100.30,99.99,100.36,93.44,99.16,99.29,98.63,97.86,95.43,96.56,96.56,93.25,99.33,99.30,98.38,94.51,93.34,101.35,95.30,98.59,94.44,93.29,95.31,98.51,100.03,97.09,94.79,96.72,89.02,98.97,93.77,87.77,94.87,98.01,97.78,102.26,93.93,100.99,101.67,97.00,93.85,95.20,95.36,95.72,97.70,99.82,101.60,101.54,91.02,84.55,86.94,87.44,84.43,91.10,89.29,93.17,95.55,89.45,90.96,91.34,91.96,89.83,90.63,85.32,101.41,95.64,92.95,93.28,96.83,91.81,97.81,93.47,98.75,99.31,97.96,97.73,104.30,101.68,101.64,100.50,97.29,102.38,97.45,99.87,90.77,95.68,96.02,96.54,98.20,101.08,99.08,98.35,99.46,98.66,98.75,87.58,96.36,100.50,104.09,103.96,102.01,100.94,100.44,97.90,98.85,100.72,96.61,99.73,98.80,98.16,96.44,89.75,98.13,96.27,94.00,93.52,94.63,92.56,94.07
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,95.35,95.10,96.27,95.32,95.32,95.43,96.03,96.77,97.14,97.14,96.97,96.21,96.27,96.10,97.19,97.78,97.55,97.79,100.64,109.09,110.12,110.65,111.05,111.89,112.75,112.03,111.20,110.77,112.20,112.78,112.93,113.16,113.00,112.14,111.33,110.47,111.20,111.56,111.87,111.07,110.60,110.92,111.21,110.61,111.30,110.43,111.32,112.52,110.77,110.16,109.27,110.22,109.75,110.68,110.97,110.71,110.92,110.78,110.53,110.28,110.81,111.07,111.46,112.76,113.13,118.29,117.53,117.80,115.92,116.88,116.71,118.02,120.38,119.99,120.09,117.48,119.03,119.00,120.55,121.13,120.70,121.74,121.79,121.75,120.50,121.24,120.08,118.93,122.62,123.25,120.81,120.57,121.37,126.31,129.95,130.59,135.45,135.47,132.22,126.97,128.46,129.10,126.56,130.78,131.33,128.04,129.06,130.44,130.03,128.23,129.79,128.85,130.59,129.67,126.43,128.10,128.62,129.15,125.64,128.52,126.72,124.28,125.34,128.00,127.03,122.80,125.09,126.87,127.22,123.81,127.27,127.73,127.71,124.97,124.54,126.30,130.18,128.10
