,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL REGIÓN COSTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,101.37,102.01,102.67,103.56,103.72,104.12,104.13,104.00,104.21,104.06,104.06,104.12,104.46,104.62,104.85,105.37,105.30,105.79,105.61,105.45,105.62,105.51,105.28,105.45,105.60,105.96,106.15,106.91,106.83,105.98,105.88,105.90,105.61,105.38,104.96,105.20,105.29,105.44,105.52,105.42,105.30,104.82,104.76,105.22,105.63,105.59,105.21,105.46,105.87,105.69,105.47,105.75,105.75,105.62,105.63,105.52,105.39,105.99,105.20,105.21,105.47,105.33,105.45,107.29,106.77,105.71,105.14,104.74,104.66,104.49,104.46,104.49,104.53,104.69,104.88,105.35,105.50,105.17,105.87,105.91,105.89,106.12,106.39,106.38,107.37,107.54,107.69,108.50,109.14,110.04,109.98,109.93,110.13,110.17,110.18,110.38,110.57,110.69,110.68,111.01,111.25,111.76,112.49,113.21,113.31,113.03,112.49,112.35,112.75,112.71,113.33,114.81,114.62,113.28,114.45,114.61,114.73,114.35,114.07,112.14,112.35,112.66,113.07,112.78,114.87,114.76,114.91,115.28,115.29,115.44,115.30,115.19,115.65,115.60,115.60,116.27,114.72,117.03
División,0.224503124,01,Alimentos y bebidas no alcohólicas,101.56,102.20,103.08,104.99,105.34,105.41,105.21,105.24,105.36,104.83,104.83,105.15,105.45,106.09,106.93,108.11,108.13,108.98,108.53,107.95,107.56,106.79,106.38,106.65,107.58,107.92,108.89,110.72,109.41,108.71,108.19,108.33,107.72,106.88,106.08,106.47,106.45,107.00,107.74,105.67,105.28,104.42,104.50,105.53,105.69,105.88,105.75,105.68,106.62,106.90,106.51,106.60,106.16,105.20,105.62,105.40,105.41,106.25,105.03,104.86,106.13,105.54,106.09,112.74,110.02,108.67,106.96,105.93,105.22,104.76,105.25,105.04,105.37,105.74,106.47,106.53,106.23,104.95,106.22,105.82,105.73,106.19,105.81,105.94,108.61,108.59,108.73,109.52,110.60,112.84,112.41,111.70,112.73,113.11,113.13,113.52,113.88,113.84,114.67,114.82,115.26,117.60,119.86,122.01,121.67,120.64,119.45,118.97,119.88,120.12,121.06,122.39,121.43,120.42,120.66,120.47,120.78,119.90,119.09,119.18,119.86,120.14,121.65,121.14,121.26,120.04,120.56,121.30,120.77,121.68,120.71,120.09,121.80,121.51,120.89,120.99,120.50,120.20
Grupo,0.199535008,011,Alimentos,101.59,102.28,103.23,105.30,105.61,105.61,105.40,105.26,105.41,104.65,104.60,104.96,105.85,105.83,106.68,107.95,107.73,107.61,106.99,106.22,105.59,104.86,104.40,105.07,105.94,106.11,107.27,109.33,108.39,107.94,107.19,107.63,106.92,106.02,104.90,104.70,104.87,105.45,106.15,103.82,103.11,102.21,102.24,103.47,103.58,103.80,103.73,103.69,104.71,105.01,104.60,104.69,104.03,103.13,103.50,103.25,103.26,104.15,102.84,102.75,104.13,103.47,104.07,111.51,108.64,106.90,104.95,103.94,103.18,102.73,103.18,103.03,103.26,103.54,104.38,104.49,104.30,102.99,104.36,103.69,103.57,104.04,103.68,103.66,106.50,106.55,106.71,107.55,108.82,111.30,111.03,110.11,111.24,111.54,111.44,111.97,112.31,112.22,113.10,113.47,113.67,116.28,118.78,121.29,120.80,119.71,118.30,117.67,118.88,119.02,120.11,121.05,119.99,118.83,119.12,118.77,119.12,118.22,117.27,117.50,118.09,118.38,119.96,119.41,119.30,117.80,118.42,119.32,118.81,119.84,118.80,118.47,119.80,119.61,118.96,119.00,118.37,118.20
Clase,0.039444215,0111,Pan y cereales (ND),96.00,99.39,101.56,102.99,104.37,105.21,106.39,104.98,105.68,106.52,106.97,106.80,106.32,106.99,107.00,107.61,107.70,106.78,107.43,107.46,107.55,106.80,106.49,105.17,106.22,107.78,107.49,107.01,105.91,104.81,103.64,104.43,103.47,102.31,101.25,101.23,101.29,99.83,101.32,99.39,98.89,98.43,98.49,99.38,100.52,100.36,99.13,99.27,100.05,100.04,99.28,99.67,100.71,100.97,101.38,99.42,100.58,100.99,101.07,100.65,101.81,102.19,102.14,101.72,103.15,103.47,103.23,101.34,100.36,100.18,99.66,99.58,101.46,101.27,102.11,102.67,102.17,100.47,100.97,102.34,103.03,103.37,102.28,103.31,103.37,102.32,103.13,104.26,105.21,107.01,107.60,106.83,107.62,108.24,108.12,108.86,110.00,109.64,110.31,108.64,110.75,117.34,127.65,126.95,125.82,127.05,127.32,128.58,128.47,128.26,127.01,126.52,125.90,123.87,125.99,124.46,123.84,122.52,120.53,120.53,119.90,118.57,119.34,119.17,117.17,116.66,115.58,116.38,113.55,115.59,115.08,115.30,116.12,117.13,115.22,114.97,115.27,113.79
Subclase,0.015467425,01111,Arroz,94.12,95.81,99.63,101.28,102.83,103.89,105.38,103.52,106.30,106.79,106.91,108.10,107.15,107.90,107.08,107.94,107.39,104.80,105.82,105.28,105.83,105.46,105.91,104.61,105.01,105.51,105.14,104.39,103.64,100.96,98.51,98.16,97.34,96.56,96.46,96.08,95.19,95.13,95.17,93.87,92.83,90.96,92.90,93.60,94.72,94.84,92.66,92.15,92.71,94.66,94.36,95.13,97.53,97.24,97.55,94.98,97.28,96.23,97.02,95.07,96.78,96.90,98.09,96.35,99.18,99.15,100.11,96.21,94.40,94.34,93.15,92.53,95.06,94.80,95.85,95.29,94.59,90.93,89.91,90.72,91.55,91.78,89.12,90.81,91.24,89.43,92.39,92.89,93.30,94.47,94.11,91.40,91.76,93.38,92.76,93.59,93.93,93.91,94.94,91.89,96.51,109.10,128.50,127.12,125.80,127.94,128.95,131.18,130.60,132.67,130.42,129.08,127.62,124.26,127.83,125.12,122.52,119.71,118.96,116.05,113.80,112.32,114.55,114.04,110.16,108.97,106.74,109.14,103.97,107.74,106.87,107.10,107.71,110.17,107.49,107.58,107.25,104.53
Producto,0.015467425,01111001,ARROZ,94.12,95.81,99.63,101.28,102.83,103.89,105.38,103.52,106.30,106.79,106.91,108.10,107.15,107.90,107.08,107.94,107.39,104.80,105.82,105.28,105.83,105.46,105.91,104.61,105.01,105.51,105.14,104.39,103.64,100.96,98.51,98.16,97.34,96.56,96.46,96.08,95.19,95.13,95.17,93.87,92.83,90.96,92.90,93.60,94.72,94.84,92.66,92.15,92.71,94.66,94.36,95.13,97.53,97.24,97.55,94.98,97.28,96.23,97.02,95.07,96.78,96.90,98.09,96.35,99.18,99.15,100.11,96.21,94.40,94.34,93.15,92.53,95.06,94.80,95.85,95.29,94.59,90.93,89.91,90.72,91.55,91.78,89.12,90.81,91.24,89.43,92.39,92.89,93.30,94.47,94.11,91.40,91.76,93.38,92.76,93.59,93.93,93.91,94.94,91.89,96.51,109.10,128.50,127.12,125.80,127.94,128.95,131.18,130.60,132.67,130.42,129.08,127.62,124.26,127.83,125.12,122.52,119.71,118.96,116.05,113.80,112.32,114.55,114.04,110.16,108.97,106.74,109.14,103.97,107.74,106.87,107.10,107.71,110.17,107.49,107.58,107.25,104.53
Subclase,0.001652284,01112,Cereales enteros y harinas,98.03,98.23,97.95,96.50,96.37,94.94,96.71,97.74,93.66,97.12,97.49,97.63,97.18,97.12,98.03,98.28,97.15,98.92,99.39,101.93,102.58,102.15,91.47,97.41,102.55,101.45,100.00,98.54,103.26,99.13,98.96,101.42,101.32,100.48,99.71,100.05,101.32,101.97,101.82,100.03,99.37,99.70,98.35,97.53,97.64,95.15,95.72,92.90,99.27,98.80,95.46,92.76,96.19,92.56,97.77,88.06,98.84,96.63,96.07,91.87,94.44,97.09,95.50,97.42,100.16,100.60,100.40,90.99,87.29,87.98,90.24,87.89,90.26,90.92,96.51,98.21,90.84,89.21,93.23,92.18,93.03,94.06,91.18,95.28,97.88,94.66,94.13,99.20,95.93,98.64,96.44,98.85,100.48,100.40,103.33,103.46,102.82,104.45,104.31,100.56,104.43,100.29,103.00,101.84,100.81,100.22,102.35,104.59,106.82,104.31,104.63,102.85,103.78,104.10,97.39,103.18,104.92,105.19,102.76,104.72,104.51,104.14,105.92,105.42,105.69,104.07,106.06,104.51,104.62,105.05,104.10,105.70,104.76,100.84,101.77,103.02,101.32,100.97
Producto,0.000491913,01112002,CEREALES ENTEROS,92.01,92.19,92.35,92.35,91.86,92.42,92.00,92.10,92.03,91.79,90.60,90.51,89.61,91.49,95.82,96.59,93.09,98.88,98.85,98.76,98.76,98.72,98.60,98.59,99.04,95.84,97.36,97.06,97.51,99.14,99.28,99.03,97.20,95.00,95.54,96.12,97.34,97.12,92.72,89.12,88.74,88.69,88.93,90.96,88.63,89.01,89.07,88.89,90.02,90.00,88.70,86.36,86.05,87.32,85.13,85.30,87.12,84.95,84.40,84.10,84.29,83.78,81.89,83.38,86.74,88.37,88.86,86.20,87.48,86.13,86.04,84.61,84.37,85.77,84.30,85.19,85.49,83.90,86.22,86.24,87.53,89.05,90.33,91.22,91.90,92.03,91.91,91.19,91.40,92.03,91.67,91.66,91.91,91.87,91.65,92.18,92.54,95.42,96.20,96.22,96.13,96.30,99.05,99.89,101.63,101.91,102.07,102.40,100.41,104.30,103.68,103.52,101.02,103.18,103.42,102.38,101.22,100.72,99.84,100.19,99.88,99.89,100.68,99.33,99.44,98.22,95.07,97.17,96.47,95.62,94.41,95.05,94.61,96.32,94.39,94.57,94.75,93.53
Producto,0.000721598,01112003,HARINA DE TRIGO,99.60,99.83,99.34,97.02,96.91,94.38,97.54,99.03,92.39,98.19,98.78,99.30,98.83,98.34,98.43,98.37,97.30,98.63,99.39,99.51,99.63,98.98,81.19,90.77,99.09,98.18,95.50,93.29,100.82,93.62,93.12,97.18,97.49,97.23,96.08,96.42,97.98,97.76,98.64,98.29,97.45,97.66,95.32,93.74,94.07,90.19,91.42,86.19,96.30,95.88,90.70,87.37,92.61,86.26,95.61,80.06,96.72,93.28,92.54,85.75,89.89,94.52,91.83,94.45,97.58,97.68,97.09,82.24,75.96,77.02,80.26,76.85,80.47,81.79,91.88,94.10,81.08,78.88,84.69,83.44,84.39,84.97,80.30,86.52,90.66,84.72,84.38,92.64,86.89,90.98,88.16,92.05,93.84,91.89,95.11,95.22,93.60,94.82,95.15,91.31,98.12,90.25,92.32,90.80,88.76,88.41,91.37,94.83,99.23,93.87,93.94,91.85,93.25,93.69,85.15,93.69,96.07,96.12,94.24,96.04,96.16,96.25,98.84,97.61,98.96,97.78,101.68,98.69,97.35,98.98,96.53,98.86,97.48,91.52,93.86,96.23,91.12,91.55
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,98.00,98.09,98.05,97.90,98.00,98.07,97.72,98.16,98.06,97.91,98.73,98.07,97.97,97.74,98.47,99.16,99.51,99.73,99.74,110.42,112.87,112.77,113.58,113.99,113.99,113.79,113.56,113.29,113.52,113.52,114.05,114.14,114.12,112.65,112.01,112.17,112.72,116.25,116.25,111.90,111.57,112.46,112.60,111.88,113.02,112.24,111.43,113.14,113.26,112.35,112.45,111.20,112.40,112.58,111.92,110.82,112.25,113.25,113.15,113.11,113.18,112.76,114.23,114.63,115.93,116.47,116.82,117.11,116.81,117.91,119.18,119.00,119.82,118.26,116.83,117.73,119.98,119.81,120.28,119.02,119.32,121.25,120.21,120.95,120.79,122.45,121.11,121.74,122.65,123.11,121.31,121.49,123.63,128.42,132.70,132.58,133.85,135.70,133.75,127.67,126.51,129.25,133.59,132.05,131.79,129.99,131.25,131.59,130.99,131.65,133.23,131.19,133.17,131.95,125.35,128.56,130.57,131.93,127.00,130.49,129.46,127.63,127.96,129.95,127.47,124.47,124.91,124.67,129.15,127.28,130.42,130.77,130.63,128.29,127.45,126.45,132.45,130.63
