,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL GUAYAQUIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,101.26,101.68,102.36,103.42,103.62,104.12,104.05,103.88,104.21,104.03,103.95,104.05,104.20,104.33,104.75,105.22,105.08,105.77,105.48,105.48,105.65,105.53,105.19,105.22,105.50,106.03,106.34,107.08,107.16,105.99,105.85,105.90,105.61,105.31,104.89,105.13,105.03,105.33,105.30,105.49,105.34,104.84,104.76,105.27,105.59,105.79,105.36,105.70,106.04,105.79,105.61,105.87,106.05,105.84,105.85,105.77,105.60,106.39,105.37,105.40,105.71,105.50,105.77,107.47,107.20,106.05,105.56,105.13,105.02,104.83,104.86,105.02,104.76,104.87,105.18,105.83,105.90,105.60,106.26,106.36,106.24,106.64,106.70,106.63,107.88,108.01,108.07,109.03,109.54,110.65,110.46,110.41,110.62,110.72,110.78,110.89,111.07,111.29,111.29,111.58,111.79,112.27,113.17,114.01,114.13,113.91,113.36,113.24,113.40,113.52,114.03,115.67,115.49,113.90,115.51,115.31,115.67,115.25,114.86,112.79,113.08,113.58,113.83,113.41,115.60,115.55,115.70,115.93,116.04,116.28,115.83,115.85,116.34,116.34,116.28,117.09,115.07,117.99
División,0.224503124,01,Alimentos y bebidas no alcohólicas,101.27,101.84,102.90,105.15,105.65,105.77,105.40,105.42,105.75,105.04,105.00,105.52,105.20,105.90,107.41,108.28,108.09,109.47,108.80,108.65,107.65,106.58,105.92,105.88,107.29,108.12,109.61,111.55,110.18,108.78,108.41,108.41,107.85,106.72,105.78,106.37,106.27,107.07,107.56,105.86,105.31,104.63,104.63,105.49,105.64,106.27,106.34,106.20,107.09,107.22,107.04,106.73,106.59,105.19,105.69,105.48,105.51,106.53,105.07,104.93,106.49,105.57,106.47,112.96,110.11,109.68,107.68,106.54,105.87,105.10,105.76,105.73,105.51,105.42,106.74,107.13,106.62,105.47,106.75,106.41,105.99,107.16,106.33,106.69,109.90,109.72,109.66,110.45,111.20,114.19,113.36,112.57,113.25,113.97,113.79,114.10,114.08,114.17,115.12,115.32,115.41,117.91,120.40,122.99,122.52,121.78,120.60,120.79,120.96,121.66,121.85,123.38,122.51,121.42,122.10,121.43,122.27,121.38,120.20,120.78,121.01,121.77,122.91,122.36,122.56,121.38,122.01,122.09,121.98,123.32,121.50,121.15,122.76,123.09,122.34,122.44,121.94,122.02
Grupo,0.199535008,011,Alimentos,101.16,101.84,103.04,105.52,105.98,105.91,105.51,105.30,105.74,104.72,104.65,105.22,105.85,105.45,106.97,107.93,107.63,107.58,106.80,106.56,105.20,104.23,103.46,103.95,105.08,105.79,107.66,109.82,109.12,107.94,107.19,107.62,106.93,105.79,104.50,104.28,104.52,105.34,105.64,103.78,102.85,102.10,102.03,103.02,103.15,103.85,104.00,103.87,104.89,105.01,104.89,104.57,104.16,102.87,103.32,103.06,103.13,104.20,102.57,102.55,104.29,103.23,104.20,111.50,108.61,107.80,105.46,104.31,103.52,102.71,103.40,103.44,103.04,102.78,104.35,104.79,104.32,103.10,104.53,103.92,103.42,104.59,103.84,104.02,107.37,107.35,107.30,108.16,109.01,112.42,111.65,110.68,111.43,112.16,111.81,112.21,112.17,112.21,113.27,113.70,113.45,116.25,119.05,122.17,121.41,120.60,119.21,119.42,119.92,120.42,120.66,121.76,120.70,119.51,120.26,119.50,120.41,119.52,118.15,118.94,119.05,119.94,121.06,120.42,120.46,118.97,119.61,119.77,119.82,121.24,119.27,119.27,120.37,120.90,120.16,120.09,119.52,119.81
Clase,0.039444215,0111,Pan y cereales (ND),95.11,98.85,100.65,101.86,103.76,104.23,105.15,103.00,104.65,105.65,106.51,106.09,105.08,106.23,106.34,106.71,106.42,105.64,106.77,107.23,107.04,106.13,105.99,104.21,105.70,107.93,107.99,107.57,106.10,104.75,102.98,104.09,103.33,102.54,99.80,100.39,99.82,99.40,100.73,98.80,98.41,98.72,97.85,99.44,100.34,100.46,99.75,99.10,100.80,98.55,99.45,99.76,99.45,100.10,100.59,98.58,100.35,100.86,100.47,99.98,101.95,101.61,101.90,100.11,103.20,103.08,102.59,100.18,98.76,98.08,97.54,97.61,99.90,99.26,101.73,101.69,101.61,99.35,99.85,101.66,102.39,103.36,102.00,102.75,104.29,102.38,102.94,103.79,104.61,106.84,107.50,107.28,107.32,107.93,108.01,108.16,109.13,108.27,109.83,107.74,110.31,117.44,127.27,127.56,126.74,128.16,128.54,131.32,130.08,129.91,128.33,127.96,127.47,125.72,128.62,126.30,126.86,126.56,124.12,124.57,122.69,122.41,121.69,122.23,119.96,118.62,118.23,118.00,115.49,118.58,116.58,117.02,117.79,118.87,117.63,117.05,117.71,116.48
Subclase,0.015467425,01111,Arroz,93.03,95.93,98.57,100.38,102.40,103.05,104.56,102.32,107.73,107.91,107.54,109.37,107.80,109.41,109.01,109.61,108.30,105.13,107.81,107.43,108.14,107.73,108.45,108.06,107.59,108.37,108.31,107.50,106.80,103.66,100.00,99.95,100.19,99.41,97.99,97.63,95.91,96.67,97.08,94.93,93.76,92.74,93.88,95.55,96.36,96.79,95.11,92.57,95.25,94.79,95.72,96.82,97.21,96.69,97.76,94.42,98.82,97.25,97.91,94.98,97.53,97.49,99.67,95.58,101.47,101.24,102.43,97.23,93.97,92.98,92.43,91.18,94.35,92.84,96.02,94.44,94.66,89.05,87.36,88.17,89.01,90.10,87.05,88.65,91.74,88.07,90.74,90.39,90.87,92.10,91.43,89.52,89.12,91.18,91.35,90.93,90.27,89.75,92.99,88.42,94.35,107.73,126.26,126.83,126.02,128.73,129.35,134.56,131.92,135.13,131.93,130.32,129.38,126.46,131.94,127.11,126.41,125.67,125.01,121.23,117.18,117.94,117.41,117.72,113.54,110.46,108.90,110.31,105.29,111.58,107.45,107.96,108.87,111.25,110.27,110.26,109.73,107.70
Producto,0.015467425,01111001,ARROZ,93.03,95.93,98.57,100.38,102.40,103.05,104.56,102.32,107.73,107.91,107.54,109.37,107.80,109.41,109.01,109.61,108.30,105.13,107.81,107.43,108.14,107.73,108.45,108.06,107.59,108.37,108.31,107.50,106.80,103.66,100.00,99.95,100.19,99.41,97.99,97.63,95.91,96.67,97.08,94.93,93.76,92.74,93.88,95.55,96.36,96.79,95.11,92.57,95.25,94.79,95.72,96.82,97.21,96.69,97.76,94.42,98.82,97.25,97.91,94.98,97.53,97.49,99.67,95.58,101.47,101.24,102.43,97.23,93.97,92.98,92.43,91.18,94.35,92.84,96.02,94.44,94.66,89.05,87.36,88.17,89.01,90.10,87.05,88.65,91.74,88.07,90.74,90.39,90.87,92.10,91.43,89.52,89.12,91.18,91.35,90.93,90.27,89.75,92.99,88.42,94.35,107.73,126.26,126.83,126.02,128.73,129.35,134.56,131.92,135.13,131.93,130.32,129.38,126.46,131.94,127.11,126.41,125.67,125.01,121.23,117.18,117.94,117.41,117.72,113.54,110.46,108.90,110.31,105.29,111.58,107.45,107.96,108.87,111.25,110.27,110.26,109.73,107.70
Subclase,0.001652284,01112,Cereales enteros y harinas,98.05,98.48,97.86,95.55,95.55,94.03,96.33,97.53,90.49,97.26,97.54,97.66,98.33,97.48,98.67,99.07,98.09,101.16,101.05,104.40,104.73,104.57,91.62,97.03,104.60,101.38,99.62,97.89,104.18,104.28,100.12,102.92,102.72,102.40,103.96,104.15,104.43,105.97,104.95,102.08,101.41,101.17,99.30,99.77,99.03,98.10,98.81,95.27,100.11,99.91,96.44,93.90,96.03,91.08,97.92,86.95,99.25,97.30,96.05,91.54,95.56,97.61,97.97,97.75,101.33,101.68,100.85,89.59,85.74,86.46,90.07,85.54,88.75,91.49,97.94,97.69,91.67,86.71,91.93,90.64,93.09,93.43,91.53,91.61,94.38,93.01,92.45,98.36,94.43,98.53,94.85,99.05,98.84,100.14,102.84,102.13,101.96,103.45,103.72,97.57,102.43,98.55,100.64,100.98,99.37,97.78,99.18,103.10,104.38,102.39,103.59,101.09,102.17,104.00,98.58,104.30,104.13,103.78,101.05,103.49,103.21,104.98,105.68,106.04,105.97,104.31,107.05,103.69,103.85,105.09,104.25,106.08,103.78,102.16,101.99,103.36,103.19,102.57
Producto,0.000491913,01112002,CEREALES ENTEROS,88.56,89.06,89.06,89.06,89.06,89.06,87.08,87.79,87.79,87.79,87.51,87.51,85.97,89.09,98.51,98.57,91.43,101.01,101.01,101.01,101.01,100.15,99.18,99.18,100.80,92.77,96.01,95.37,98.04,98.85,99.55,99.55,97.97,97.25,97.58,99.21,99.59,100.50,92.46,82.64,82.64,83.01,82.58,86.46,82.69,82.59,82.99,82.86,84.16,84.84,82.30,76.30,77.93,80.06,78.76,79.58,81.37,77.02,74.98,75.02,75.65,75.69,72.32,75.46,79.52,79.47,80.65,76.33,77.56,77.36,77.36,75.04,74.58,78.40,76.77,78.40,78.40,75.86,78.47,78.47,80.08,81.73,82.97,83.33,83.08,83.79,83.79,82.16,82.70,82.70,81.66,82.03,83.65,80.38,80.98,81.53,82.14,85.71,85.71,85.71,85.71,85.71,89.07,88.06,89.07,89.94,89.93,89.93,88.44,93.56,93.30,93.30,91.19,92.95,92.95,92.17,92.17,92.70,92.39,93.28,91.76,93.28,93.28,90.74,91.38,90.22,85.68,89.09,89.65,88.82,86.11,89.68,86.70,89.85,88.17,87.65,87.24,87.44
Producto,0.000721598,01112003,HARINA DE TRIGO,99.82,100.38,99.43,95.87,95.87,93.54,97.53,99.17,88.32,98.75,99.25,99.43,100.76,98.84,98.84,99.21,98.87,101.47,101.36,101.29,101.47,101.39,81.79,90.12,101.47,98.08,94.81,92.31,101.47,101.47,94.81,99.13,99.13,99.13,101.47,101.47,101.47,101.47,101.47,101.55,100.45,99.82,97.02,97.16,96.46,95.11,96.31,90.86,97.87,97.87,92.92,90.91,92.95,84.87,96.24,80.11,98.01,95.08,93.55,86.56,92.63,95.78,96.38,95.36,99.22,99.71,98.60,82.30,76.17,76.89,81.91,75.79,80.25,84.51,95.10,93.93,83.56,76.60,83.95,82.31,86.09,85.11,83.28,82.92,87.01,84.46,84.54,92.42,86.75,92.82,87.77,94.18,92.17,93.08,96.12,96.29,94.39,94.85,96.68,90.24,98.10,90.59,92.64,93.03,91.05,88.29,90.11,95.50,98.31,93.81,95.22,92.40,93.59,96.40,90.57,98.30,97.26,96.02,93.67,96.64,96.60,99.71,99.44,100.70,102.28,99.92,103.50,98.69,97.98,100.35,98.86,100.86,97.82,95.27,95.99,98.29,95.74,95.46
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,98.28,98.28,98.28,98.28,98.28,98.28,98.06,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.95,99.62,100.34,100.19,115.31,116.26,116.25,115.78,115.78,115.78,115.78,115.53,115.45,115.45,115.45,115.78,115.78,115.78,114.75,114.75,114.67,115.70,122.03,122.03,114.56,114.77,115.30,115.30,114.80,115.64,115.47,114.93,115.01,115.57,114.30,114.61,112.47,115.13,115.23,113.55,110.87,112.92,115.15,115.15,115.24,115.24,115.24,117.03,117.24,119.71,119.90,118.76,118.16,118.02,119.27,120.81,119.64,121.29,119.02,118.09,119.44,122.58,122.03,122.59,121.57,120.67,124.04,120.20,121.38,122.06,122.94,120.19,124.66,123.24,123.93,122.74,122.74,126.68,131.70,134.58,130.60,134.99,138.30,134.21,125.46,124.37,128.80,130.25,131.25,129.20,129.62,130.59,132.50,130.93,132.18,133.57,130.61,133.14,132.18,124.88,128.44,130.76,132.47,127.24,129.04,128.77,126.81,130.67,130.11,124.87,124.95,129.37,126.37,128.80,127.99,130.06,130.43,130.60,129.01,127.13,126.85,133.68,131.64
