,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL ESMERALDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,101.49,102.12,102.82,103.67,103.93,104.00,104.32,104.51,104.85,104.76,104.84,104.75,105.98,106.22,106.48,106.81,107.14,107.22,106.92,106.81,107.20,107.18,107.57,107.35,107.18,107.61,107.25,107.75,107.55,107.03,106.80,106.69,106.63,106.55,106.17,106.28,106.91,106.81,107.06,107.16,106.60,106.06,105.65,106.38,107.00,106.65,106.42,106.36,106.67,106.64,106.05,106.33,106.31,106.60,106.63,106.34,106.38,107.04,106.29,106.01,105.86,105.74,106.20,107.06,106.49,105.94,105.17,104.83,104.69,104.52,104.45,104.68,104.63,104.86,105.25,105.47,105.61,105.59,106.02,105.93,106.17,106.18,106.30,106.19,106.49,106.65,106.96,107.25,107.68,108.07,108.91,108.66,108.43,108.75,109.21,109.82,109.55,109.31,109.14,109.61,109.93,110.12,110.64,111.14,111.55,111.47,111.22,111.14,112.46,112.03,112.52,113.43,113.29,112.50,113.40,113.44,113.85,113.35,112.81,111.18,111.70,111.98,112.21,111.62,113.38,113.74,113.88,114.56,114.53,114.58,115.46,114.92,114.56,114.34,114.00,115.12,115.20,115.43
División,0.224503124,01,Alimentos y bebidas no alcohólicas,102.68,102.96,104.21,105.43,105.48,104.86,105.41,105.97,106.05,105.77,105.76,105.91,106.56,107.13,108.01,109.27,109.95,111.23,110.47,110.22,110.52,110.29,111.70,110.01,110.13,110.18,109.18,109.54,108.67,109.06,108.67,108.67,108.38,107.63,107.07,107.29,108.53,107.71,108.89,108.86,107.18,105.84,105.03,106.89,107.42,107.29,107.14,106.40,106.73,107.16,106.06,106.21,106.05,106.25,106.36,105.74,106.75,107.45,105.68,105.41,105.12,105.51,107.19,112.19,110.18,107.63,105.18,104.83,103.77,103.29,103.94,104.02,103.89,104.91,106.19,106.19,105.43,104.77,105.50,105.13,105.28,105.81,105.83,105.92,107.07,107.12,107.66,107.57,108.37,110.32,112.00,110.58,110.85,111.35,113.15,115.49,114.36,114.15,114.22,113.75,114.49,116.79,118.76,119.83,121.14,121.00,120.07,119.94,120.34,119.36,120.35,121.15,120.07,119.99,120.86,120.64,121.22,119.85,118.09,117.96,118.71,119.14,120.78,119.92,119.69,120.16,121.24,123.53,122.51,122.36,125.16,122.91,122.52,121.58,119.61,121.28,120.91,119.73
Grupo,0.199535008,011,Alimentos,103.31,103.41,104.75,106.03,106.03,105.26,105.90,106.52,106.52,106.09,106.05,106.12,106.78,107.40,108.42,109.56,109.73,110.55,109.89,108.95,109.11,108.72,110.52,108.63,108.69,108.77,107.57,108.01,107.34,108.25,107.63,108.04,107.73,106.84,105.91,105.42,106.39,105.72,107.14,107.04,104.83,103.43,102.62,104.76,105.30,105.09,104.93,104.09,104.42,104.77,103.47,103.69,103.41,103.62,103.80,103.15,104.25,105.11,103.12,102.87,102.44,102.99,104.91,110.57,108.31,105.37,102.65,102.29,101.27,100.66,101.39,101.28,101.17,102.30,103.61,103.70,102.84,102.31,103.06,102.48,102.70,103.27,103.23,103.23,104.57,104.59,105.22,105.00,106.17,108.16,110.46,108.72,108.95,109.54,111.43,114.25,112.91,112.54,112.53,112.03,112.80,115.35,117.59,118.68,120.14,120.17,118.96,118.72,119.35,118.06,119.23,119.64,118.43,118.36,119.40,118.93,119.73,118.11,116.09,116.09,116.76,117.22,119.02,118.01,117.78,118.19,119.56,122.16,120.83,120.43,123.66,121.20,120.59,119.57,117.37,119.12,118.76,117.28
Clase,0.039444215,0111,Pan y cereales (ND),98.61,101.98,104.83,105.84,105.75,106.71,107.58,106.27,106.70,106.05,105.67,105.25,106.28,105.54,108.25,110.29,109.42,109.33,108.45,107.97,106.85,107.19,108.33,106.59,104.99,106.18,103.77,100.34,100.80,101.93,100.62,101.61,100.91,98.55,98.07,97.38,96.64,95.02,97.67,97.62,98.91,97.76,97.07,97.88,97.74,96.55,95.74,96.65,95.04,95.58,93.29,97.22,98.63,98.93,100.67,99.66,101.20,100.83,100.41,101.16,98.03,99.45,100.38,103.68,101.12,101.63,102.47,102.50,101.71,102.05,103.03,102.76,103.94,103.84,104.50,103.86,103.91,103.54,103.70,103.49,103.43,102.96,101.87,102.89,103.17,102.92,102.80,102.55,105.01,107.13,111.75,106.33,108.43,110.43,111.81,112.86,113.92,113.44,114.40,113.18,114.66,119.83,129.35,128.00,129.72,129.81,128.36,130.72,131.68,132.01,130.93,130.92,129.61,128.02,129.01,129.40,127.64,124.79,123.59,124.10,123.77,120.81,126.21,122.61,122.83,122.18,122.19,123.69,120.45,119.76,122.03,123.35,123.31,123.33,120.14,119.73,117.49,117.57
Subclase,0.015467425,01111,Arroz,94.94,95.65,100.26,101.11,101.09,101.81,104.00,102.59,103.76,102.81,100.98,101.68,104.14,101.58,105.23,108.19,107.58,105.54,102.79,102.70,102.46,101.70,102.40,97.87,97.25,99.58,96.06,95.62,94.39,94.16,94.94,94.17,92.95,92.24,89.74,89.35,88.60,88.23,91.45,89.05,90.33,87.44,88.42,90.23,87.80,84.73,82.82,85.92,84.45,85.63,84.03,88.88,92.09,93.18,95.59,95.67,95.93,95.46,94.52,95.95,91.78,92.54,93.88,99.20,94.20,93.65,94.41,94.18,94.33,94.61,91.96,91.52,95.59,95.03,94.05,92.90,92.99,92.08,92.08,90.95,90.95,91.22,88.74,90.40,90.40,89.19,90.40,89.25,89.94,91.92,97.73,85.21,87.51,89.34,89.44,90.34,92.38,91.65,92.80,90.72,93.38,104.27,121.43,119.39,122.43,122.51,122.51,124.48,126.49,127.76,125.02,125.20,123.91,120.71,122.89,124.81,118.46,111.97,110.71,111.46,109.68,104.64,114.69,106.09,105.85,104.84,104.66,109.79,103.19,103.19,108.13,109.70,109.42,108.35,102.49,103.60,101.11,100.16
Producto,0.015467425,01111001,ARROZ,94.94,95.65,100.26,101.11,101.09,101.81,104.00,102.59,103.76,102.81,100.98,101.68,104.14,101.58,105.23,108.19,107.58,105.54,102.79,102.70,102.46,101.70,102.40,97.87,97.25,99.58,96.06,95.62,94.39,94.16,94.94,94.17,92.95,92.24,89.74,89.35,88.60,88.23,91.45,89.05,90.33,87.44,88.42,90.23,87.80,84.73,82.82,85.92,84.45,85.63,84.03,88.88,92.09,93.18,95.59,95.67,95.93,95.46,94.52,95.95,91.78,92.54,93.88,99.20,94.20,93.65,94.41,94.18,94.33,94.61,91.96,91.52,95.59,95.03,94.05,92.90,92.99,92.08,92.08,90.95,90.95,91.22,88.74,90.40,90.40,89.19,90.40,89.25,89.94,91.92,97.73,85.21,87.51,89.34,89.44,90.34,92.38,91.65,92.80,90.72,93.38,104.27,121.43,119.39,122.43,122.51,122.51,124.48,126.49,127.76,125.02,125.20,123.91,120.71,122.89,124.81,118.46,111.97,110.71,111.46,109.68,104.64,114.69,106.09,105.85,104.84,104.66,109.79,103.19,103.19,108.13,109.70,109.42,108.35,102.49,103.60,101.11,100.16
Subclase,0.001652284,01112,Cereales enteros y harinas,99.32,98.76,98.18,97.50,96.98,96.98,98.34,98.20,98.06,97.46,97.49,98.04,97.71,98.24,98.24,98.07,97.74,99.34,99.34,101.30,102.06,102.81,102.70,102.92,102.48,102.79,102.26,102.80,102.08,99.81,103.01,103.47,105.50,104.42,99.29,98.53,100.03,99.08,101.54,101.86,101.83,101.89,100.63,100.40,98.48,95.04,97.14,93.43,97.84,100.57,98.21,97.28,98.86,97.34,98.76,96.22,100.02,97.34,97.16,93.04,93.40,94.35,94.52,97.42,94.31,99.17,101.69,96.19,93.84,93.26,91.35,96.48,95.59,93.21,96.11,97.27,94.39,92.72,93.34,94.36,93.22,95.07,93.32,96.09,102.56,98.80,97.71,100.31,97.01,99.99,101.26,96.14,99.99,99.01,107.61,107.47,105.62,103.38,106.88,103.70,105.31,101.95,105.34,104.07,98.98,102.53,104.19,104.75,105.69,102.17,104.39,103.18,101.92,101.11,94.12,97.71,99.60,105.17,102.66,105.10,102.67,103.99,103.70,103.35,101.29,100.81,101.32,105.23,103.93,101.93,101.44,100.87,101.98,102.53,103.00,104.03,98.92,100.56
Producto,0.000491913,01112002,CEREALES ENTEROS,97.91,97.91,97.91,97.91,92.86,92.86,96.59,96.59,96.59,96.91,97.18,97.18,95.82,95.82,95.82,102.94,101.08,101.08,101.08,101.08,101.08,104.17,103.25,104.17,102.33,102.33,102.33,103.98,102.30,106.67,107.07,107.07,102.98,103.90,102.32,103.48,103.48,97.95,99.11,100.41,101.41,101.41,100.52,99.21,99.21,99.21,99.21,102.56,102.56,100.24,99.52,99.52,101.41,99.64,98.42,98.42,99.47,98.14,97.29,97.29,96.30,95.80,92.12,90.68,94.24,101.41,104.51,104.51,103.42,103.76,99.32,102.05,97.62,96.29,94.51,94.32,96.22,96.22,98.34,95.12,99.52,100.31,103.60,104.76,109.79,108.21,105.80,104.09,104.74,107.59,106.46,104.74,103.41,106.08,106.08,104.03,104.81,108.75,109.56,108.36,109.12,109.12,107.78,114.45,113.24,112.80,112.54,113.92,113.92,113.10,113.61,110.92,108.82,112.83,111.75,110.90,111.84,112.13,110.06,111.35,108.37,109.24,109.24,110.75,108.04,108.21,108.10,110.76,106.05,105.00,105.52,100.31,97.58,102.83,104.76,105.71,102.21,103.17
Producto,0.000721598,01112003,HARINA DE TRIGO,99.56,97.87,97.08,96.73,97.13,97.13,97.53,97.13,97.53,97.53,96.25,97.31,97.31,98.29,98.29,94.82,94.82,97.52,97.52,97.52,96.73,96.73,96.73,96.73,96.73,97.31,97.05,97.21,96.63,90.56,95.60,95.60,101.10,99.23,91.87,89.26,94.51,94.51,98.47,98.47,98.47,98.47,96.19,96.98,92.66,86.88,90.47,81.02,89.81,96.01,92.20,89.82,91.74,89.82,93.79,88.19,94.71,90.30,90.73,83.81,84.92,86.02,87.44,93.33,86.19,91.80,94.26,84.15,80.37,79.66,77.91,84.35,84.27,80.92,88.15,90.88,84.25,80.80,80.97,85.21,80.23,82.54,77.81,81.34,92.43,84.86,85.90,90.44,84.12,87.31,90.12,83.50,90.29,84.78,99.05,99.05,92.42,87.84,93.59,89.45,92.90,86.77,94.45,88.63,79.84,88.29,92.39,90.29,95.02,87.90,91.80,90.47,89.10,85.85,76.91,78.86,82.61,92.51,90.41,91.95,90.63,92.18,91.02,90.37,88.40,88.40,87.99,93.27,93.27,90.54,89.42,90.16,92.48,93.06,92.04,94.03,84.43,87.01
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,100.34,102.07,101.41,99.04,101.41,101.41,102.50,102.90,101.16,97.90,101.16,100.95,100.95,100.95,100.95,100.95,101.53,102.11,102.11,111.54,117.25,117.25,117.81,117.81,117.81,117.81,115.92,116.17,116.17,116.17,117.81,120.05,120.05,118.70,115.32,117.21,110.57,112.48,112.48,112.48,111.21,111.48,112.48,110.81,113.00,111.68,112.28,115.48,113.50,112.99,112.56,114.36,114.67,114.50,112.25,114.83,114.66,114.99,113.99,112.42,112.42,114.62,116.01,116.09,115.84,116.01,118.01,118.23,118.19,116.85,117.50,121.95,123.12,122.01,119.02,117.58,119.02,120.09,120.15,117.59,120.16,122.00,122.20,124.91,120.81,124.56,119.42,121.96,121.96,124.56,124.56,119.42,121.62,128.31,131.96,133.70,141.41,138.08,138.83,135.84,133.63,133.63,131.20,132.67,132.81,128.11,125.53,132.15,124.21,127.05,126.86,127.66,127.66,127.66,118.90,132.01,130.13,130.47,126.34,132.51,127.76,129.03,130.70,128.97,127.42,124.93,128.57,130.30,129.57,128.38,128.38,129.81,132.19,127.14,129.88,128.47,133.33,133.28
