,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL MACHALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,100.97,101.77,102.53,103.12,103.37,103.58,103.92,103.87,103.84,103.58,103.83,104.10,104.24,104.76,104.86,106.00,106.29,106.40,106.58,106.42,106.42,106.41,106.30,106.61,106.65,106.77,106.58,106.84,106.75,106.35,106.59,106.34,105.93,105.88,105.97,106.00,106.72,106.47,106.67,105.78,105.67,105.60,105.63,105.62,105.72,105.89,105.82,105.99,106.56,106.55,106.37,106.57,105.90,106.03,105.91,106.14,106.25,106.12,106.02,106.07,106.23,106.23,106.31,109.46,108.53,107.22,106.79,106.50,106.52,106.37,106.29,106.24,106.51,106.58,106.46,106.16,106.33,106.42,106.16,106.40,106.65,106.72,107.03,106.91,107.42,107.82,108.01,108.64,109.39,110.19,110.10,109.91,110.51,110.15,109.95,110.22,110.04,110.24,110.38,110.16,109.74,110.68,111.04,111.66,111.67,111.52,110.96,110.81,111.33,111.07,111.30,112.73,112.52,111.32,112.70,112.96,112.82,112.80,112.71,110.48,110.37,110.72,111.24,111.52,113.88,113.65,113.81,114.48,114.28,114.45,114.42,114.22,114.16,114.33,114.35,114.50,112.64,115.04
División,0.224503124,01,Alimentos y bebidas no alcohólicas,102.73,104.00,104.25,105.62,105.94,105.87,106.36,106.48,106.12,105.65,106.11,106.68,106.89,106.79,107.14,108.68,108.20,107.44,107.92,107.69,107.65,108.04,107.67,108.46,108.77,109.04,109.03,109.21,109.01,110.01,110.30,109.05,107.89,107.60,107.99,108.40,109.29,109.03,109.80,106.11,105.44,105.55,105.24,105.48,105.24,106.02,106.13,106.67,108.27,108.70,107.90,108.27,105.87,106.35,106.34,107.28,107.54,107.20,107.30,107.54,107.71,107.28,107.14,117.04,114.63,110.15,108.82,108.07,108.45,108.70,108.55,109.18,109.53,109.93,109.16,107.76,107.51,106.77,106.02,106.01,105.47,105.28,105.86,105.83,107.53,107.76,107.77,109.09,110.63,112.19,111.72,111.47,113.67,113.16,112.54,113.32,113.37,113.89,114.83,114.57,112.88,115.68,117.15,118.72,118.83,117.69,116.16,116.02,117.87,117.06,117.58,118.79,118.32,117.60,118.06,118.99,118.75,119.09,118.60,118.70,117.95,118.91,120.52,120.42,119.01,118.19,118.73,120.24,119.47,120.48,119.83,119.14,120.03,120.65,120.85,120.05,119.89,119.22
Grupo,0.199535008,011,Alimentos,103.27,104.54,104.91,106.48,106.78,106.68,107.14,107.20,106.81,106.11,106.50,107.10,107.40,106.91,107.36,109.03,108.35,106.94,107.27,106.93,106.82,107.05,106.55,107.50,108.04,108.24,108.04,108.30,108.10,109.54,110.10,108.82,107.52,107.10,107.43,107.92,108.98,108.56,109.33,105.31,104.37,104.51,104.14,104.62,104.12,105.00,105.16,105.83,107.55,108.00,107.15,107.47,104.73,105.33,105.32,106.35,106.62,106.13,106.39,106.64,106.85,106.32,106.20,117.31,114.54,109.48,108.01,107.24,107.67,108.12,107.82,108.60,108.93,109.33,108.58,107.19,107.04,106.20,105.23,105.14,104.51,104.24,104.79,104.63,106.48,106.66,106.65,108.02,109.76,111.48,111.01,110.72,113.19,112.63,111.84,112.76,112.85,112.98,113.96,113.77,111.88,114.95,116.58,118.16,118.22,117.01,115.32,115.14,117.05,116.12,116.70,117.63,117.27,116.32,117.08,117.70,117.44,118.05,117.54,117.36,116.47,117.28,118.69,118.40,116.74,115.93,116.58,118.32,117.46,118.81,118.09,117.61,118.26,119.08,119.15,118.25,117.94,117.46
Clase,0.039444215,0111,Pan y cereales (ND),95.24,99.18,100.84,101.88,103.41,104.62,106.03,105.28,105.01,105.33,105.94,105.77,106.13,106.40,105.04,104.82,105.00,103.39,102.12,102.32,103.00,103.95,103.44,103.51,103.55,103.27,103.19,103.13,103.11,101.75,102.09,101.57,101.38,100.75,100.62,100.07,100.31,99.01,99.68,96.87,95.39,95.60,95.11,95.68,95.41,95.63,93.94,95.71,95.11,96.22,95.16,96.40,95.93,96.47,97.30,97.41,97.80,96.27,97.17,97.09,96.99,97.69,97.75,100.19,99.84,100.03,99.56,99.52,99.47,98.79,98.49,98.76,99.10,97.80,98.11,101.22,100.01,100.05,97.18,98.48,98.12,98.60,99.92,100.44,98.71,97.13,95.78,97.97,99.26,101.44,102.17,101.49,103.30,103.37,103.76,104.12,105.29,105.14,105.81,103.41,104.92,109.31,116.64,118.88,119.19,118.77,118.71,118.71,120.03,120.03,120.75,119.97,120.27,118.25,118.73,121.13,120.31,121.80,118.81,118.13,118.72,118.66,118.36,117.34,113.97,112.56,112.02,116.34,112.69,112.89,115.73,115.82,116.66,118.49,113.87,112.19,112.71,112.40
Subclase,0.015467425,01111,Arroz,94.61,97.16,100.21,100.85,103.38,104.33,105.92,103.64,103.64,103.61,104.78,105.11,105.61,105.55,102.53,102.36,102.91,99.91,97.15,96.69,96.17,97.69,97.95,97.24,97.13,97.35,96.90,97.36,96.42,95.52,96.11,95.32,94.18,93.42,93.29,92.26,93.37,91.91,91.69,91.36,89.79,90.64,89.37,89.36,89.79,90.17,87.80,90.43,89.71,91.41,90.01,91.13,91.04,92.61,94.06,94.62,95.31,93.18,93.71,93.51,93.22,93.67,93.81,95.91,95.40,95.60,95.02,94.68,94.68,93.34,93.34,94.00,94.34,92.18,91.45,96.45,92.54,92.27,87.33,89.76,88.95,90.03,90.00,90.19,90.61,89.71,89.14,91.69,90.39,92.15,92.26,90.14,91.69,91.28,91.28,91.19,92.83,92.20,92.20,89.64,92.72,102.05,116.79,120.51,121.05,120.20,120.48,120.48,122.82,121.21,122.82,120.93,121.93,118.61,118.60,123.38,122.24,125.20,120.30,118.38,118.63,118.38,118.38,117.07,111.90,109.51,108.72,116.25,109.48,109.89,115.89,115.70,116.80,118.63,110.51,106.71,107.01,106.30
Producto,0.015467425,01111001,ARROZ,94.61,97.16,100.21,100.85,103.38,104.33,105.92,103.64,103.64,103.61,104.78,105.11,105.61,105.55,102.53,102.36,102.91,99.91,97.15,96.69,96.17,97.69,97.95,97.24,97.13,97.35,96.90,97.36,96.42,95.52,96.11,95.32,94.18,93.42,93.29,92.26,93.37,91.91,91.69,91.36,89.79,90.64,89.37,89.36,89.79,90.17,87.80,90.43,89.71,91.41,90.01,91.13,91.04,92.61,94.06,94.62,95.31,93.18,93.71,93.51,93.22,93.67,93.81,95.91,95.40,95.60,95.02,94.68,94.68,93.34,93.34,94.00,94.34,92.18,91.45,96.45,92.54,92.27,87.33,89.76,88.95,90.03,90.00,90.19,90.61,89.71,89.14,91.69,90.39,92.15,92.26,90.14,91.69,91.28,91.28,91.19,92.83,92.20,92.20,89.64,92.72,102.05,116.79,120.51,121.05,120.20,120.48,120.48,122.82,121.21,122.82,120.93,121.93,118.61,118.60,123.38,122.24,125.20,120.30,118.38,118.63,118.38,118.38,117.07,111.90,109.51,108.72,116.25,109.48,109.89,115.89,115.70,116.80,118.63,110.51,106.71,107.01,106.30
Subclase,0.001652284,01112,Cereales enteros y harinas,93.34,93.34,93.34,93.34,93.34,92.82,93.55,93.55,93.55,93.55,93.13,92.79,92.56,93.11,93.20,92.65,93.24,94.49,95.37,97.73,97.60,98.07,94.18,97.69,97.69,97.72,98.03,95.68,97.57,95.43,94.35,96.31,96.11,93.87,90.55,89.70,89.29,92.27,93.47,92.89,93.26,93.14,92.81,92.74,91.52,92.36,92.60,91.51,94.59,93.53,94.64,93.24,90.85,90.94,89.90,89.04,91.94,91.53,90.55,92.43,91.09,90.87,91.52,93.03,94.27,92.16,92.44,90.45,90.08,89.16,90.00,90.09,89.91,88.82,89.76,90.19,86.58,86.61,86.97,84.95,84.35,85.26,85.93,90.06,90.90,91.24,89.66,90.87,88.99,89.18,88.60,89.09,91.11,89.93,87.88,91.32,90.89,92.18,93.12,92.58,93.16,91.42,91.30,92.72,92.38,92.09,93.18,95.15,95.48,96.95,97.11,97.47,96.86,96.62,96.18,96.86,96.80,96.43,95.56,96.14,96.12,96.48,95.04,94.19,95.54,94.66,94.93,95.85,95.51,93.58,92.07,96.23,96.20,93.58,91.78,92.39,91.89,88.59
Producto,0.000491913,01112002,CEREALES ENTEROS,96.68,96.68,96.68,96.68,96.68,97.24,97.24,97.24,97.24,97.24,95.32,94.77,93.94,96.48,96.48,96.48,96.48,100.68,101.38,105.80,105.80,105.80,106.46,105.80,105.80,105.41,105.80,105.75,105.75,105.75,106.11,104.83,104.46,98.94,98.69,96.45,97.12,101.02,98.10,98.85,99.39,98.34,98.34,98.01,96.98,97.62,97.62,96.98,97.92,98.23,98.23,98.23,95.46,95.46,91.84,93.56,94.85,94.63,95.50,95.50,95.50,95.50,95.50,95.98,95.90,98.83,97.33,96.35,96.77,95.80,96.77,94.61,94.97,95.18,94.48,94.62,95.21,95.21,96.81,96.81,94.97,96.41,96.79,97.06,98.65,98.14,98.14,99.66,99.66,100.13,100.13,101.47,99.79,101.66,100.47,99.79,100.67,102.56,102.56,102.90,102.90,102.90,103.05,103.05,103.05,103.05,105.13,105.13,102.55,108.45,108.45,109.08,106.68,107.05,109.00,105.93,105.93,105.30,105.93,105.30,106.94,106.94,106.94,104.97,108.61,104.97,104.97,106.70,106.70,105.29,105.93,105.93,105.93,104.69,102.96,102.96,102.96,98.65
Producto,0.000721598,01112003,HARINA DE TRIGO,90.43,90.43,90.43,90.43,90.43,89.15,90.43,90.43,90.43,90.43,90.43,90.25,90.25,90.25,90.43,89.29,90.36,90.16,90.90,90.16,90.16,90.92,82.87,89.33,89.33,89.33,89.70,85.51,88.97,85.06,82.02,86.36,86.36,86.36,80.82,80.27,80.27,82.11,85.82,84.51,85.14,85.25,84.62,85.42,82.99,84.32,84.71,82.33,87.58,85.55,87.58,85.15,82.43,82.46,83.29,80.01,84.48,83.98,81.95,85.10,82.53,82.53,83.34,85.65,88.34,82.73,83.92,80.67,80.29,78.60,79.64,80.45,80.06,77.77,79.74,80.75,73.48,73.48,73.17,69.63,69.76,70.22,71.23,78.96,79.65,79.65,76.66,78.80,74.69,74.75,73.62,73.96,78.33,74.38,70.66,77.42,75.33,75.99,78.07,78.25,79.05,75.36,74.86,77.53,76.89,77.82,77.33,80.92,82.98,82.19,82.42,82.18,82.46,82.28,80.40,84.03,83.50,82.86,81.38,82.25,81.46,82.18,80.84,80.58,80.94,81.42,81.89,82.89,82.18,79.38,75.33,83.01,83.01,79.51,76.96,78.21,77.25,73.65
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,97.30,97.30,97.30,97.30,97.30,97.30,97.51,97.51,97.51,97.51,99.19,98.62,98.98,96.73,96.73,97.29,97.29,97.29,99.20,109.62,108.57,109.00,111.33,112.88,112.88,114.09,113.93,113.60,113.60,113.60,117.31,117.31,116.64,113.20,111.56,113.01,108.02,113.56,114.59,113.74,112.54,113.74,113.87,110.73,114.30,113.47,113.73,117.01,116.22,115.83,115.83,115.31,115.31,115.83,113.38,116.39,116.65,116.13,114.90,116.13,116.65,114.90,116.53,117.29,115.66,115.66,116.54,117.42,115.13,117.58,117.24,120.05,119.35,120.12,120.83,119.52,120.89,121.13,121.13,120.49,119.96,121.39,121.39,119.94,119.42,123.41,123.89,120.33,123.18,123.18,123.53,122.47,123.93,126.82,129.75,129.44,132.83,135.28,133.75,127.81,128.97,131.16,131.93,131.70,131.70,125.38,130.78,130.78,131.17,130.98,131.24,133.51,133.70,131.64,131.21,128.86,130.69,132.12,130.00,132.53,131.50,131.18,125.66,125.17,124.81,125.18,125.35,123.82,124.17,124.70,128.60,128.22,128.03,125.66,126.90,126.29,126.51,127.11
