,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL MANTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,101.94,102.69,103.21,103.81,103.79,104.08,104.12,103.96,103.88,103.86,103.90,103.84,104.44,104.54,104.30,104.99,104.88,105.16,105.11,104.44,104.60,104.40,104.15,104.84,104.70,104.68,104.86,106.12,105.38,105.25,105.28,105.44,105.18,105.05,104.24,104.56,104.61,104.53,105.19,104.30,104.41,103.83,103.91,104.25,104.83,104.20,103.91,104.13,104.58,104.61,104.39,104.82,104.50,104.43,104.44,104.20,104.10,104.43,103.86,103.93,104.26,104.39,104.00,106.22,105.14,103.99,103.33,102.87,102.95,102.82,102.63,102.39,103.16,103.49,103.45,103.78,104.03,103.25,104.45,104.29,104.33,104.34,105.30,105.27,105.98,106.22,106.60,107.34,108.40,108.86,108.82,108.90,108.91,108.91,108.62,108.92,109.47,109.55,109.51,110.08,110.60,111.31,111.75,112.21,111.94,111.26,110.65,110.37,111.10,110.89,112.02,113.41,113.21,111.80,112.36,113.28,112.90,112.44,112.41,110.22,110.74,110.55,111.43,111.38,113.21,112.83,112.90,113.54,113.18,113.15,113.50,113.24,114.13,113.45,113.78,114.12,112.65,114.64
División,0.224503124,01,Alimentos y bebidas no alcohólicas,102.36,102.86,103.11,104.74,104.85,104.82,104.59,104.53,104.46,104.39,104.34,104.04,105.83,106.66,105.96,108.51,109.05,109.08,108.50,106.33,107.07,106.27,106.03,107.69,107.36,106.74,107.27,110.63,108.51,108.25,107.01,108.41,108.08,107.85,106.23,106.23,105.75,106.21,108.16,104.81,105.16,103.47,104.08,105.62,105.51,104.47,103.68,104.29,105.19,106.15,105.85,106.94,105.97,105.44,105.79,105.04,104.74,105.73,105.14,104.69,106.14,106.00,105.48,112.35,108.88,106.63,105.84,104.82,103.67,103.74,104.04,103.13,105.10,106.26,105.92,105.80,105.69,103.40,105.42,104.55,105.34,104.70,104.79,104.58,106.80,107.20,107.89,108.67,110.66,110.92,110.86,110.38,111.78,111.63,111.69,111.53,113.55,113.56,114.30,114.46,116.42,118.53,120.32,122.14,121.25,119.06,117.79,115.46,118.25,118.09,121.32,122.71,121.41,119.84,118.54,119.13,118.31,117.06,117.21,116.13,118.39,117.65,120.12,119.72,119.86,117.75,117.68,119.37,117.72,118.01,118.16,117.10,120.30,118.61,118.14,118.07,117.53,116.69
Grupo,0.199535008,011,Alimentos,102.53,102.98,103.06,104.76,104.85,104.97,104.87,104.62,104.45,104.33,104.16,103.95,105.84,106.74,105.98,108.70,108.64,108.57,107.75,105.21,105.87,105.11,104.87,106.84,106.83,105.78,106.46,110.16,107.91,107.82,106.52,108.08,107.67,107.35,105.43,105.16,104.63,105.22,107.42,103.45,103.66,101.91,102.57,104.44,104.21,103.11,102.31,103.03,103.95,105.04,104.63,105.81,104.69,104.07,104.29,103.48,103.17,104.19,103.70,103.28,104.78,104.65,104.11,111.70,107.87,105.21,104.46,103.53,102.40,102.67,102.77,101.92,103.99,105.04,104.59,104.53,104.72,102.47,104.59,103.39,104.22,103.64,103.73,103.40,105.84,106.18,106.85,107.66,109.94,110.12,110.27,109.55,111.08,110.66,110.60,110.58,112.60,112.72,113.42,113.81,115.81,118.11,119.89,122.02,121.13,118.73,117.21,114.39,117.55,117.56,121.20,122.28,121.00,119.08,117.72,118.04,117.20,115.81,115.90,115.02,117.31,116.29,119.17,118.91,118.59,116.08,116.22,118.23,116.43,116.85,117.00,116.29,119.30,117.51,116.97,117.06,116.18,115.39
Clase,0.039444215,0111,Pan y cereales (ND),98.63,100.04,102.75,105.41,106.00,107.70,109.46,110.10,109.39,109.93,109.93,110.44,110.05,110.23,109.41,111.49,113.38,111.80,112.21,110.50,111.22,109.72,108.92,108.12,108.38,109.62,109.02,109.50,107.98,107.15,107.24,107.34,105.48,103.45,106.53,105.41,106.86,102.30,104.81,102.86,100.93,99.00,101.80,100.89,103.49,102.76,100.28,101.97,101.95,107.37,102.81,101.83,107.02,106.60,105.73,103.17,102.87,104.32,105.33,104.92,105.85,108.03,106.28,107.53,106.75,107.83,107.41,105.49,104.82,106.67,105.93,105.47,107.43,109.06,105.83,107.45,105.55,104.10,106.07,107.38,108.53,107.92,105.79,108.58,104.68,105.93,108.98,110.71,111.38,111.75,110.68,109.45,110.89,111.03,109.71,111.96,113.99,115.08,113.82,112.91,114.14,121.69,134.51,130.14,126.74,128.63,129.87,127.89,129.83,129.17,127.55,127.24,126.35,122.65,124.21,122.56,119.39,115.16,114.26,112.63,115.07,110.69,114.09,113.82,112.29,114.37,111.20,112.83,109.07,110.37,110.61,110.29,111.54,112.25,109.97,111.27,110.60,108.08
Subclase,0.015467425,01111,Arroz,97.18,95.33,101.48,103.65,104.13,106.48,107.58,106.82,105.12,106.75,108.37,108.60,107.34,107.48,105.03,106.67,107.58,105.86,105.57,104.25,104.89,104.24,104.04,101.61,103.81,103.48,102.86,102.28,101.15,98.48,97.36,96.53,92.77,92.27,96.31,95.53,95.70,94.76,93.02,93.80,91.65,87.58,93.17,91.45,94.56,94.56,90.99,93.42,90.46,98.84,96.54,94.58,102.30,102.21,99.07,96.35,95.42,96.18,98.19,97.36,99.05,99.97,98.84,99.64,99.25,99.25,99.25,96.04,95.93,99.37,97.31,97.63,99.28,102.69,99.35,99.43,97.04,95.56,97.98,99.42,100.87,99.42,95.81,99.41,92.52,94.68,100.85,102.86,103.78,104.46,102.57,100.09,101.25,102.44,99.19,103.52,105.84,107.70,104.30,103.71,105.81,119.36,142.12,134.62,129.88,132.13,134.40,131.35,133.86,135.00,133.59,132.99,130.07,124.31,125.50,123.86,117.66,109.55,110.48,106.88,108.42,101.68,108.35,109.13,105.49,109.30,104.79,106.48,101.18,102.99,104.00,103.86,103.79,107.61,103.76,105.40,104.74,100.32
Producto,0.015467425,01111001,ARROZ,97.18,95.33,101.48,103.65,104.13,106.48,107.58,106.82,105.12,106.75,108.37,108.60,107.34,107.48,105.03,106.67,107.58,105.86,105.57,104.25,104.89,104.24,104.04,101.61,103.81,103.48,102.86,102.28,101.15,98.48,97.36,96.53,92.77,92.27,96.31,95.53,95.70,94.76,93.02,93.80,91.65,87.58,93.17,91.45,94.56,94.56,90.99,93.42,90.46,98.84,96.54,94.58,102.30,102.21,99.07,96.35,95.42,96.18,98.19,97.36,99.05,99.97,98.84,99.64,99.25,99.25,99.25,96.04,95.93,99.37,97.31,97.63,99.28,102.69,99.35,99.43,97.04,95.56,97.98,99.42,100.87,99.42,95.81,99.41,92.52,94.68,100.85,102.86,103.78,104.46,102.57,100.09,101.25,102.44,99.19,103.52,105.84,107.70,104.30,103.71,105.81,119.36,142.12,134.62,129.88,132.13,134.40,131.35,133.86,135.00,133.59,132.99,130.07,124.31,125.50,123.86,117.66,109.55,110.48,106.88,108.42,101.68,108.35,109.13,105.49,109.30,104.79,106.48,101.18,102.99,104.00,103.86,103.79,107.61,103.76,105.40,104.74,100.32
Subclase,0.001652284,01112,Cereales enteros y harinas,99.50,99.64,99.86,99.11,98.80,96.63,98.34,99.99,97.97,99.22,99.23,99.77,97.23,98.04,99.14,99.53,97.22,96.41,98.49,99.56,101.11,99.60,88.02,95.41,100.89,103.28,100.45,99.51,104.44,91.43,97.05,99.74,99.28,98.53,95.35,97.36,100.77,99.96,99.91,98.66,98.47,98.72,98.52,94.61,97.95,91.00,90.13,89.63,101.35,100.48,95.68,90.89,99.08,94.68,100.85,87.75,101.39,98.77,98.47,92.27,95.21,101.14,94.01,98.94,102.34,102.37,102.63,91.75,86.34,87.88,88.96,88.89,91.50,89.58,96.55,102.40,88.53,93.53,96.34,94.36,94.65,96.70,90.17,102.15,104.58,96.05,96.66,103.52,99.96,100.91,99.94,101.47,106.75,103.93,108.24,107.49,106.76,109.85,108.11,106.82,111.39,104.67,109.64,105.41,105.02,105.50,109.73,109.82,115.92,110.93,109.60,107.76,110.10,108.36,95.90,105.73,112.18,111.70,109.34,110.67,110.98,106.45,111.82,110.49,111.23,109.54,111.69,111.25,111.32,111.47,111.62,111.71,112.26,102.37,106.48,106.79,102.06,103.01
Producto,0.000491913,01112002,CEREALES ENTEROS,87.08,87.53,87.96,87.96,87.96,90.72,90.72,90.72,89.23,89.23,87.69,87.69,88.29,88.29,92.10,92.14,92.14,92.55,91.72,87.12,87.12,87.12,88.56,88.56,88.56,88.56,88.56,87.68,84.86,88.61,86.67,86.67,81.90,80.04,83.58,85.51,90.00,85.84,83.77,83.77,80.77,80.58,84.15,85.95,83.04,83.73,83.06,82.14,83.62,84.29,84.29,84.29,81.59,83.98,80.67,80.61,85.81,84.88,85.81,83.81,83.35,82.80,82.62,82.03,85.42,85.71,85.90,83.12,86.06,81.67,82.63,81.78,81.71,81.71,81.71,80.99,80.79,80.50,81.60,81.20,84.80,85.76,85.76,87.07,87.42,87.90,89.26,89.30,89.26,89.26,90.18,90.18,88.96,91.97,89.71,93.35,93.35,94.00,97.94,98.42,97.51,97.71,103.30,106.67,108.97,108.97,108.97,110.86,107.10,110.86,109.18,109.18,106.67,108.75,108.75,108.75,108.75,107.47,103.30,103.30,103.96,100.01,104.23,104.23,102.99,101.74,95.66,99.06,94.94,94.94,92.89,91.41,97.21,97.81,89.75,90.88,93.44,89.62
Producto,0.000721598,01112003,HARINA DE TRIGO,102.45,102.60,102.89,101.68,101.18,97.22,100.35,102.53,99.49,101.51,100.99,102.65,98.43,100.01,100.47,100.70,96.94,95.69,99.21,99.94,100.16,97.97,77.72,89.55,98.44,102.33,97.73,96.62,104.80,83.07,92.51,96.87,96.87,96.87,91.14,94.11,98.03,97.37,97.61,96.43,96.89,96.89,95.89,89.49,94.86,84.28,83.81,81.50,100.30,98.85,91.06,83.88,97.68,90.05,100.13,79.05,99.79,95.68,95.06,85.30,90.15,100.41,88.65,96.42,101.40,101.40,100.83,82.62,73.76,75.62,77.16,77.16,81.21,78.91,91.29,100.08,77.31,85.39,89.55,87.06,86.42,89.23,77.72,96.69,100.53,85.61,85.95,99.04,91.74,93.28,92.95,94.65,103.41,96.76,100.87,96.83,97.53,102.09,98.33,98.18,106.44,94.69,97.04,92.34,90.28,92.57,99.01,99.98,109.85,100.88,98.01,96.19,99.17,97.02,79.91,94.63,104.21,102.95,102.24,101.57,102.79,97.25,107.03,101.78,103.18,103.90,110.82,108.05,104.58,106.80,104.86,105.24,105.29,90.80,99.05,100.49,89.17,92.37
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,97.37,97.37,97.37,97.37,97.37,97.37,96.59,97.67,97.67,97.67,99.34,97.67,97.67,97.10,98.67,99.51,99.51,99.23,99.23,102.94,107.86,107.28,109.89,110.27,110.27,110.27,110.27,109.68,110.27,110.27,110.27,110.27,110.27,108.32,108.32,108.32,110.27,110.27,110.27,108.46,107.80,108.74,108.98,108.50,109.58,107.86,106.07,109.58,109.58,109.42,109.42,108.13,107.97,108.22,109.16,108.79,110.04,110.04,110.04,110.04,110.04,108.88,109.34,110.04,110.04,110.04,112.11,114.21,113.38,116.24,116.36,116.41,116.83,115.06,112.80,114.58,115.16,115.36,115.85,114.42,115.60,116.39,118.32,118.92,119.03,121.16,122.09,117.89,121.16,121.16,118.20,119.88,119.88,123.29,130.27,135.07,131.06,131.80,132.49,128.17,126.66,128.38,138.75,132.97,135.23,132.02,132.96,130.55,131.90,132.48,134.57,132.04,134.65,132.51,125.81,128.49,130.41,131.87,126.58,132.66,130.89,128.31,124.64,131.26,131.26,124.25,118.94,122.21,131.27,127.03,132.41,132.39,132.28,128.69,128.01,125.65,132.56,130.31
