,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL SANTO DOMINGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,101.19,103.09,103.80,104.44,104.58,104.92,104.89,104.79,104.92,104.71,104.90,104.83,105.41,105.57,105.56,105.47,105.31,105.63,105.71,105.51,105.66,105.75,105.71,105.92,106.16,106.38,106.45,106.90,107.41,106.39,105.99,105.83,105.45,105.10,105.25,105.58,106.12,106.28,105.52,105.70,105.70,105.23,105.26,105.76,106.65,106.36,105.66,105.58,106.35,105.92,105.64,105.77,105.95,105.60,105.68,105.50,105.22,105.74,105.37,105.29,105.44,104.98,105.06,106.39,105.80,105.55,104.65,104.43,104.05,103.96,103.91,103.60,103.93,104.13,104.10,104.63,105.15,104.97,105.92,105.94,106.12,105.74,106.14,106.87,107.56,107.66,107.71,108.28,108.95,109.87,110.02,109.81,110.45,110.28,110.56,110.75,110.92,110.63,110.60,111.06,111.46,111.52,112.24,112.94,113.69,113.62,113.22,113.13,113.60,113.40,114.15,115.13,114.87,115.13,114.29,115.30,114.91,114.67,114.68,114.64,113.48,113.45,114.06,113.79,115.89,115.63,116.00,116.16,116.65,116.60,116.61,116.27,116.79,117.83,117.81,118.39,119.20,119.27
División,0.224503124,01,Alimentos y bebidas no alcohólicas,98.85,100.17,101.79,102.98,103.06,103.96,103.59,103.34,102.91,102.35,102.15,102.46,103.29,104.05,104.24,103.31,103.61,103.87,104.97,104.67,104.95,104.83,104.23,104.33,106.59,105.95,107.05,106.88,106.63,107.39,106.57,105.94,104.53,103.41,104.59,104.67,104.28,105.38,104.05,102.74,103.11,102.52,103.02,104.17,105.42,105.12,104.99,103.23,104.54,103.67,102.49,102.49,103.30,101.88,102.73,102.95,102.24,102.82,100.58,100.60,101.78,101.60,101.94,106.84,106.47,105.18,103.39,102.29,101.51,101.21,101.54,100.46,101.02,102.32,102.45,102.17,103.50,102.87,105.09,104.99,105.39,103.73,104.24,103.71,105.76,105.46,105.37,106.53,107.28,110.28,110.07,109.49,111.84,111.76,112.56,112.74,113.34,111.40,111.98,112.92,114.31,115.43,118.34,119.47,119.67,118.86,118.13,116.57,117.43,117.50,118.58,118.69,117.40,117.56,117.71,117.92,117.35,116.74,116.74,116.45,117.87,116.07,117.58,116.94,118.64,117.50,118.40,119.36,119.39,119.45,118.12,118.16,119.53,117.50,117.91,118.20,117.37,116.75
Grupo,0.199535008,011,Alimentos,98.36,99.80,101.62,102.79,102.73,103.83,103.31,103.01,102.48,101.66,101.52,101.81,102.78,103.23,103.55,102.57,102.78,102.60,102.85,102.53,102.79,102.69,102.02,102.46,105.00,104.40,105.06,105.05,104.87,105.88,104.97,104.26,102.70,101.52,102.29,101.93,101.65,102.79,101.40,99.96,100.26,99.71,100.22,101.62,102.89,102.63,102.66,100.81,102.02,101.09,99.64,99.56,100.45,98.91,99.82,100.07,99.09,99.86,97.44,97.46,98.78,98.61,98.95,104.15,103.81,102.35,100.22,99.23,98.59,98.11,98.20,97.22,97.49,99.06,99.10,98.86,100.66,100.16,102.31,102.01,102.55,100.88,101.13,100.46,102.95,102.55,102.57,103.68,105.03,108.07,108.53,107.41,109.91,109.42,110.32,110.77,111.20,109.34,109.95,111.46,112.17,113.52,116.92,118.11,118.40,117.96,116.97,114.66,115.83,116.07,117.14,116.75,115.66,115.79,115.80,115.81,115.29,114.65,114.54,114.21,115.50,113.71,115.24,114.82,116.10,114.76,115.94,117.10,117.05,117.57,116.13,116.50,117.46,115.49,115.95,116.26,115.18,114.62
Clase,0.039444215,0111,Pan y cereales (ND),94.29,100.04,103.97,104.52,104.72,105.73,107.35,105.18,103.28,105.78,104.52,104.74,106.09,105.87,106.81,104.65,103.48,103.50,104.55,106.52,107.56,107.18,105.65,105.59,109.03,108.34,107.62,105.74,106.44,105.04,103.32,105.03,103.83,102.43,101.69,101.07,102.89,101.80,101.49,98.93,101.63,98.49,99.94,100.68,102.55,102.06,100.29,99.85,98.77,100.07,98.06,98.88,100.81,99.34,101.02,97.61,98.69,98.26,99.02,97.57,97.97,97.73,98.89,98.19,97.73,99.68,101.65,100.16,100.75,98.88,97.50,96.96,97.59,97.17,96.81,97.29,97.75,96.73,97.51,96.64,97.78,95.97,97.27,96.04,97.35,96.70,96.76,98.42,99.51,100.98,102.11,102.27,105.18,106.76,106.39,108.10,107.94,107.41,105.69,106.08,108.23,111.19,122.76,121.28,119.74,120.55,118.83,117.01,117.76,117.79,117.95,115.69,114.07,114.28,114.44,113.36,111.24,107.46,106.70,108.32,107.31,105.95,108.92,107.21,105.86,106.04,103.50,105.52,104.40,104.25,107.80,106.83,107.49,108.65,106.64,106.73,109.01,105.40
Subclase,0.015467425,01111,Arroz,91.62,94.50,101.53,102.10,103.09,103.79,105.77,103.55,103.31,104.95,104.61,104.93,105.49,104.80,104.67,104.55,104.34,104.22,103.72,104.00,105.18,103.65,103.86,100.35,104.46,103.85,104.79,101.87,102.86,99.39,95.60,95.28,96.13,94.12,93.94,95.97,96.07,93.59,93.79,92.55,95.67,90.54,92.47,92.76,94.04,94.55,92.89,92.52,89.50,92.02,90.24,93.32,98.43,95.20,97.05,95.19,93.46,91.63,91.33,88.55,91.41,88.67,90.39,88.80,86.82,89.02,94.13,91.16,92.31,89.63,85.03,84.95,86.14,87.52,89.26,88.41,89.22,88.48,85.87,83.76,85.56,82.26,82.93,80.37,82.93,82.35,83.28,85.04,85.04,85.80,87.12,85.14,86.03,88.04,87.81,89.07,87.81,87.32,84.63,85.77,91.37,99.23,124.27,119.58,118.69,121.72,123.93,120.31,121.19,122.05,120.53,118.26,113.05,114.45,115.09,112.69,106.75,98.35,97.19,100.38,97.02,95.34,103.35,99.57,95.94,96.16,91.31,95.37,93.41,88.73,96.45,94.43,94.69,97.67,94.32,94.45,98.92,90.60
Producto,0.015467425,01111001,ARROZ,91.62,94.50,101.53,102.10,103.09,103.79,105.77,103.55,103.31,104.95,104.61,104.93,105.49,104.80,104.67,104.55,104.34,104.22,103.72,104.00,105.18,103.65,103.86,100.35,104.46,103.85,104.79,101.87,102.86,99.39,95.60,95.28,96.13,94.12,93.94,95.97,96.07,93.59,93.79,92.55,95.67,90.54,92.47,92.76,94.04,94.55,92.89,92.52,89.50,92.02,90.24,93.32,98.43,95.20,97.05,95.19,93.46,91.63,91.33,88.55,91.41,88.67,90.39,88.80,86.82,89.02,94.13,91.16,92.31,89.63,85.03,84.95,86.14,87.52,89.26,88.41,89.22,88.48,85.87,83.76,85.56,82.26,82.93,80.37,82.93,82.35,83.28,85.04,85.04,85.80,87.12,85.14,86.03,88.04,87.81,89.07,87.81,87.32,84.63,85.77,91.37,99.23,124.27,119.58,118.69,121.72,123.93,120.31,121.19,122.05,120.53,118.26,113.05,114.45,115.09,112.69,106.75,98.35,97.19,100.38,97.02,95.34,103.35,99.57,95.94,96.16,91.31,95.37,93.41,88.73,96.45,94.43,94.69,97.67,94.32,94.45,98.92,90.60
Subclase,0.001652284,01112,Cereales enteros y harinas,96.70,96.57,96.48,95.67,95.60,94.95,95.54,95.52,94.44,93.34,95.75,95.11,94.75,95.27,95.48,95.46,95.09,98.13,96.93,100.13,100.32,100.18,91.21,100.99,100.99,98.84,100.71,98.55,100.70,97.74,99.55,101.39,101.48,99.11,98.32,96.42,97.74,97.38,98.47,98.16,95.23,98.89,96.12,96.57,94.24,94.43,97.50,91.16,94.10,91.92,89.17,89.36,91.58,92.19,94.05,88.40,94.43,91.10,93.15,91.21,90.27,90.09,91.33,95.00,96.72,97.88,97.37,92.74,91.07,91.33,93.95,89.49,91.05,91.96,94.81,95.92,94.06,89.23,95.48,97.49,94.59,95.83,94.70,97.51,98.67,98.66,96.30,97.00,96.67,99.18,97.38,99.68,98.60,100.72,101.24,105.33,103.35,104.31,103.58,101.80,102.92,102.23,103.49,101.69,103.59,102.14,103.11,104.38,102.93,102.32,101.88,101.78,100.68,100.49,98.65,99.09,98.44,100.87,98.60,100.69,100.61,99.71,100.61,98.44,99.64,97.22,97.47,96.29,97.54,98.02,93.78,97.75,97.35,94.92,94.76,98.51,98.98,97.35
Producto,0.000491913,01112002,CEREALES ENTEROS,96.74,96.27,96.74,96.74,96.74,96.74,96.74,95.77,96.74,95.27,92.34,92.34,91.61,93.02,93.02,93.29,90.43,97.52,97.52,97.52,97.52,97.52,97.52,97.52,97.52,97.52,98.55,98.27,98.50,99.85,100.42,100.14,100.42,95.95,95.99,95.18,96.30,96.57,93.56,93.56,93.25,93.25,92.68,94.76,93.68,94.76,94.84,93.82,95.01,93.78,92.55,92.55,91.30,92.37,90.02,87.82,87.49,86.69,86.85,86.99,87.62,85.58,84.58,86.87,91.53,93.92,93.54,91.70,93.49,91.36,91.45,89.83,91.54,91.54,88.61,90.61,90.91,87.99,91.51,93.67,93.16,95.35,97.61,99.61,99.54,99.54,98.92,98.04,97.73,99.24,99.24,98.21,99.37,100.28,100.92,100.92,100.43,104.16,104.34,104.34,104.34,105.05,108.21,108.35,114.11,113.98,113.26,112.60,110.61,112.80,111.31,111.31,107.70,111.31,111.52,110.61,103.89,101.65,101.94,101.78,102.87,102.87,103.29,102.23,100.96,100.96,99.17,97.36,98.60,97.49,97.77,97.77,97.77,98.12,99.09,99.63,100.95,100.58
Producto,0.000721598,01112003,HARINA DE TRIGO,96.20,96.20,95.76,94.21,94.21,92.60,94.03,94.78,92.04,90.52,97.04,96.01,96.20,96.20,95.73,95.24,96.10,98.43,96.02,96.02,96.10,95.45,77.32,96.00,96.00,92.81,96.00,91.93,96.00,89.30,92.02,96.00,96.00,94.25,94.39,90.91,92.98,91.02,95.09,95.45,90.15,96.34,91.10,91.29,86.65,86.48,92.61,79.66,84.89,82.16,77.47,77.37,82.54,82.98,87.93,77.77,89.88,83.82,87.79,84.05,81.59,82.70,84.25,90.21,89.97,88.96,88.01,80.61,75.57,79.46,82.47,74.50,77.24,78.46,86.30,88.28,82.32,74.47,84.88,88.29,81.85,83.45,79.49,84.50,88.04,87.36,83.44,85.44,83.39,87.58,85.14,90.63,87.26,87.35,86.94,95.05,91.26,90.45,90.03,87.00,89.60,87.80,87.39,84.21,85.15,84.04,84.53,87.93,85.70,84.46,83.37,82.89,83.15,80.55,78.64,80.03,81.13,87.30,84.30,87.95,87.16,85.81,87.84,83.50,86.30,83.91,85.53,84.14,84.56,86.18,76.66,84.10,84.65,79.61,78.48,85.52,84.82,82.35
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,97.78,97.78,97.78,97.58,97.26,97.97,97.38,96.88,96.88,97.19,97.19,96.61,95.50,96.04,98.02,98.73,98.73,98.21,98.21,112.70,113.32,114.16,114.41,116.62,116.62,114.04,114.04,113.79,114.04,114.04,115.35,115.09,115.13,114.02,110.08,110.39,110.23,112.68,112.30,110.09,109.16,111.79,111.79,110.71,111.99,111.84,111.84,113.60,113.60,111.47,111.14,112.22,112.23,112.66,112.92,113.01,113.44,113.06,113.20,112.66,113.15,112.40,115.82,116.12,118.48,122.93,123.24,121.33,122.80,117.94,122.93,122.75,121.46,122.81,121.78,119.82,124.41,123.94,124.35,122.99,125.01,124.25,125.18,124.07,121.42,122.93,121.86,121.64,125.13,125.13,122.51,121.85,123.09,131.32,133.78,134.03,134.19,135.63,133.07,131.81,131.05,131.05,133.65,132.48,131.66,127.73,131.95,130.87,131.85,129.12,131.46,132.10,131.12,131.51,127.25,127.28,130.39,130.37,126.46,127.93,127.93,126.92,125.89,127.18,127.93,122.36,122.12,122.23,125.35,125.29,127.14,128.37,125.31,125.23,125.83,126.28,128.26,126.93
