,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE GENERAL QUITO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,Ponderación,Cód. CCIF,Descripción CCIF,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sep-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26
General,"1,000000",0,GENERAL,101.00,101.66,101.78,102.71,102.82,103.27,103.11,103.08,103.56,103.46,103.78,103.82,104.06,104.14,104.17,104.46,104.59,104.96,105.01,104.83,104.84,104.81,104.78,104.94,104.84,104.85,104.84,104.98,105.23,104.94,104.66,104.80,104.68,104.67,104.57,104.78,105.23,105.30,105.35,105.30,105.00,105.10,105.10,105.16,105.64,105.54,105.29,105.29,105.84,105.51,105.27,105.39,105.44,105.48,105.76,105.64,105.75,106.12,105.38,105.28,105.47,105.34,105.66,105.47,105.54,105.29,104.67,104.53,104.30,103.96,103.98,103.90,104.05,103.99,104.21,104.42,104.36,104.39,104.82,105.06,105.00,105.21,105.98,106.11,106.63,106.92,106.94,107.36,107.81,108.36,108.83,109.15,109.81,110.05,110.00,110.15,110.33,110.11,110.42,110.37,110.44,110.68,111.10,111.38,111.42,111.43,111.18,111.42,111.16,111.36,111.17,112.72,112.68,111.53,112.74,113.05,113.35,113.14,112.96,113.27,112.42,112.03,112.44,113.78,113.50,113.77,113.97,114.44,114.39,114.98,114.12,113.87,114.25,114.72,114.85,115.58,115.79,114.61
División,0.224503124,01,Alimentos y bebidas no alcohólicas,102.43,102.95,102.48,103.87,103.77,105.24,104.80,104.81,104.78,104.36,104.58,104.92,104.36,105.66,105.96,106.56,107.28,107.64,107.65,107.32,106.63,106.21,106.36,106.71,106.20,107.44,107.40,107.78,107.95,108.20,106.61,106.81,105.31,105.64,105.29,106.36,106.83,106.19,106.67,106.74,106.05,105.89,105.78,106.34,106.69,106.98,106.31,106.20,107.91,106.84,106.16,106.36,105.79,105.48,106.34,106.17,105.79,107.60,106.39,105.16,105.56,105.04,107.13,107.18,107.19,108.30,107.04,106.52,105.00,104.71,104.75,104.37,104.62,104.60,105.05,105.37,104.80,103.93,105.60,106.01,105.18,105.06,105.82,106.12,106.97,107.83,107.59,107.21,107.88,110.81,111.95,112.71,113.58,114.18,114.46,114.67,114.43,114.15,115.43,113.57,114.65,116.10,118.87,119.58,119.31,119.99,118.55,119.73,118.92,120.40,118.43,120.49,120.03,119.01,119.27,121.23,122.66,121.93,120.49,119.12,119.50,119.20,122.28,121.76,121.25,122.33,122.70,122.84,123.10,124.22,123.57,122.24,123.43,123.24,122.04,122.73,121.89,122.20
Grupo,0.199535008,011,Alimentos,102.15,102.64,102.23,103.64,103.34,104.93,104.39,104.37,104.51,103.87,103.99,104.21,103.56,105.02,105.32,106.16,106.40,106.00,105.96,105.54,104.83,104.17,104.69,104.74,104.22,105.65,105.52,106.09,106.97,107.70,105.87,106.04,104.24,104.66,103.54,104.30,104.72,104.02,104.54,104.57,103.85,103.68,103.58,104.31,104.67,105.02,104.31,104.18,105.97,104.73,104.06,104.31,103.68,103.28,104.22,104.02,103.65,105.71,104.35,103.09,103.42,102.86,105.34,105.30,105.37,106.62,105.19,104.88,103.16,102.96,103.09,102.77,102.84,102.87,103.43,103.73,103.05,102.15,103.89,104.10,103.06,103.10,103.69,103.94,104.84,105.85,105.36,105.17,105.85,109.14,110.55,111.24,112.25,112.66,112.96,113.28,113.06,112.81,114.15,112.21,113.22,114.80,117.65,118.50,118.08,119.30,117.49,118.60,118.02,119.68,117.50,119.05,118.61,117.38,117.73,119.87,121.25,120.67,118.99,117.60,117.77,117.44,120.75,120.11,119.48,120.44,120.98,121.26,121.63,123.09,122.57,121.22,121.95,122.07,120.69,121.23,120.53,121.04
Clase,0.039444215,0111,Pan y cereales (ND),98.09,98.84,98.64,99.21,98.88,101.77,101.61,102.11,103.27,103.57,103.33,104.97,103.69,104.95,106.20,104.33,105.85,106.24,106.07,107.63,105.20,105.21,105.12,104.96,105.84,106.92,103.63,102.43,103.71,103.29,101.78,102.53,100.53,101.49,100.17,102.08,101.97,101.62,102.78,103.58,101.60,102.94,101.85,101.95,100.56,100.95,100.46,100.92,102.67,102.08,100.68,101.30,100.36,100.38,101.65,100.38,100.61,100.86,102.83,99.82,101.66,100.59,100.54,100.05,102.14,103.16,103.31,102.83,101.13,102.81,104.90,104.39,105.17,103.29,101.55,101.46,101.43,102.49,102.88,103.50,102.83,104.17,103.90,105.24,105.41,105.31,104.82,105.22,105.27,107.73,110.34,112.62,113.37,114.11,115.11,115.25,115.97,115.54,116.55,115.11,115.13,116.16,121.82,121.85,120.76,123.79,123.39,124.22,123.76,122.61,122.82,123.80,123.49,122.46,122.08,123.15,121.97,121.73,121.56,120.62,120.95,120.33,122.27,120.55,120.72,121.04,120.45,120.55,118.68,119.55,120.66,121.53,122.20,122.44,123.69,122.03,121.82,122.24
Subclase,0.015467425,01111,Arroz,103.05,102.74,105.65,108.04,108.18,107.16,107.56,110.35,113.72,114.89,114.02,118.09,116.21,116.40,116.80,116.10,117.08,118.02,116.99,116.44,115.34,114.37,114.99,114.20,114.89,115.95,115.90,115.17,112.97,111.53,110.71,106.47,107.69,108.71,108.56,108.11,108.82,107.90,109.69,109.22,107.11,106.54,108.37,107.44,106.73,108.06,105.65,104.48,105.81,106.53,104.01,106.33,107.14,105.11,107.39,97.95,102.92,103.09,104.69,99.49,103.51,103.20,103.66,103.68,103.88,106.71,103.94,108.70,106.62,105.07,105.60,105.06,104.84,104.62,104.53,103.24,103.29,103.10,101.05,100.20,100.50,102.92,101.46,104.40,105.26,102.68,104.27,103.67,104.02,104.31,104.89,107.42,107.66,104.55,107.57,106.53,109.10,106.85,107.79,105.10,107.86,112.62,136.03,137.17,134.38,142.69,145.50,145.89,145.78,143.40,144.50,144.02,142.58,139.74,139.54,142.16,136.22,135.40,137.89,131.98,129.53,121.74,132.28,126.51,126.22,126.13,123.55,127.10,119.72,123.26,128.32,130.55,133.13,132.43,131.66,125.36,123.18,123.87
Producto,0.015467425,01111001,ARROZ,103.05,102.74,105.65,108.04,108.18,107.16,107.56,110.35,113.72,114.89,114.02,118.09,116.21,116.40,116.80,116.10,117.08,118.02,116.99,116.44,115.34,114.37,114.99,114.20,114.89,115.95,115.90,115.17,112.97,111.53,110.71,106.47,107.69,108.71,108.56,108.11,108.82,107.90,109.69,109.22,107.11,106.54,108.37,107.44,106.73,108.06,105.65,104.48,105.81,106.53,104.01,106.33,107.14,105.11,107.39,97.95,102.92,103.09,104.69,99.49,103.51,103.20,103.66,103.68,103.88,106.71,103.94,108.70,106.62,105.07,105.60,105.06,104.84,104.62,104.53,103.24,103.29,103.10,101.05,100.20,100.50,102.92,101.46,104.40,105.26,102.68,104.27,103.67,104.02,104.31,104.89,107.42,107.66,104.55,107.57,106.53,109.10,106.85,107.79,105.10,107.86,112.62,136.03,137.17,134.38,142.69,145.50,145.89,145.78,143.40,144.50,144.02,142.58,139.74,139.54,142.16,136.22,135.40,137.89,131.98,129.53,121.74,132.28,126.51,126.22,126.13,123.55,127.10,119.72,123.26,128.32,130.55,133.13,132.43,131.66,125.36,123.18,123.87
Subclase,0.001652284,01112,Cereales enteros y harinas,98.17,98.18,99.35,98.09,97.36,97.76,98.31,98.53,97.72,99.24,98.82,99.18,99.59,99.08,99.81,100.74,102.79,104.38,106.15,109.39,109.74,109.70,107.34,109.65,108.52,109.35,108.83,108.53,109.43,110.04,109.55,111.67,111.33,110.60,108.62,108.14,109.86,106.29,108.73,105.68,105.02,105.10,106.57,108.05,106.25,105.17,106.85,103.53,107.20,104.89,102.40,105.42,107.47,107.01,109.31,105.78,109.33,109.58,105.93,105.08,106.28,104.99,104.87,106.21,109.09,112.54,112.04,107.57,103.38,102.96,104.19,103.06,108.42,107.90,108.66,108.38,106.95,107.76,108.54,109.34,109.48,110.30,109.06,116.12,113.87,113.25,112.51,114.43,113.02,115.49,112.38,114.96,114.65,115.83,115.52,120.16,119.80,120.09,120.34,118.14,121.08,120.62,122.93,120.48,123.57,123.02,124.05,125.17,124.96,125.07,125.13,125.97,126.46,123.94,117.71,121.36,125.20,126.50,124.62,124.10,121.39,120.73,119.27,119.94,118.35,115.96,116.21,117.47,117.14,114.24,112.47,115.99,119.31,117.61,114.92,115.55,116.20,117.23
Producto,0.000491913,01112002,CEREALES ENTEROS,98.29,98.99,98.99,98.69,98.69,98.69,98.69,98.48,98.48,98.48,98.48,98.48,99.39,99.39,99.39,101.51,107.13,110.58,111.43,112.20,113.00,112.23,112.23,112.23,110.03,113.01,113.01,115.45,117.05,117.05,119.36,117.04,116.15,115.10,115.10,115.90,109.80,109.43,110.18,109.43,109.43,106.49,106.09,106.90,106.90,106.07,108.26,107.24,107.24,108.20,109.09,107.06,108.37,108.37,108.37,108.69,108.69,109.45,106.32,106.69,106.69,104.55,104.55,104.55,109.11,112.82,112.28,111.75,110.07,107.07,108.30,106.55,108.30,108.46,107.98,107.16,108.39,106.94,109.56,111.34,112.55,112.55,116.20,116.20,119.06,120.40,117.77,120.10,118.54,117.47,118.92,118.65,117.21,117.32,117.32,118.35,119.31,120.11,124.03,125.41,126.46,129.02,134.54,133.27,135.70,135.32,137.94,138.32,132.20,138.64,138.27,139.60,140.26,134.65,134.35,134.33,135.76,135.55,134.80,132.67,129.64,130.52,128.82,125.79,122.09,123.42,118.37,122.40,120.55,117.22,118.75,116.11,126.51,128.11,123.44,121.07,121.96,124.28
Producto,0.000721598,01112003,HARINA DE TRIGO,102.16,101.42,102.88,100.86,98.70,99.88,101.43,101.39,98.44,102.88,101.83,102.88,102.88,101.83,102.88,102.88,102.79,103.30,103.22,104.15,104.33,104.41,97.31,104.07,103.56,102.59,101.84,98.63,99.15,99.72,95.47,104.32,104.32,103.37,98.82,97.76,107.68,98.88,104.79,97.56,95.61,98.93,103.69,107.10,101.24,99.94,101.41,91.47,104.48,96.57,89.84,100.91,105.58,103.17,109.53,99.18,109.38,109.20,102.57,99.67,102.79,101.18,101.08,103.25,106.51,108.44,108.73,95.71,87.16,88.35,90.83,88.49,97.46,95.63,99.25,102.48,94.53,97.82,96.93,96.69,95.73,97.34,89.57,110.23,101.87,98.52,99.36,104.46,97.51,105.93,97.57,105.12,104.84,103.39,101.18,113.54,108.57,108.71,107.46,104.05,110.04,104.33,106.45,95.45,101.59,103.33,102.62,104.25,110.33,106.17,105.75,107.95,106.21,106.36,92.35,101.77,109.25,112.96,111.54,109.20,107.40,106.70,104.11,105.95,107.01,101.81,105.92,103.66,104.03,102.13,92.69,104.84,102.85,99.84,97.14,100.72,99.10,101.40
Producto,0.000438773,01112004,HARINA DE OTROS CEREALES,92.96,92.96,95.43,93.76,93.76,93.76,93.86,95.00,95.73,95.73,95.51,95.51,95.73,95.17,96.55,96.93,96.60,96.88,102.33,111.99,111.90,112.77,113.01,113.01,112.63,112.63,111.69,111.13,111.52,113.04,113.29,113.29,113.29,113.29,111.71,110.14,112.70,111.13,111.63,110.56,110.56,110.90,110.90,110.90,111.66,110.49,111.68,113.42,110.59,110.66,108.68,108.78,108.59,109.91,110.38,109.95,110.18,110.26,109.61,109.61,110.10,110.41,110.10,112.31,112.33,117.30,115.86,116.55,114.27,115.49,115.16,116.43,122.41,122.54,121.49,117.58,120.53,121.47,121.71,122.43,122.43,123.43,123.43,123.43,121.59,121.59,121.59,118.91,124.71,124.71,121.70,122.10,123.35,129.37,131.01,131.06,134.65,134.40,131.31,125.52,127.33,129.15,127.14,133.79,133.95,130.29,131.24,132.78,133.07,129.53,130.80,129.23,132.27,130.84,125.94,127.54,130.24,130.65,126.58,130.65,127.23,124.45,124.75,129.22,127.31,123.14,126.10,127.85,128.81,125.25,128.43,129.86,129.78,125.04,125.18,126.35,129.54,127.12
