,,
,,
TABULADOS DEL ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -,,
ÍNDICES,,
,,
Cuadro No.,Contenido,
1,ÍNDICE GENERAL NACIONAL,
2,ÍNDICE GENERAL REGIÓN SIERRA,
3,ÍNDICE GENERAL REGIÓN COSTA,
4,ÍNDICE GENERAL GUAYAQUIL,
5,ÍNDICE GENERAL ESMERALDAS,
6,ÍNDICE GENERAL MACHALA,
7,ÍNDICE GENERAL MANTA,
8,ÍNDICE GENERAL SANTO DOMINGO,
9,ÍNDICE GENERAL QUITO,
10,ÍNDICE GENERAL LOJA,
11,ÍNDICE GENERAL CUENCA,
12,ÍNDICE GENERAL AMBATO,
,,
Dirección responsable de la información estadística y contenidos:,,
DIRECCIÓN DE ESTADÍSTICAS ECONÓMICAS,,
 ,,
Realizadores:,,
Elaboración: Skarleth Albiño,,
Revisión: Franklin Tenesaca / Yadira Orejuela,,
Aprobación: Diana Barco,,
