antiguedad_anios,empresas_activas,antiguedad_etiqueta,porcentaje_empresas,anio_referencia
0,10525,0,0.008740496526638792,2025
1,80214,1,0.06661379462116902,2025
2,84533,2,0.07020051238825244,2025
3,72244,3,0.05999510033923922,2025
4,59800,4,0.049660968388883585,2025
5,43396,5,0.03603825057197311,2025
6,59395,6,0.049324635743440474,2025
7,51738,7,0.04296587261712473,2025
8,46674,8,0.03876046887262128,2025
9,38200,9,0.0317232272985845,2025
10,37699,10,0.03130717135940673,2025
11,41250,11,0.03425610277661284,2025
12,41304,12,0.03430094712933859,2025
13,40645,13,0.03375367993588919,2025
14,38556,14,0.03201886784618387,2025
15,41774,15,0.034691259088247876,2025
16,40115,16,0.03331354091839574,2025
17,39266,17,0.03260848803942981,2025
18,26672,18,0.022149788442613762,2025
19,25851,19,0.021467988190987115,2025
20,26203,20,0.021760306934680878,2025
21,23858,21,0.019812899395016462,2025
22,23718,22,0.01969663625832008,2025
23,32763,23,0.027208065339882823,2025
24,24048,24,0.019970685080532985,2025
25,25791,25,0.02141816113240295,2025
26,28798,26,0.023915327218445977,2025
27,13274,27,0.01102340626076991,2025
28,12246,28,0.010169702657027898,2025
29,10083,29,0.008373437195068782,2025
30,6430,30,0.0053397997782695895,2025
31,6226,31,0.005170387779083431,2025
32,4911,32,0.004078344745113834,2025
33,3914,33,0.003250385121640307,2025
34,3630,34,0.0030145370443419297,2025
35,3772,35,0.0031324610829911183,2025
36,3147,36,0.0026134292227394085,2025
37,2671,37,0.0022181345579717067,2025
38,2478,38,0.0020578575195259784,2025
39,1951,39,0.0016202098549617369,2025
40,2203,40,0.0018294835010152263,2025
41,1885,41,0.0015654000905191564,2025
42,1623,42,0.0013478219347016398,2025
43,1463,43,0.001214949778477202,2025
44,1441,44,0.001196679856996342,2025
45,1763,45,0.0014640850713980226,2025
46,1168,46,9.699667404383951e-4,2025
47,1068,47,8.869216427981215e-4,2025
48,1011,48,8.395859371431656e-4,2025
49,889,49,7.382709180220318e-4,2025
50,925,50,7.681671531725304e-4,2025
51,766,51,6.361254479244954e-4,2025
52,708,52,5.879592912931367e-4,2025
53,629,53,5.223536641573206e-4,2025
54,442,54,3.670593315700091e-4,2025
55,533,55,4.4263037042265805e-4,2025
56,397,56,3.29689037631886e-4,2025
57,371,57,3.0809731224541487e-4,2025
58,266,58,2.2089995972312764e-4,2025
59,248,59,2.059518421478784e-4,2025
60,4603,60 o mC!s,0.0038225658443817915,2025
