pais,anio,gdp_usd,gdp_millones_usd,fuente,indicador,fecha_descarga
Ecuador,2000,17539454727.3637,17539.4547273637,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2001,23127055000,23127.055,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2002,27054197000,27054.197,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2003,30965208000,30965.208,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2004,35194947000,35194.947,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2005,40278849000,40278.849,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2006,45690762000,45690.762,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2007,49848725000,49848.725,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2008,61139438000,61139.438,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2009,60094978000,60094.978,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2010,68151329000,68151.329,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2011,78986648000,78986.648,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2012,87735048000,87735.048,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2013,96570334000,96570.334,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2014,102717794000,102717.794,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2015,97209558000,97209.558,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2016,97671433000,97671.433,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2017,104467486000,104467.486,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2018,107478961000,107478.961,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2019,107595830000,107595.83,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2020,95865473000,95865.473,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2021,107179074000,107179.074,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2022,116133121000,116133.121,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2023,120792801000,120792.801,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2024,123802374000,123802.374,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
Ecuador,2025,130320560400,130320.5604,Banco Mundial (paquete WDI),NY.GDP.MKTP.CD,2026-08-25
