pais,anio,remesas_usd,remesas_millones_usd,fuente,indicador,fecha_descarga
Ecuador,2000,1322301000,1322.301,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2001,1420558146.51631,1420.55814651631,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2002,1438022869.2822,1438.0228692822002,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2003,1633427047.615,1633.427047615,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2004,1838041770.90395,1838.04177090395,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2005,2460000000,2460,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2006,2933808811.42857,2933.8088114285697,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2007,3341337813.39619,3341.33781339619,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2008,3088633129.31,3088.6331293099997,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2009,2742436211.02,2742.43621102,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2010,2599027038.68,2599.02703868,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2011,2680596336.98567,2680.59633698567,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2012,2476225961.80543,2476.22596180543,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2013,2458803089.2207,2458.8030892207,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2014,2472449389.28992,2472.44938928992,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2015,2387555892.00259,2387.55589200259,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2016,2612078851.84204,2612.07885184204,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2017,2849068577.17313,2849.06857717313,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2018,3039078508.88019,3039.07850888019,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
