Chart Name,Subtitle,Date,LinkedIn Link,Image Filename,Image Path,Author,Description,Script Link,Chart ID,Status,Series,Notes
¿Los ecuatorianos más altos ganan más?,Un aumento de 1 cm se relaciona con ~3% más ingresos para mujeres y ~2% más para hombres,2026-02-13,https://www.linkedin.com/posts/elquantificador_ser-m%C3%A1s-alto-ganar-m%C3%A1s-en-ecuador-activity-7428098168682381312-lp-e?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,01_altura-ingresos_ensanut-2018.png,outputs/figures/01_altura-ingresos_ensanut-2018.png,El Quantificador,"La estatura está asociada con diferencias en ingresos laborales en Ecuador: cada centímetro adicional se relaciona con un aumento aproximado de 3% en los ingresos de las mujeres y de 2% en los de los hombres.

La pieza acompaña un análisis más amplio de Leonel Borja Plaza sobre desigualdad, mercado laboral y características personales que también influyen en los salarios.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_ecuatorianos_altos.R,01,published,,
El amor no es gratis (y cada vez cuesta más),"En 10 años, los productos de San Valentin cuestan hasta 37% más",2026-02-14,https://www.linkedin.com/posts/elquantificador_la-inflaci%C3%B3n-tambi%C3%A9n-lleg%C3%B3-al-romance-en-activity-7428497177766776832-Yf7s?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,02_san-valentin_inflacion-ecuador.png,outputs/figures/02_san-valentin_inflacion-ecuador.png,El Quantificador,"La inflación también se siente en el consumo asociado a San Valentín. Comer fuera, comprar chocolates, ir al cine o regalar flores cuesta hoy bastante más que hace diez años.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_san_valentin.R,02,published,,
La inactividad juvenil es mucho más alta entre las mujeres que entre los hombres,"Evolución mensual del porcentaje de inactividad laboral y educativa (15-34 años) por sexo en Ecuador, desde enero 2024",2026-02-25,https://www.linkedin.com/posts/elquantificador_conoces-a-alguien-que-hoy-no-est%C3%A9-trabajando-activity-7432062013708668928-6sYJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,03_inactividad-juvenil_sexo-ecuador.png,outputs/figures/03_inactividad-juvenil_sexo-ecuador.png,El Quantificador,"El patrón es claro: la desconexión simultánea del empleo y del sistema educativo afecta mucho más a las mujeres jóvenes.

La brecha apunta a restricciones estructurales, entre ellas la carga desigual de cuidados y trabajo doméstico, que reduce las posibilidades de estudiar, buscar empleo o sostener trayectorias laborales continuas.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_evolucion_nini.R,03,published,,
"Solo los trabajadores con posgrados tienden a ganar más de USD 1,000 al mes","Ingresos por nivel educativo, enero 2026, personas de 15+ años",2026-02-28,https://www.linkedin.com/posts/elquantificador_ecuador-inec-datos-activity-7433215491592052737-4ae7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,04_ingresos_nivel-educativo-ecuador.png,outputs/figures/04_ingresos_nivel-educativo-ecuador.png,El Quantificador,"Los datos de ingresos por nivel educativo muestran diferencias claras entre credenciales. En enero de 2026, la mediana salarial supera los USD 1,000 únicamente entre trabajadores con estudios de posgrado.

Los títulos tecnológicos, en cambio, no alcanzan en mediana ese umbral.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_escolaridad_ingreso.R,04,published,,
El gobierno ecuatoriano no conoce con exactitud cuantas mujeres mueren por femicidio cada año,"Los femicidios en Ecuador han caído en los últimos años, pero las mujeres siguen muriendo en contexto delictivo",2026-03-08,https://www.linkedin.com/posts/elquantificador_8m-activity-7436395492579799040-vEBm?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,05_femicidios_contexto-delictivo-ecuador.png,outputs/figures/05_femicidios_contexto-delictivo-ecuador.png,El Quantificador,"En el marco del 8 de marzo persiste una pregunta clave: qué tan confiables son las cifras oficiales sobre femicidios en Ecuador. Aunque las series reportadas muestran descensos recientes, persisten problemas de medición y clasificación.

La pieza enlaza con una investigación previa de El Quantificador sobre las debilidades estadísticas e institucionales que dificultan una contabilidad precisa de las muertes violentas de mujeres.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_femicidios.R,05,published,,
¿Cada vez es más difícil independizarse?,La proporción de adultos jóvenes en Ecuador que vive con sus padres y abuelos ha aumentado de 2010 a 2022,2026-03-16,https://www.linkedin.com/posts/elquantificador_ecuador-datos-censo-activity-7439014638308110337-idp5?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,06_jovenes_viven-con-padres-ecuador.png,outputs/figures/06_jovenes_viven-con-padres-ecuador.png,El Quantificador,"Entre 2010 y 2022 aumentó la proporción de personas de 20 a 29 años que sigue viviendo con sus padres o abuelos.

El patrón es consistente con un entorno de empleo frágil, mayor costo de vida y barreras crecientes para formar un hogar propio a edades tempranas.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_padres_hijos_censo.R,06,published,,
Casi uno de cada tres niños indígenas padece de desnutrición en Ecuador,"Prevalencia de desnutrición crónica por etnia, niños y niñas en Ecuador (Ronda 2 ENDI 2023-2024",2026-03-23,https://www.linkedin.com/posts/elquantificador_en-ecuador-uno-de-cada-cinco-ni%C3%B1os-padece-activity-7441573280886571008-x5_t?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,07_desnutricion-cronica_etnia-ecuador.png,outputs/figures/07_desnutricion-cronica_etnia-ecuador.png,El Quantificador,"La desnutrición crónica afecta de forma desigual a la infancia ecuatoriana. Entre niños y niñas indígenas, la prevalencia supera ampliamente el promedio nacional y se acerca a uno de cada tres casos.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_endi_desnutricion.R,07,published,,
Because they're nice? Los profesionales en Estrategia y Gestión de Proyectos tienen el mejor inglés del Ecuador,Puntaje EF EPI 2025 por función laboral,2026-03-29,https://www.linkedin.com/posts/elquantificador_ecuador-ingles-universidad-activity-7443729974655762433-C2ZG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,08_ingles_funcion-laboral-ecuador.png,outputs/figures/08_ingles_funcion-laboral-ecuador.png,El Quantificador,"Ecuador se ubica por debajo del promedio mundial en dominio del inglés, pero el desempeño no es uniforme entre ocupaciones. De acuerdo con EF EPI 2025, los mejores puntajes corresponden al área de Estrategia y Gestión de Proyectos.

En el otro extremo aparecen estudiantes, personas desempleadas o sin categoría ocupacional definida, y técnicos o personal de mantenimiento.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_ef_epi_job.R,08,published,,
"Colombia, Bolivia y Ecuador son los países más religiosos de Sudamérica","Porcentaje de personas para cada país que respondió que la religión es ""Muy importante"" en su vida. Encuesta Mundial de Valores (Ronda 7, 2017-2022)",2026-04-03,https://www.linkedin.com/posts/elquantificador_comiendo-fanesca-este-plato-forma-parte-activity-7445944067328356352-zUQX?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,09_religion_importancia_sudamerica.png,outputs/figures/09_religion_importancia_sudamerica.png,El Quantificador,"Con datos de la Encuesta Mundial de Valores, Ecuador aparece entre los países sudamericanos que más importancia asignan a la religión.

Esto ayuda a contextualizar por qué ciertas tradiciones y referencias religiosas siguen teniendo una presencia fuerte en la vida cotidiana y cultural del país.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_wvs_religion_importance.R,09,published,,
La mujer ecuatoriana dedica 4 veces más tiempo a cocinar que el hombre,"Promedio de horas semanales dedicadas a cocinar, por sexo, Encuesta Multipropósito 2019",2026-04-09,https://www.linkedin.com/posts/elquantificador_ecuador-desigualdaddegaeznero-usodeltiempo-activity-7448061768872034305-IFwL?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,10_uso-del-tiempo_cocina-sexo-ecuador.png,outputs/figures/10_uso-del-tiempo_cocina-sexo-ecuador.png,Santiago Guamán,"Las mujeres siguen concentrando la mayor parte del tiempo destinado a cocinar en los hogares ecuatorianos. Aunque la participación de los hombres creció entre 2012 y 2019, la diferencia permanece amplia en todos los grupos analizados.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_uso_tiempo.R,10,published,,
"Los empleados públicos ganan más, pero también pierden más por la inflación","Comparación de sueldos promedio públicos y privados, con ajustes para la inflación, 2019-2026",2026-04-17,https://www.linkedin.com/posts/elquantificador_ecuador-inflaciaejn-salarios-activity-7450913466736955393-4pta?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,11_salarios_publico-privado_inflacion-ecuador.png,outputs/figures/11_salarios_publico-privado_inflacion-ecuador.png,Dayanna Córdova Buitrón,"Los ingresos promedio del sector público superan de forma consistente a los del sector privado. Sin embargo, al observar la trayectoria reciente en términos reales, el poder adquisitivo de los salarios públicos se erosiona con mayor rapidez.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_salario_real_vs_nominal.R,11,published,,
El camarón y el petróleo son los productos más exportados a Estados Unidos,"Top 10 productos exportados a E.E.U.U., 2024-2025",2026-04-24,https://www.linkedin.com/posts/elquantificador_ecuador-export%C3%B3-usd-683-mil-millones-a-eeuu-activity-7453431310284681217-ZsEj?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,12_exportaciones_eeuu_top10_2024-2025.png,outputs/figures/12_exportaciones_eeuu_top10_2024-2025.png,Guido Astudillo,"Estados Unidos sigue siendo un destino central para las exportaciones ecuatorianas. En 2025, el camarón y el petróleo encabezaron con claridad la canasta exportadora, seguidos por productos como cacao y otros bienes primarios.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_exportaciones_eeuu.R,12,published,,
