Chart Name,Subtitle,Date,LinkedIn Link,Image Filename,Author,Description,Script Link
¿Los ecuatorianos más altos ganan más?,Un aumento de 1 cm se relaciona con ~3% más ingresos para mujeres y ~2% más para hombres,2026-02-13,https://www.linkedin.com/posts/elquantificador_ser-m%C3%A1s-alto-ganar-m%C3%A1s-en-ecuador-activity-7428098168682381312-lp-e?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,01_altura-ingresos_ensanut-2018.png,El Quantificador,"¿Ser más alto = ganar más? 📏💰
 En Ecuador, +1 cm se asocia con:
 👩 ~3% más ingresos
 👨 ~2% más ingresos

Lee el análisis completo de Leonel Borja Plaza 👇
https://lnkd.in/gsbVwrBW",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_ecuatorianos_altos.R
El amor no es gratis (y cada vez cuesta más),"En 10 años, los productos de San Valentin cuestan hasta 37% más",2026-02-14,https://www.linkedin.com/posts/elquantificador_la-inflaci%C3%B3n-tambi%C3%A9n-lleg%C3%B3-al-romance-en-activity-7428497177766776832-Yf7s?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,02_san-valentin_inflacion-ecuador.png,El Quantificador,"La inflación también llegó al romance.

En Ecuador, salir a comer, comprar chocolates, ir al cine o regalar flores cuesta entre un 7% y 37% más que en 2016.

Si te interesa saber como se hizo el gráfico, consulta nuestro repositorio en GitHub.

https://lnkd.in/gFVr2pQ2",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_san_valentin.R
La inactividad juvenil es mucho más alta entre las mujeres que entre los hombres,"Evolución mensual del porcentaje de inactividad laboral y educativa (15-34 años) por sexo en Ecuador, desde enero 2024",2026-02-25,https://www.linkedin.com/posts/elquantificador_conoces-a-alguien-que-hoy-no-est%C3%A9-trabajando-activity-7432062013708668928-6sYJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,03_inactividad-juvenil_sexo-ecuador.png,El Quantificador,"¿Conoces a alguien que hoy no esté trabajando ni estudiando? A estas personas se les conoce como NINI, o NEET por sus siglas en inglés. No es solo desempleo: es estar fuera tanto del mercado laboral como del sistema educativo 📊

En Ecuador, esta condición afecta mucho más a las mujeres jóvenes que a los hombres. Entre otras razones, la carga de cuidados y tareas del hogar recae de forma desproporcionada sobre ellas, lo que limita sus oportunidades de estudiar o trabajar.
 
Entérate más sobre este gráfico en GitHub: https://lnkd.in/gFVr2pQ2",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_evolucion_nini.R
"Solo los trabajadores con posgrados tienden a ganar más de USD 1,000 al mes","Ingresos por nivel educativo, enero 2026, personas de 15+ años",2026-02-28,https://www.linkedin.com/posts/elquantificador_ecuador-inec-datos-activity-7433215491592052737-4ae7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,04_ingresos_nivel-educativo-ecuador.png,El Quantificador,"La ministra de Ministerio de Educación, Ecuador, Guilda Alcívar, aseguró que bachilleres con tecnología tienen un sueldo promedio de $1,200 ¿Qué dicen los datos?

Segun ENEMDU, la mediana de ingresos para trabajadores con tecnología es $660. Solo posgrados superan $1,000 (mediana $1,413).

En promedio, un trabajador con tecnología gana $879 y uno con posgrado $1,675. La trayectoria salarial con posgrado es más rápida que con tecnología.

Link a la entrevista: https://lnkd.in/euWJQnBw

Link a nuestros cálculos: https://lnkd.in/gFVr2pQ2

hashtag#ecuador hashtag#inec hashtag#datos hashtag#Educación hashtag#trabajo",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_escolaridad_ingreso.R
El gobierno ecuatoriano no conoce con exactitud cuantas mujeres mueren por femicidio cada año,"Los femicidios en Ecuador han caído en los últimos años, pero las mujeres siguen muriendo en contexto delictivo",2026-03-08,https://www.linkedin.com/posts/elquantificador_8m-activity-7436395492579799040-vEBm?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,05_femicidios_contexto-delictivo-ecuador.png,El Quantificador,"En este hashtag#8M recordamos nuestra investigación sobre femicidios en Ecuador. En su artículo en El Quantificador, Alejandra Marchán y Daniel Sánchez Pazmiño identificaron tres problemas clave para el análisis cuantitativo de los femicidios en Ecuador con base en cifras oficiales del Gobierno ecuatoriano. Años después, esos problemas persisten. Cifras claras y transparentes son también parte de la lucha por la justicia.

https://lnkd.in/e4XRkpFh",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_femicidios.R
¿Cada vez es más difícil independizarse?,La proporción de adultos jóvenes en Ecuador que vive con sus padres y abuelos* ha aumentado de 2010 a 2022,2026-03-16,https://www.linkedin.com/posts/elquantificador_ecuador-datos-censo-activity-7439014638308110337-idp5?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,06_jovenes_viven-con-padres-ecuador.png,El Quantificador,"¿Salir de la casa de tus padres cada vez tarda más? 🏠

Estudios sugieren que la salida del hogar parental depende de las oportunidades de empleo 💼, el costo de vida 💸 y las normas culturales.

En hashtag#Ecuador esta situación se ha vuelto más frecuente entre adultos jóvenes. En 2010, alrededor del 40% de los adultos entre 20 y 29 años vivía con sus padres. Doce años después, esa proporción subió al 51% 📈

¿Qué creen que ha cambiado?
hashtag#datos hashtag#censo hashtag#estadística hashtag#jóvenes hashtag#salirdecasa",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_padres_hijos_censo.R
Casi uno de cada tres niños indígenas padece de desnutrición en Ecuador,"Prevalencia de desnutrición crónica por etnia, niños y niñas en Ecuador (Ronda 2 ENDI 2023-2024",2026-03-23,https://www.linkedin.com/posts/elquantificador_en-ecuador-uno-de-cada-cinco-ni%C3%B1os-padece-activity-7441573280886571008-x5_t?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,07_desnutricion-cronica_etnia-ecuador.png,El Quantificador,"En Ecuador, uno de cada cinco niños padece desnutrición crónica ⚠️ 

Sin embargo, esta problemática no afecta por igual a toda la población. Existen profundas inequidades: los niños de pueblos indígenas enfrentan una situación mucho más crítica, con tasas que superan el 30% 📊 

Esto evidencia brechas estructurales persistentes y la necesidad de políticas focalizadas que atiendan a las poblaciones más vulnerables.",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_endi_desnutricion.R
Because they're nice? Los profesionales en Estrategia y Gestión de Proyectos tienen el mejor inglés del Ecuador,Puntaje EF EPI 2025 por función laboral,2026-03-29,https://www.linkedin.com/posts/elquantificador_ecuador-ingles-universidad-activity-7443729974655762433-C2ZG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,08_ingles_funcion-laboral-ecuador.png,El Quantificador,"Ecuador se ubica por debajo del promedio mundial en dominio del inglés.

De acuerdo con EF, los profesionales con mejor inglés son quienes trabajan en el área de Estrategia y Gestión de Proyectos.

En el otro extremo, los puntajes más bajos corresponden a estudiantes, personas desempleadas o sin categoría específica y técnicos y personal de mantenimiento.

Y tú, ¿cómo calificarías tu nivel de inglés?

hashtag#ecuador hashtag#ingles hashtag#universidad hashtag#educacion hashtag#datos hashtag#estadistica",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_ef_epi_job.R
"Colombia, Bolivia y Ecuador son los países más religiosos de Sudamérica","Porcentaje de personas para cada país que respondió que la religión es ""Muy importante"" en su vida. Encuesta Mundial de Valores (Ronda 7, 2017-2022)",2026-04-03,https://www.linkedin.com/posts/elquantificador_comiendo-fanesca-este-plato-forma-parte-activity-7445944067328356352-zUQX?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,09_religion_importancia_sudamerica.png,El Quantificador,"¿Comiendo fanesca? 🍲

Este plato forma parte de una tradición histórica compartida entre ecuatorianos de todas las provincias, especialmente durante Semana Santa 🗓️🌿

Más de la mitad del país considera la religión como “muy importante” en su vida 📊, lo que explica por qué estas tradiciones siguen tan presentes en la cultura cotidiana 🌎

Hoy, la fanesca se disfruta más allá de creencias personales, como un punto de encuentro entre historia, costumbre y comunidad 🤝",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_wvs_religion_importance.R
La mujer ecuatoriana dedica 4 veces más tiempo a cocinar que el hombre,"Promedio de horas semanales dedicadas a cocinar, por sexo, Encuesta Multipropósito 2019",2026-04-09,https://www.linkedin.com/posts/elquantificador_ecuador-desigualdaddegaeznero-usodeltiempo-activity-7448061768872034305-IFwL?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEdyHpgBsFTRSCYH4gXRCh9cyLd2dzqZFcQ,10_uso-del-tiempo_cocina-sexo-ecuador.png,Santiago Guamán,"En Ecuador, el tiempo dedicado a cocinar sigue siendo desigual 🍳📊

Las mujeres destinan más de 6 horas semanales a esta actividad, mientras que los hombres dedican mucho menos ⏱️. Aunque la participación masculina ha aumentado, la brecha persiste en todos los grupos 📉

Entre 2012 y 2019, el tiempo que los hombres dedican a cocinar más que se duplicó 📈. La diferencia se redujo, pero no desapareció ⚖️

Gráfico por Santiago Guamán🎨
Lee más en nuestro artículo, por Christian Salas.
https://lnkd.in/eBebB5fq
hashtag#Ecuador hashtag#DesigualdadDeGénero hashtag#UsoDelTiempo hashtag#Datos 📊🍳📉📚",https://github.com/elquantificador/graficos-el-quantificador/blob/main/scripts/plots/plot_uso_tiempo.R
