rank,skill,n_offers,denominator,share
1,Comunicación,154,434,0.3548387096774194
2,Organización y planificación,140,434,0.3225806451612903
3,Proactividad e iniciativa,121,434,0.27880184331797236
4,Orientación a resultados,108,434,0.2488479262672811
5,Trabajo en equipo,104,434,0.23963133640552994
6,Pensamiento analítico,101,434,0.23271889400921658
7,Creatividad e innovación,55,434,0.12672811059907835
8,Negociación,50,434,0.1152073732718894
9,Resolución de problemas,48,434,0.11059907834101383
10,Liderazgo,29,434,0.06682027649769585
11,Adaptabilidad,23,434,0.052995391705069124
12,Trabajo bajo presión,17,434,0.03917050691244239
